chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
COAG2021_FACT_001,出凝血功能障碍相关性脑出血中国多学科诊治指南,fact,血管内治疗|抗凝治疗|抗血小板治疗|血肿扩大|脑出血,"中华医学会神经外科学分会 中国医师协会急诊医师分会 国家卫生健康委员会脑卒中筛查与防治工程委员会

通信作者：游潮，四川大学华西医院神经外科，成都 610041",0,0,,
COAG2021_FACT_002,（一）院前急救,fact,抗凝治疗|抗血小板治疗|脑出血|脑血管病|院前处理,迅速判断疑似脑出血的患者，现场进行因地制宜的紧急处理后，尽快就近将患者转运至有条件救治的医院。,0,0,,
COAG2021_FACT_003,（二）急诊处理,fact,抗凝治疗|抗血小板治疗|血肿扩大|颅内压管理|ICP监测,1．启动卒中绿色通道：对疑似 ICH的患者快速进行生命体征评估和相关支持治疗。,0,0,,
COAG2021_REC_001,（三）出凝血功能评估,recommendation,抗凝治疗|抗血小板治疗|影像学检查|脑出血|脑血管病,院前急救中若发现患者可能为HDICH，应明确服药的具体名称，并立即停用抗血小板或抗凝药物（Ⅰ级推荐，C级证据）。,0,0,,
COAG2021_FACT_004,（三）出凝血功能评估,fact,抗血小板|肝素相关脑出血|抗血小板治疗|脑出血|止血治疗,全面的出凝血功能评估涉及血小板、凝血功能及纤维蛋白溶解等项目。,0,0,,
COAG2021_FACT_005,（三）出凝血功能评估,fact,rFVIa|抗凝治疗|肝素相关脑出血|血栓预防|病因分型,<table><tr><td>异常指标</td><td>紧急治疗方案</td><td>可能病因</td><td>进一步检查</td></tr><tr><td>P,0,0,,
COAG2021_FACT_006,（三）出凝血功能评估,fact,肝素相关脑出血|抗凝治疗,注：a多种类型的抗凝药物会影响共同途径的凝血因子，如果抗凝药物剂量足够高，可以导致 PT和 APTT均出现延长；PT：凝血酶原时间，APTT：活化部分凝血活酶时,0,0,,
COAG2021_REC_002,二、HDICH的诊断和鉴别诊断,recommendation,影像学检查|脑出血|鉴别诊断,HDICH诊断需结合病史、实验室指标及影像学综合判断（Ⅰ级推荐，C级证据）。,0,0,,
COAG2021_FACT_007,二、HDICH的诊断和鉴别诊断,fact,溶栓|抗凝治疗|抗血小板治疗|血栓预防|影像学检查,在影像学检查明确 ICH的基础上，符合如下任意一条即为 HDICH：（1）发病近 1周内使用过抗血小板、抗凝或溶栓药物。,0,0,,
COAG2021_REC_003,（一）抗血小板药物相关 ICH,recommendation,抗血小板|抗血小板治疗|脑出血|一般治疗|急诊处理,对于抗血小板药物相关 ICH患者，立刻停用抗血小板药物（Ⅰ级推荐，C级证据）。,0,0,,
COAG2021_FACT_008,（一）抗血小板药物相关 ICH,fact,抗血小板|替格瑞洛|抗血小板治疗|血肿扩大|脑出血,1．常见的抗血小板药物：抗血小板药物通过抑制血小板黏附、聚集及释放等功能来发挥作用，常见的抗血小板药物包括：环氧化酶 1抑制剂（如阿司匹林）、P2Y12受体拮抗…,0,0,,
COAG2021_REC_004,（二）抗凝药物相关 ICH,recommendation,抗凝治疗|肝素相关脑出血|脑出血,对于抗凝药物相关ICH，建议立即停止抗凝药物（Ⅰ级推荐，C级证据）。,0,0,,
COAG2021_FACT_009,（二）抗凝药物相关 ICH,fact,抗凝治疗|肝素相关脑出血|血肿扩大|脑出血|流行病学,1．常见的抗凝药物的分类：目前常用的抗凝药物包括维生素 K拮抗剂、DOAC及肝素类抗凝药。,0,0,,
COAG2021_FACT_010,（二）抗凝药物相关 ICH,fact,抗凝治疗|脑出血|并发症,维生素 K：其经静脉给药起效最快，推荐剂量为单次 10mg［35］ 。,0,0,,
COAG2021_FACT_011,（二）抗凝药物相关 ICH,fact,抗凝治疗|脑出血|止血治疗,其中依达赛珠单抗已在中国上市，而 Andexanetalfa尚未在中国上市。,0,0,,
COAG2021_FACT_012,（二）抗凝药物相关 ICH,fact,肝素相关脑出血|抗凝治疗|脑出血|急诊处理,"3,给予10 mg维生素K</td><td>INR</td></tr><tr><td colspan=""6"">DOAC</td></tr><tr><td>凝血酶…",0,0,,
COAG2021_FACT_013,（二）抗凝药物相关 ICH,fact,肝素相关脑出血|抗凝治疗|脑出血,"4 min)</td><td>首选(用法同上)肝素用药时间≤8 h,每1 mg低分子肝素给予1 mg;肝素用药时间&gt;8 h,每1 mg低分子肝素给予0.",0,0,,
COAG2021_FACT_014,（一）血小板数量减少和功能缺陷,fact,抗血小板治疗|感染|癫痫|抗癫痫|脑出血,血小板具有黏附、聚集、释放等功能，对正常的止血过程至关重要，是止血过程的启动步骤。,0,0,,
COAG2021_FACT_015,（一）血小板数量减少和功能缺陷,fact,脑出血,表3 出凝血疾病相关性脑出血患者原发疾病的药物逆转方案［49－54,0,0,,
COAG2021_FACT_016,（一）血小板数量减少和功能缺陷,fact,纤溶药物|血栓预防|并发症,<table><tr><td>原发疾病名称</td><td>替代治疗</td><td>替代剂量</td><td>半衰期</td><td>注意事项</td><td…,0,0,,
COAG2021_FACT_017,（一）血小板数量减少和功能缺陷,fact,其他,5 h</td></tr><tr><td>结合雌激素</td><td>0.,0,0,,
COAG2021_FACT_018,（一）血小板数量减少和功能缺陷,fact,其他,5g/L)</td><td>3~5 d</td></tr><tr><td>人纤维蛋白原</td><td>1~2g/次</td><td>3~4 d</td></t…,0,0,,
COAG2021_FACT_019,（一）血小板数量减少和功能缺陷,fact,其他,"5 h</td><td>仅用于轻型血友病A辅助治疗</td><td>-</td></tr></table>
（续表 3）",0,0,,
COAG2021_FACT_020,（一）血小板数量减少和功能缺陷,fact,其他,<table><tr><td>原发疾病名称</td><td>替代治疗</td><td>替代剂量</td><td>半衰期</td><td>注意事项</td><td…,0,0,,
COAG2021_FACT_021,（一）血小板数量减少和功能缺陷,fact,其他,"0\text{ g}\cdot\text{kg}^{-1}\cdot\text{d}^{-1}$ ,静脉点滴1~2 d</td><td>16~24 d</td>",0,0,,
COAG2021_FACT_022,（二）凝血功能障碍,fact,抗凝治疗|血栓预防|脑出血|止血治疗|病因分型,血管损伤后，在血小板血栓的支架上，各种凝血因子相继激活，这是止血过程的第2阶段。,0,0,,
COAG2021_FACT_023,（三）血管性疾病,fact,感染|脑出血|脑动静脉畸形|营养支持,1．遗传性血管性疾病：导致 ICH的情况罕见，其中包括遗传性出血性毛细血管扩张，为常染色体显性疾病，导致毛细血管扩张和动静脉畸形，约10％的患者脑血管受累［56…,0,0,,
COAG2021_REC_005,（四）纤溶亢进,recommendation,纤溶药物|脑出血|外科手术|排除继发出血|病因分型,无论原发于血液系统疾病，还是继发于其他病因的血小板异常，均应积极治疗原发疾病、去除引起血小板异常的病因（Ⅱa级推荐，C级证据）。,0,0,,
COAG2021_FACT_024,（四）纤溶亢进,fact,血管内治疗|溶栓|纤溶药物|血栓预防|脑出血,先天性纤维蛋白溶解亢进异常罕见。,0,0,,
COAG2021_FACT_025,（一）止血药物,fact,氨甲环酸|止血治疗|纤溶药物|血肿扩大|脑出血,因止血药物被认为可以限制血肿扩大而用于ICH，用于 ICH研究最多的止血药物是氨甲环酸和rFⅦa［59］ ，此外注射用血凝酶在临床中应用也较多。,0,0,,
COAG2021_FACT_026,（二）颅内高压的监测和治疗,fact,颅内高压|ICP监测|脑出血|HICH诊断,具体内容可参考 HICH指南［7］ ，对非手术的HDICH患者行有创 ICP监测应当慎重。,0,0,,
COAG2021_FACT_027,（三）血压管理,fact,血肿扩大|脑水肿|脑出血|HICH诊断|血压管理,ICH急性期常合并高血压，与血肿扩大、脑水肿加重、死亡及不良预后密切相关［64－65］ 。,0,0,,
COAG2021_REC_006,（四）其他,recommendation,氨甲环酸|血肿扩大|癫痫|抗癫痫|脑出血,氨甲环酸可以降低 HDICH患者的血肿扩大（Ⅱa级推荐，A级证据），但不能改善患者的生存率及神经功能预后（Ⅱb级推荐，A级证据）。,0,0,,
COAG2021_FACT_028,（四）其他,fact,血管内治疗|抗凝治疗|血肿扩大|ICP监测|DVT,有效监测 HDICH患者的血糖并将其控制在正常范围。,0,0,,
COAG2021_FACT_029,（一）手术指征,fact,脑出血|HICH诊断|止血治疗|手术指征|证据分级,不同部位脑出血的手术指征参照 HICH指南的推荐意见［7］ 。,0,0,,
COAG2021_FACT_030,（二）出血风险评估,fact,开颅手术|止血治疗|外科手术|风险评估|再出血处理,对手术所形成的创面如果不能达到有效的止血，则手术减压不能使患者获益，反而可能造成医源性损害。,0,0,,
