chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
STROKE2015_FACT_001,中国重症脑血管病管理共识 2015,fact,脑水肿|脑梗死|脑血管病|手术治疗|康复治疗,"中华医学会神经病学分会 中华医学会神经病学分会脑血管病学组

脑血管病已成为严重威胁人类健康的慢性非传染性疾病。脑血管病的致残率和病死率高，可给社会、家庭和个人",0,0,,
STROKE2015_FACT_002,重症脑血管病的定义,fact,颅内压管理|血栓预防|脑出血|蛛网膜下腔出血|动脉瘤,目前尚缺乏对重症脑血管病较为统一的定义。,0,0,,
STROKE2015_REC_001,重症脑血管病的管理现状,recommendation,脑血管病,应进一步开展具有我国特点的重症脑血管病研究(Ⅰ级推荐，C级证据)。,0,0,,
STROKE2015_FACT_003,重症脑血管病的管理现状,fact,体温管理|脑出血|脑梗死|脑血管病|重症监护,"2014年,美国心脏学会/卒中学会(AHA/ASA)率先颁布《伴有脑肿胀的脑梗死管理推荐意见》[4],2015年美国神经重症学会颁布《大面积半球梗死管理指南》[…",0,0,,
STROKE2015_REC_002,一、神经重症监护病房(NICU),recommendation,脑血管病|重症监护|NICU|卒中单元,"卒中单元是脑血管病的有效管理模式,建议结合重症脑血管病的特点,运用重症医学技术手段进行综合管理,有条件应建立 NICU 负责重症脑血管病的管理(I 级推荐,A …",0,0,,
STROKE2015_FACT_004,一、神经重症监护病房(NICU),fact,颅内压管理|脑出血|蛛网膜下腔出血|脑血管病|重症监护,"由于重症脑血管病的特殊性,大部分患者病情危重,需要基础生命支持,如呼吸支持、血流动力学管理等,通常患者入住重症监护病房(ICU),不过从改善预后尤其是改善患者神…",0,0,,
STROKE2015_FACT_005,二、入住 NICU 的患者标准,fact,NIHSS|评分系统|脑血管病|NICU|预后,"从病情和卫生经济学的角度来看,并不是所有的脑血管病患者均需入住 ICU 及 NICU,有研究显示接受轻型(NIHSS 评分 < 8 分)或中等严重程度脑血管病(…",0,0,,
STROKE2015_FACT_006,(一)临床指征,fact,气道管理|癫痫|评分系统|NIHSS|量表评估,临床指征是决定患者是否入住 NICU 最主要的因素。,0,0,,
STROKE2015_FACT_007,(二)影像学指征,fact,血栓预防|影像学检查,"神经影像结果可提供病情严重程度的参考信息,如下指标可供参考:LHI( $>145\ cm^{3}$ ) $^{[18]}$ ;早期出现超过50% MCA区域的C…",0,0,,
STROKE2015_REC_003,(三) 接受特殊治疗,recommendation,影像学检查|脑血管病,"应对患者进行全面评估,结合患者的临床表现、影像学改变及监测指标对病情的严重程度进行评估判断,识别重症脑血管病患者,进行重症脑血管病管理模式(I级推荐,C级证据)…",0,0,,
STROKE2015_FACT_008,(三) 接受特殊治疗,fact,去骨瓣减压|血管内治疗|取栓|溶栓|脑血管病,"脑血管病患者在接受专科治疗后可能出现病情变化,常需要密切监护观察,如急性缺血性脑卒中溶栓、血管内取栓或血管介入治疗、去骨瓣减压术以及颅内血肿清除或抽吸术。",0,0,,
STROKE2015_REC_004,(一)气道管理,recommendation,气道管理|病因分型,"应重视患者的气道管理,维持氧饱和度>94%(Ⅰ级推荐,C级证据)。",0,0,,
STROKE2015_FACT_009,(一)气道管理,fact,气道管理|颅内压管理|肺炎预防|感染|吞咽功能,脑血管病患者常由于呼吸道不全梗阻、低通气、误吸及肺部感染等情况出现低氧血症。,0,0,,
STROKE2015_REC_005,(二) 血压管理,recommendation,溶栓|降颅压|影像学检查|脑出血|蛛网膜下腔出血,目前缺乏充分的证据对重症脑血管病的血压管理提出指导意见。,0,0,,
STROKE2015_FACT_010,(二) 血压管理,fact,脑血管病|血压管理|降压治疗|急诊处理,"脑血管病发生后患者血压通常升高,相关研究发现 77% 的脑血管病患者急诊室血压超过 139 mmHg (1 mmHg = 0.",0,0,,
STROKE2015_FACT_011,(二) 血压管理,fact,降压研究|血管内治疗|脑出血|蛛网膜下腔出血|动脉瘤,脑出血急性期强化降压的观念日益被接受。,0,0,,
STROKE2015_REC_006,(三)体温管理,recommendation,体温管理|脑血管病|预后|危险因素|病因分型,"发热是脑卒中患者预后不良的危险因素,应加强对重症脑血管病患者的体温监测(Ⅱ级推荐,C级证据)。",0,0,,
STROKE2015_FACT_012,(三)体温管理,fact,体温管理|脑血管病|复发预防|预后|排除继发出血,发热通常是机体在脑损伤后的应激反应。,0,0,,
STROKE2015_FACT_013,(三)体温管理,fact,去骨瓣减压|颅内压管理|感染|体温管理|脑血管病,低温治疗具有降低颅内压和神经保护的作用。,0,0,,
STROKE2015_FACT_014,(三)体温管理,fact,体温管理|脑出血|蛛网膜下腔出血|动脉瘤|脑血管病,"由于缺乏高质量的研究结果,ESO 不对脑出血患者是否使用、何时使用及在何种人群中使用预防性或早期降温治疗进行推荐,在临床工作中,可考虑对发热患者进行退热治疗。",0,0,,
STROKE2015_REC_007,(四)疼痛管理,recommendation,抗血小板|抗血小板治疗|脑血管病,"重症脑血管病患者出现疼痛症状时,可根据病情选择止痛药物,出血性疾病应慎用阿司匹林等抗血小板药物,密切监测药物的不良反应(Ⅲ级推荐,C级证据)。",0,0,,
STROKE2015_FACT_015,(四)疼痛管理,fact,抗血小板|颅内压管理|血栓预防|蛛网膜下腔出血|动脉瘤,"重症脑血管病患者常伴随疼痛症状,但缺乏有关止痛的临床指导意见。",0,0,,
STROKE2015_REC_008,(五)血糖管理,recommendation,血糖管理,"密切监测血糖,避免血糖过高或过低。",0,0,,
STROKE2015_FACT_016,(五)血糖管理,fact,血糖管理|脑出血|缺血性卒中|蛛网膜下腔出血|脑血管病,入院时高血糖可增加脑出血患者的病死率和残疾率。,0,0,,
STROKE2015_REC_009,(六)血钠管理,recommendation,血钠管理|病因分型,"重视监测血钠浓度,分析低钠血症的原因,根据不同病因纠正低钠血症,同时注意纠正低钠过程出现的不良反应(I级推荐,C级证据)。",0,0,,
STROKE2015_FACT_017,(六)血钠管理,fact,体温管理|血钠管理|脑出血|脑梗死|蛛网膜下腔出血,血钠管理在重症脑血管病中有着重要地位。,0,0,,
STROKE2015_REC_010,(七)血红蛋白水平,recommendation,脑血管病|预后,"贫血与重症脑血管病患者的预后不良有关,建议应重视纠正重症脑血管病患者的低血红蛋白水平,开展进一步研究确定输血在重症脑血管病治疗中的疗效(Ⅲ级推荐,C级证据)。",0,0,,
STROKE2015_FACT_018,(七)血红蛋白水平,fact,降颅压|影像学检查|蛛网膜下腔出血|脑血管病|预后,"回顾性研究结果显示,ICU 诊治的急性缺血性脑卒中患者贫血的发生率高达97.",0,0,,
STROKE2015_REC_011,(八)营养支持,recommendation,吞咽功能|风险评估|营养支持,"进行营养风险评估,制定营养支持方案。",0,0,,
STROKE2015_FACT_019,(八)营养支持,fact,脑血管病|预后|并发症|营养支持,营养状态与脑卒中患者的预后密切相关。,0,0,,
STROKE2015_FACT_020,(九)预防深静脉血栓形成,fact,血管内治疗|抗血小板|肝素相关脑出血|抗凝治疗|颅内压管理,"AHA/ASA 脑出血指南尤其推荐在 ICU 中加强患者的监测和管理,由临床医师和专业神经护理人员负责 $^{[25]}$ ,由于重症脑血管病患者大多病情危重,…",0,0,,
STROKE2015_REC_012,(十)护理,recommendation,脑血管病|复发预防|预后|并发症|护理,"应加强重症脑血管病的护理工作,密切观察患者的病情变化,预防并发症的发生,改善患者的预后(Ⅰ级推荐,B级证据)。",0,0,,
STROKE2015_FACT_021,(十)护理,fact,DVT|肺炎预防|感染|吞咽功能|脑血管病,护理工作在重症脑血管病的治疗体系中起着不可或缺的重要作用。,0,0,,
STROKE2015_REC_013,(一)重症脑血管病的监测,recommendation,脑血管病,"应对神经重症患者进行系统的监测和评估,进一步研究多模式神经生物监测系统在重症神经系统诊治中的作用,为临床决策提供更全面的信息(Ⅰ级推荐,C级证据)。",0,0,,
STROKE2015_FACT_022,(一)重症脑血管病的监测,fact,颅内压管理|颅内高压|脑水肿|MRI|影像学检查,"神经功能监测是 NICU 重要的工作内容, 其目的是及时获得患者重要的临床及辅助信息, 为评估、调整治疗措施及预防继发脑损伤提供依据。",0,0,,
STROKE2015_FACT_023,(一)重症脑血管病的监测,fact,降颅压|脑血管病|NICU|排除继发出血,"多模式神经生理功能监测: 上述基本生理功能监测指标还不能提供与继发脑损伤相关的更为直接、及时的病理生理状态, 如脑组织氧张力、颈静脉氧饱和度、脑血流量及乳酸/丙…",0,0,,
STROKE2015_REC_014,(二)神经功能恶化/意识障碍,recommendation,甘露醇|颅内压管理|颅内高压|脑水肿|体温管理,"目前缺乏充分证据推荐常规的颅内压监测,应结合临床症状及体征变化进行综合评估(Ⅲ级推荐,C级证据)。",0,0,,
STROKE2015_FACT_024,(二)神经功能恶化/意识障碍,fact,血肿扩大|颅内压管理|脑水肿|感染|脑出血,"重症脑血管病患者常出现病情恶化,严重时可导致意识障碍以致危及生命,神经功能恶化常提示预后不良,其原因错综复杂,各不相同,需要具体分析。",0,0,,
STROKE2015_FACT_025,(二)神经功能恶化/意识障碍,fact,颅内压管理|脑出血|慢性硬膜下血肿|脑血管病|预后,"颅内压监测: 由于无创颅内压监测价值有限, 临床上主要开展有创颅内压监测的研究。",0,0,,
STROKE2015_FACT_026,(二)神经功能恶化/意识障碍,fact,去骨瓣减压|甘露醇|颅内压管理|脑积水|体温管理,"颅内压管理:临床上有多种手术和非手术治疗的方法来降低颅内压,如渗透压治疗、高通气、止痛、镇静、巴比妥类药物、全身麻醉、神经肌肉阻滞剂、抬高头位、低温、脑积水引流…",0,0,,
STROKE2015_FACT_027,(二)神经功能恶化/意识障碍,fact,甘露醇|颅内压管理|脑水肿|降颅压|体温管理,"高张盐水可增加脑血流量,改善患者的预后 $^{[53-54]}$ 。",0,0,,
STROKE2015_FACT_028,(二)神经功能恶化/意识障碍,fact,抗凝治疗|颅内压管理|降颅压|血栓预防|吞咽功能,目前尚无重症脑血管病患者头位管理的相关共识。,0,0,,
STROKE2015_REC_015,(三)惊厥发作,recommendation,癫痫|抗癫痫|脑电图|脑血管病|复发预防,"建议对不明原因的昏迷和(或)意识改变的患者,应行脑电图检查,持续脑电监测有助于发现非惊厥癫痫持续状态(I级推荐,C级证据)。",0,0,,
