chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
HICH2024_FACT_001,基于白质纤维束保护的幕上高血压性脑出血手术治疗专家共识（2024版）,fact,微创手术|脑出血|脑血管病|手术治疗|预后,"中国医师协会神经外科医师分会 中华医学会神经外科学分会 中国卒中学会脑出血微创治疗分会 重庆市医学会卒中分会

通信作者：冯华，陆军军医大学全军神经外科研究所，",0,0,,
HICH2024_FACT_002,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,其他,Chinese Congress of Neurological Surgeons of Chinese Medical Doctor Association;,0,0,,
HICH2024_FACT_003,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,脑出血|HICH诊断|脑血管病|手术治疗,【Abstract】 Hypertensive intracerebral hemorrhage (HICH) is one of the main cause…,0,0,,
HICH2024_FACT_004,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,脑出血|HICH诊断,"with HICH, but cannot improve functional prognosis.",0,0,,
HICH2024_FACT_005,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,其他,"Standardizing the indications, surgical strategies, and operational procedures f…",0,0,,
HICH2024_FACT_006,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,其他,The Chinese Congress of Neurological Surgeons of Chinese Medical Doctor Associat…,0,0,,
HICH2024_FACT_007,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,脑出血|HICH诊断,"A total of 31 recommendations were formed for preoperative examination, surgical…",0,0,,
HICH2024_FACT_008,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,脑出血|脑血管病|流行病学,Practice guideline registration: International Practice Guideline Registration f,0,0,,
HICH2024_FACT_009,Chinese expert consensus on surgical treatment of hypertensive intracerebral hemorrhage based on parafascicular approach(2024 edition),fact,影像学检查|脑出血|手术治疗|康复治疗|预后,目前循证医学证据表明手术治疗虽可降低脑出血患者病死率但不能改善神经功能预后［1，5‑7］ 。,0,0,,
HICH2024_FACT_010,（一）共识制订过程,fact,评分系统|量表评估|脑出血|脑血管病|定义,本专家共识由陆军军医大学第一附属医院神经外科牵头，联合中国医师协会神经外科医师分会、中华医学会神经外科学分会、中国卒中学会脑出血微创治疗分会、重庆市医学会卒中分…,0,0,,
HICH2024_FACT_011,（二）文献检索策略,fact,脑出血|手术治疗,本专家共识针对 手术治疗相关重要问题进行系统的文献检索，检索数据库包括 、、中国知网和万方数据知识服务平台，检索时间范围自建库至 年 月。,0,0,,
HICH2024_FACT_012,（三）证据等级评定标准和推荐强度,fact,证据分级,证据等级 质量评价采用 指南标准化评级系统，共识推荐意见按意见类别（class of， ）和 证 据 水 平（， ）进行分别评估（表 ）。,0,0,,
HICH2024_FACT_013,二、白质纤维束是 手术的保护靶点,fact,脑出血,脑出血后，磁共振扩散张量成像（diffusion tensor， ）发现超过 的患者存在白质纤维束损伤［12］。,0,0,,
