chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
SICH2015_2_FACT_001,自发性脑出血诊断治疗中国多学科专家共识,fact,脑出血|脑血管病|急诊处理|多学科协作,"中华医学会神经外科学分会 中国医师协会急诊医师分会

国家卫生和计划生育委员会脑卒中筛查与防治工程委员会",0,0,,
SICH2015_2_FACT_002,自发性脑出血诊断治疗中国多学科专家共识 > 一、概述,fact,血栓预防|脑出血|脑梗死|烟雾病|脑动静脉畸形,自 发 性 脑 出 血 （sponteneouesintracerebrahemorrhage，以下简称脑出血）是指非外伤引起的成人颅内大、小动脉、静脉和毛细血…,0,0,,
SICH2015_2_FACT_003,自发性脑出血诊断治疗中国多学科专家共识 > 二、诊断,fact,CTA|MRI|MRA|DSA|影像学检查,本共识主要针对原发性脑出血，诊断标准如下。,0,0,,
SICH2015_2_FACT_004,自发性脑出血诊断治疗中国多学科专家共识 > 三、院前与急诊室的急救管理,fact,气道管理|评分系统|脑出血|降压治疗|预后,院前急救和急诊处理对抢救生命、改善脑出血患者的预后至关重要。,0,0,,
SICH2015_2_FACT_005,自发性脑出血诊断治疗中国多学科专家共识 > 四、非手术治疗,fact,降压研究|甘露醇|抗血小板治疗|颅内高压|颅内压管理,脑出血的非手术治疗包括颅内高压治疗、血压管理、癫痫防治、止血、抗血小板药物应用和预防深静脉血栓形成、体温管理、血糖管理、营养支持、神经保护、并发症防治等多方面内…,0,0,,
SICH2015_2_FACT_006,自发性脑出血诊断治疗中国多学科专家共识 > 四、非手术治疗,fact,ATACH-II|降压研究|脑出血|脑血管病|血压管理,关于降压目标，近来发表的急性脑出血强化降压实验（INTERACT）［12］ 、INTERACT2［13］ 、急性脑出血降压治疗试验（ATACH）［14］ 、脑出…,0,0,,
SICH2015_2_FACT_007,自发性脑出血诊断治疗中国多学科专家共识 > 四、非手术治疗,fact,血管内治疗|抗凝治疗|颅内压管理|血栓预防|癫痫,躁动是脑出血患者外周血压和颅内压升高以及影响降压治疗效果的重要因素，应积极寻找躁动原因，及时给予处理。,0,0,,
SICH2015_2_FACT_008,自发性脑出血诊断治疗中国多学科专家共识 > 四、非手术治疗,fact,感染|体温管理|血糖管理|脑出血|手术治疗,5．体温管理：脑出血患者可因颅内血肿刺激、感染或中枢性原因出现高热。,0,0,,
SICH2015_2_FACT_009,自发性脑出血诊断治疗中国多学科专家共识 > 四、非手术治疗,fact,甘露醇|感染|血钠管理|手术治疗|并发症,防止电解质紊乱和肾功能不全的关键是合理补液和合理应用甘露醇。,0,0,,
SICH2015_2_FACT_010,自发性脑出血诊断治疗中国多学科专家共识 > 五、手术治疗,fact,STICH研究|氨甲环酸|评分系统|脑出血|手术指征,手术治疗在脑出血中的价值仍是争议的焦点。,0,0,,
SICH2015_2_FACT_011,自发性脑出血诊断治疗中国多学科专家共识 > 五、手术治疗,fact,去骨瓣减压|开颅手术|颅内高压|颅内压管理|影像学检查,1．基底节区出血：（1）手术指征：有下列表现之者，可考虑紧急手术：①颞叶钩回疝；②影像学有明显颅内高压表现（中线结构移位超过5mm；同侧侧脑室受压闭塞超过1／2…,0,0,,
SICH2015_2_FACT_012,自发性脑出血诊断治疗中国多学科专家共识 > 五、手术治疗,fact,立体定向|颅内压管理|感染|癫痫|血压管理,在 CT或 B超定位下穿刺血肿腔，在不损伤血管壁、周围脑组织以及不引起新的出血的前提下尽可能清除血肿，但不必强求彻底清除，以免引起新的出血，即达到有效降低颅内压…,0,0,,
SICH2015_2_FACT_013,自发性脑出血诊断治疗中国多学科专家共识 > 五、手术治疗,fact,开颅手术|颅内高压|脑积水|脑出血|小脑出血,2．丘脑出血：（1）手术指征：参照基底节区脑出血。,0,0,,
SICH2015_2_FACT_014,自发性脑出血诊断治疗中国多学科专家共识 > 六、复发的预防,fact,脑出血|脑血管病|降压治疗|复发预防|危险因素,高血压是目前预防脑出血复发最重要的可干预危险因素。,0,0,,
SICH2015_2_FACT_015,自发性脑出血诊断治疗中国多学科专家共识 > 七、早期康复,fact,脑出血|康复治疗|早期康复|复发预防|护理,急性脑出血后必须及早进行康复治疗，以提高患者的生活质量、防止复发。,0,0,,
SICH2015_2_FACT_016,自发性脑出血诊断治疗中国多学科专家共识 > 八、临终关怀,fact,脑出血|脑血管病|护理,为终末期患者提供治疗为辅、护理为主的临床关怀服务，是脑出血治疗的最后环节。,0,0,,
SICH2015_2_FACT_017,自发性脑出血诊断治疗中国多学科专家共识 > 共识编写委员会成员（按姓氏汉语拼音排序）：,fact,院前急救|急诊处理,陈劲草（华中科技大学同济医学院附属同济医院神经外科）；冯华（第三军医大学西南医院神经外科）；何小军（中华急诊医学杂志编辑部）；胡锦（复旦大学附属华山医院神经外科,0,0,,
SICH2015_2_FACT_018,自发性脑出血诊断治疗中国多学科专家共识 > 共识编写委员会成员（按姓氏汉语拼音排序）：,fact,急诊处理,共识执笔者：马潞、李浩（四川大学华西医院神经外科）；吴波（四川大学华西医院神经内科）；武剑（北京清华长庚医院神经内科）；孙树杰（中科院上海临床中心急诊医学部）；,0,0,,
SICH2015_2_FACT_019,自发性脑出血诊断治疗中国多学科专家共识 > 参 考 文 献,fact,脑出血|脑血管病,"［1］ 王文娟，王春雪，杨中华，等．中国脑出血医疗现状及死亡相关因素分析［J］．中国卒中杂志，2013，8（9）：703711  
［2］ OvesenC，C",0,0,,
SICH2015_2_FACT_020,自发性脑出血诊断治疗中国多学科专家共识 > 参 考 文 献,fact,其他,"［J］．Lancet，2001，358（9293）：15861592  
［5 ］ LanghorneP，FearonP，RonningOM，etal．Str",0,0,,
SICH2015_2_FACT_021,自发性脑出血诊断治疗中国多学科专家共识 > 参 考 文 献,fact,营养支持,"bralhemorrhage［J］．ClinNeurolNeurosurg，2014，118：3743  
［24］ NICESUGARStudyInves",0,0,,
SICH2015_2_FACT_022,自发性脑出血诊断治疗中国多学科专家共识 > 参 考 文 献,fact,脑出血|脑血管病|手术治疗,"supratentorialintracerebralhemorrhage［J］．Stroke，2012，4（6）：14961504
［32］ 游潮，刘鸣，李",0,0,,
SICH2015_2_FACT_023,自发性脑出血诊断治疗中国多学科专家共识 > 参 考 文 献,fact,其他,［37］ HollowayRG，ArnoldRM，CreutzfeldtCJ，etal．Palliativeandendoflifecareinstroke,0,0,,
SICH2015_2_FACT_024,自发性脑出血诊断治疗中国多学科专家共识 > 第七届世界华人神经外科学术大会,fact,其他,世界华人神经外科学术大会是全世界华人神经外科的学术盛会，由世界华人神经外科协会、北京市神经外科研究所及北京市王忠诚医学基金会主办，天津医科大学总医院、天津市赵以…,0,0,,
