chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
ESOEANSICH2025_FACT_001,European Stroke Organisation (ESO) and European Association of Neurosurgical Societies (EANS) guideline on stroke due to spontaneous intracerebral haemorrhage,fact,其他,"European Stroke Journal

1–80

© European Stroke Organisation 2025

Article reus",0,0,,
ESOEANSICH2025_FACT_002,Abstract,fact,脑出血,Spontaneous (non-traumatic) intracerebral haemorrhage (ICH) affects \~3.,0,0,,
ESOEANSICH2025_FACT_003,Abstract,fact,其他,"5 Gulbenkian Institute for Molecular Medicine, Lisbon, Portugal
6 Department of ",0,0,,
ESOEANSICH2025_FACT_004,Abstract,fact,其他,"14School of Medicine, Dentistry & Nursing, University of Glasgow, Glasgow, UK
15",0,0,,
ESOEANSICH2025_FACT_005,Abstract,fact,其他,"23Region Skåne, Malmö & Department of Neurology, Lund University, Lund, Sweden
2",0,0,,
ESOEANSICH2025_FACT_006,Corresponding author:,fact,其他,"Thorsten Steiner, Klinikum Frankfurt Höchst GmbH, Gotenstr.",0,0,,
ESOEANSICH2025_FACT_007,Corresponding author:,fact,其他,guided by the European Stroke Organisation (ESO) standard operating procedures f…,0,0,,
ESOEANSICH2025_FACT_008,Corresponding author:,fact,其他,A methodologist conducted study-level meta-analyses and created summaries of fin…,0,0,,
ESOEANSICH2025_FACT_009,Corresponding author:,fact,脑出血,We found weak evidence for scores for predicting macrovascular causes underlying…,0,0,,
ESOEANSICH2025_FACT_010,Corresponding author:,fact,rFVIa|脑出血,"We found weak evidence against routine use of rFVIIa, platelet transfusions for …",0,0,,
ESOEANSICH2025_FACT_011,Corresponding author:,fact,脑出血,"Although we made strong recommendations for and against a few interventions, we …",0,0,,
ESOEANSICH2025_FACT_012,Keywords,fact,其他,"Guideline, systematic review, stroke, intracerebral haemorrhage

Date received: ",0,0,,
ESOEANSICH2025_FACT_013,Background,fact,其他,"Every year, around 3.",0,0,,
