chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
STROKE2024_FACT_001,中国重症卒中管理指南 2024 > 摘要,fact,脑出血|脑梗死|蛛网膜下腔出血|动脉瘤|脑血管病,卒中主要包括脑梗死、脑出血、蛛网膜下腔出血等类型。,0,0,,
STROKE2024_FACT_002,中国重症卒中管理指南 2024 > 摘要,fact,脑血管病|预后|护理,"A级：基于多个随机对照试验的荟萃分析或系统评价；多个随机对照试验或1个样本量足够的高质量随机对照试验
B级：基于至少1个较高质量的随机对照试验
C级：基于未随机",0,0,,
STROKE2024_FACT_003,中国重症卒中管理指南 2024 > 重症卒中的概念,fact,脑血管病|定义,重症卒中尚缺乏统一的定义，但不同病理类型的演变发展具有共同点，表现为神经功能重度缺损，可伴呼吸、循环等多系统严重功能障碍，导致严重残疾甚至死亡。,0,0,,
STROKE2024_FACT_004,中国重症卒中管理指南 2024 > 重症卒中的概念 > 一、重症脑梗死,fact,颅内高压|脑水肿|评分系统|NIHSS|量表评估,国外学者最早在1996年提出”恶性大脑中动脉（middle cerebral artery，MCA）梗死”的概念来描述大面积MCA梗死，强调其恶性病程和不良预后…,0,0,,
STROKE2024_FACT_005,中国重症卒中管理指南 2024 > 重症卒中的概念 > 二、重症脑出血,fact,脑出血|脑干出血|手术指征|急诊处理|流行病学,脑出血病死率和致残率高，临床通常将幕上血肿≥30 ml（丘脑出血≥10 ml）或幕下血肿≥10 ml（脑干出血≥5 ml）定义为重症脑出血，用于评估急诊手术指征…,0,0,,
STROKE2024_REC_001,中国重症卒中管理指南 2024 > 重症卒中的概念 > 三、动脉瘤破裂性SAH,recommendation,SAH|动脉瘤|脑血管病|重症监护|诊断标准,参照上述定义规范各类重症卒中的诊断标准，以利于未来研究的开展和临床应用（Ⅰ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_006,中国重症卒中管理指南 2024 > 重症卒中的概念 > 三、动脉瘤破裂性SAH,fact,评分系统|量表评估|SAH|动脉瘤|手术时机,动脉瘤破裂性SAH常起病急骤，病死率高，故被纳入危重症管理。,0,0,,
STROKE2024_REC_002,一、卒中的重症监护 > （一）神经重症监护病房（neurocritical care unit，NCU）,recommendation,脑血管病|重症监护|NCU,建议结合重症卒中的神经专科特点，运用重症医学技术综合管理，有条件的医院应建立NCU提供重症卒中专业管理（Ⅰ级推荐，B级证据）。,0,0,,
STROKE2024_FACT_007,一、卒中的重症监护 > （一）神经重症监护病房（neurocritical care unit，NCU）,fact,脑血管病|重症监护|NCU|卒中单元|入住标准,卒中单元（stroke unit）是组织化管理住院卒中患者的医疗模式，可显著降低卒中患者的病死率和致残率［17⁃18］。,0,0,,
STROKE2024_REC_003,一、卒中的重症监护 > （二）入住NCU的标准,recommendation,影像学检查|脑血管病|NCU|转诊|入住标准,结合患者的生命体征、临床表现和影像学特征对其病情严重程度进行评估，识别符合NCU入住标准的患者，纳入重症卒中管理模式；基层医院经综合评估后，有条件可转诊患者至具…,0,0,,
STROKE2024_FACT_008,一、卒中的重症监护 > （二）入住NCU的标准,fact,去骨瓣减压|血管内治疗|气道管理|颅内高压|癫痫,轻中症卒中患者入住ICU未能在预后和费用方面获益［22］，临床上应进行病情分级，识别出适于入住NCU的重症患者。,0,0,,
STROKE2024_REC_004,一、卒中的重症监护 > （三）重症卒中监测,recommendation,MRI|TCD|脑血管病,重症卒中患者应密切监测其生命体征、意识状态和神经功能，对于出现生命体征不稳、意识障碍、神经功能缺损程度加重的患者应积极寻找和处理恶化原因（Ⅱ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_009,一、卒中的重症监护 > （三）重症卒中监测,fact,降颅压|癫痫|痫性发作|体温管理|血钠管理,生命体征监测：呼吸、血压、心率、体温和血氧饱和度等生命体征参数及血酸碱度、血电解质等内环境参数是反映患者基本生理功能的重要参数。,0,0,,
STROKE2024_REC_005,二、重症管理 > （一）气道管理,recommendation,气道管理,应重视患者的气道管理，维持氧饱和度>94%（Ⅰ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_010,二、重症管理 > （一）气道管理,fact,气道管理|感染|吞咽功能|脑血管病|镇静镇痛,重症卒中患者常伴意识障碍、脑干功能损害，或因吞咽障碍、卧床及医源性操作等，出现肺部感染、低氧血症、呼吸功能衰竭，应进行呼吸监测，必要时吸氧。,0,0,,
STROKE2024_REC_006,二、重症管理 > （二）血压管理,recommendation,取栓|溶栓|脑出血|脑梗死|SAH,重症卒中血压管理尚缺乏充分证据，应密切监测血压，积极寻找和纠正导致血压升高的可逆原因，遵循现行指南进行个体化管理（Ⅱ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_011,二、重症管理 > （二）血压管理,fact,脑血管病|血压管理|降压治疗|排除继发出血,急性卒中患者启动降压治疗前应分析和纠正可逆诱因，比如既往高血压、应激反应、低氧血症、颅高压、谵妄、疼痛、尿潴留或其他刺激。,0,0,,
STROKE2024_FACT_012,二、重症管理 > （二）血压管理,fact,血管内治疗|取栓|溶栓|脑水肿|影像学检查,我国指南推荐脑梗死患者收缩压持续≥200/110 mmHg或伴特殊疾病（严重心功能不全、主动脉夹层、高血压脑病）可降压治疗；对准备接受溶栓、取栓的患者，控制血压…,0,0,,
STROKE2024_FACT_013,二、重症管理 > （二）血压管理,fact,血管内治疗|取栓|溶栓|影像学检查|脑血管病,欧洲卒中组织（European Stroke Organisation，ESO）建议对于未溶栓或取栓的患者，若血压<220/110 mmHg，不推荐发病24 h…,0,0,,
STROKE2024_FACT_014,二、重症管理 > （二）血压管理,fact,ATACH-II|降压研究|血肿扩大|脑出血|脑血管病,脑出血急性期强化降压日益被接受。,0,0,,
STROKE2024_FACT_015,二、重症管理 > （二）血压管理,fact,血管内治疗|评分系统|NIHSS|脑出血|脑梗死,CHASE（Controlling Hypertension After Severe Cerebrovascular Event）试验纳入发病72 h内、NI…,0,0,,
STROKE2024_REC_007,二、重症管理 > （三）体温管理,recommendation,体温管理|脑梗死|脑血管病|复发预防|预后,发热是卒中患者预后不良的危险因素，应加强对重症卒中患者的体温监测（Ⅱ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_016,二、重症管理 > （三）体温管理,fact,感染|体温管理|脑出血|脑梗死|脑血管病,AHA/ASA推荐在脑梗死患者体温>38 ℃时，应明确和纠正发热原因，并使用降温药物。,0,0,,
STROKE2024_FACT_017,二、重症管理 > （三）体温管理,fact,去骨瓣减压|溶栓|静脉溶栓|颅内压管理|肺炎预防,低温治疗具有降低颅内压和神经保护的作用。,0,0,,
STROKE2024_REC_008,二、重症管理 > （四）血糖管理,recommendation,血糖管理,应密切监测患者血糖水平，避免血糖过高或过低（Ⅰ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_018,二、重症管理 > （四）血糖管理,fact,血糖管理|脑水肿|脑出血|脑梗死|SAH,卒中患者早期高血糖与不良预后风险增加相关。,0,0,,
STROKE2024_REC_009,二、重症管理 > （五）血钠管理,recommendation,颅内压管理|血钠管理|脑血管病,应积极寻找和纠正低钠血症原因（Ⅰ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_019,二、重症管理 > （五）血钠管理,fact,甘露醇|颅内压管理|血糖管理|血钠管理|脑血管病,重症卒中患者因脱水、高血糖、电解质紊乱、药物等可出现低钠血症，也可因神经系统损伤出现抗利尿激素分泌失调综合征、脑性耗盐综合征等。,0,0,,
STROKE2024_REC_010,二、重症管理 > （六）营养支持,recommendation,吞咽功能|脑血管病|营养支持,重症卒中患者应及早评估营养风险，制订营养支持方案（Ⅰ级推荐，B级证据）。,0,0,,
STROKE2024_FACT_020,二、重症管理 > （六）营养支持,fact,吞咽功能|血钠管理|脑血管病|预后|流行病学,FOOD（Effect of Timing and Method of Enteral Tube Feeding for Dysphagic Stroke Pa…,0,0,,
STROKE2024_REC_011,二、重症管理 > （七）镇静镇痛治疗,recommendation,脑血管病|镇静镇痛,重症卒中患者出现明显疼痛、焦虑或激惹等症状时，可根据病情选择镇静、镇痛药物，应使用最小有效剂量，在病情允许情况下早日撤药（Ⅱ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_021,二、重症管理 > （七）镇静镇痛治疗,fact,血栓预防|量表评估|SAH|动脉瘤|镇静镇痛,疼痛管理原则是在明确和积极处理疼痛原因的前提下配合镇痛治疗，避免因止痛治疗掩盖病情变化。,0,0,,
STROKE2024_REC_012,二、重症管理 > （八）防治并发症,recommendation,血管内治疗|肝素相关脑出血|抗凝治疗|DVT|肺栓塞,重症卒中患者应警惕卒中相关性肺炎和呼吸机相关性肺炎的发生（Ⅰ级推荐，C级证据）。,0,0,,
STROKE2024_REC_013,二、重症管理 > （八）防治并发症,recommendation,抗血小板|肝素相关脑出血|抗凝治疗|DVT|TCD,重症卒中患者在病情稳定、无禁忌证的情况下，鼓励早期活动、抬高下肢（Ⅰ级推荐，C级证据）。,0,0,,
STROKE2024_FACT_022,二、重症管理 > （八）防治并发症,fact,气道管理|肺炎预防|脑血管病|并发症,肺炎：卒中相关性肺炎指非机械通气患者在卒中发病7 d内新出现的肺炎［68］。,0,0,,
STROKE2024_REC_014,二、重症管理 > （九）护理和康复,recommendation,脑血管病|康复治疗|复发预防|预后|并发症,应加强重症卒中患者的护理和康复，密切观察患者的病情变化，预防并发症的发生，改善患者预后（Ⅰ级推荐，B级证据）。,0,0,,
STROKE2024_FACT_023,二、重症管理 > （九）护理和康复,fact,DVT|肺炎预防|感染|吞咽功能|康复治疗,应早期评估和处理吞咽困难和误吸，意识障碍患者应注意预防肺炎、DVT和压疮的发生，对排尿障碍患者应早期评估和康复以减少泌尿系统感染。,0,0,,
STROKE2024_REC_015,一、危重症卒中的预测和预防,recommendation,尼莫地平|血肿扩大|脑水肿|影像学检查|脑出血,脑梗死后成功再灌注治疗可降低脑水肿风险（Ⅱ级推荐，C 级证据）。,0,0,,
STROKE2024_FACT_024,一、危重症卒中的预测和预防,fact,岛征|混合征|黑洞征|取栓|溶栓,重症卒中患者常出现病情恶化，在临床管理中应密切监测患者的生命体征、意识状态和神经功能，明确恶化原因，针对病因治疗。,0,0,,
STROKE2024_FACT_025,二、神经科特异性治疗,fact,脑出血|脑梗死|SAH|脑血管病|并发症,重症卒中的诊治应遵循脑血管病的神经科诊治原则，但因其神经功能缺损程度严重、常伴意识障碍和多种并发症，诊治存在特殊性。,0,0,,
STROKE2024_REC_016,二、神经科特异性治疗 > （一）重症脑梗死的诊治,recommendation,血管内治疗|溶栓|静脉溶栓|NIHSS|评分系统,目前尚缺乏针对重症脑梗死患者静脉溶栓的RCT，有待进一步研究（Ⅰ级推荐，C级证据）。,0,0,,
STROKE2024_REC_017,二、神经科特异性治疗 > （一）重症脑梗死的诊治,recommendation,血管内治疗|取栓|抗血小板|抗血小板治疗|双联抗血小板,对于发病在24 h内的前循环大动脉闭塞所致大梗死核心患者，经合理的临床和影像学筛选，谨慎评估获益和风险后，可个体化选择血管内取栓治疗（Ⅰ级推荐，A级证据）。,0,0,,
STROKE2024_REC_018,二、神经科特异性治疗 > （一）重症脑梗死的诊治,recommendation,血管内治疗|抗凝治疗|抗血小板治疗|双联抗血小板|NIHSS,重症或大面积脑梗死患者若无相关禁忌证，可考虑单药抗血小板治疗，不推荐双联抗血小板治疗，个体化治疗有待研究（Ⅱ级推荐，C级证据）。,0,0,,
STROKE2024_REC_019,二、神经科特异性治疗 > （一）重症脑梗死的诊治,recommendation,抗凝治疗|影像学检查|脑梗死|脑血管病|复发预防,心源性重症或大面积脑梗死患者应结合临床症状、实验室检查和影像学特征评估卒中复发和出血风险，个体化处理；对于出血高风险患者，建议在发病2周后酌情启用抗凝治疗（Ⅱ级…,0,0,,
