chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
BSH2022_FACT_001,原发性脑干出血诊治中国神经外科专家共识,fact,脑出血|脑干出血|脑血管病|复发预防|预后,"中华医学会神经外科学分会脑血管病学组 中国医师协会神经外科医师分会脑血管外科学组
通信作者：张建民，浙江大学医学院附属第二医院神经外科，杭州 310009，Em",0,0,,
BSH2022_FACT_002,原发性脑干出血诊治中国神经外科专家共识,fact,影像学检查|脑出血|脑干出血|手术治疗|排除继发出血,原 发 性 脑 干 出 血 （primary brainstem， ）是指排除了外伤、血管畸形、肿瘤等可溯源继发性因素的自发性脑干出血。,0,0,,
BSH2022_FACT_003,原发性脑干出血诊治中国神经外科专家共识 > 一、概要,fact,颅内压管理|评分系统|量表评估|脑出血|预后,是高血压性脑出血最严重的亚型，占所有高血压性脑出血的6%\~10%［1‐2］，最常见部位发生在桥脑。,0,0,,
BSH2022_FACT_004,原发性脑干出血诊治中国神经外科专家共识 > 一、概要,fact,重症监护|康复治疗|预后,另一方面，随着重症监护治疗技术的进步，患者在 存活时间延长，如果不能有效改善预后，必然导致初期治疗与后期康复的社会支出大幅增加并衍生社会伦理方面的系列问题，成为…,0,0,,
BSH2022_FACT_005,原发性脑干出血诊治中国神经外科专家共识 > 二、危险因素、流行病学与发病机制,fact,立体定向|抗凝治疗|抗血小板治疗|评分系统|脑出血,中年男性、头大颈短腹圆、肥胖的高血压患者占多数，服药依从性差，生活欠节制；长期亚健康状态、社会竞争压力大、过度劳累可能是发病的诱因［8］ 。,0,0,,
BSH2022_FACT_006,原发性脑干出血诊治中国神经外科专家共识 > 二、危险因素、流行病学与发病机制,fact,颅内压管理|ICP监测|脑积水|血栓预防|脑干出血,发生脑干出血后，伴随血肿增大、血肿腔静水压逐渐升高、责任血管断端回缩与微血栓形成，逐步形成一定耐压性。,0,0,,
BSH2022_FACT_007,原发性脑干出血诊治中国神经外科专家共识 > 三、诊断与评估,fact,评分系统|适量运动,起病急骤，发病后迅速出现以后组颅神经受损，感觉、运动、平衡、意识障碍以及生命体征紊乱为特征的临床症候群。,0,0,,
BSH2022_FACT_008,原发性脑干出血诊治中国神经外科专家共识 > （一）诊断,fact,影像学检查|排除继发出血,主要依据病史、体检及 等影像学检查以明确，但需排除其他继发性因素。,0,0,,
BSH2022_FACT_009,原发性脑干出血诊治中国神经外科专家共识 > （二）评估,fact,抗凝治疗|抗血小板治疗,所有患者应尽快进行包括病史、一般体检、神经系统检查和血液化验等全面评估，尤其应关注高血压病史、口服抗凝抗血小板药物病史、血常规、凝血功能等结果。,0,0,,
BSH2022_FACT_010,原发性脑干出血诊治中国神经外科专家共识 > （二）评估,fact,脑积水|评分系统|量表评估|CTA|影像学检查,GCS评分是最常用的评估量表。,0,0,,
