chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2024_FACT_001,常用脑影像技术在脑卒中诊断中的应用指南,fact,影像学检查|脑血管病|复发预防|流行病学,"中华医学会神经病学分会 中华医学会神经病学分会脑血管病学组

通信作者：徐运，南京大学医学院附属鼓楼医院神经内科，南京 210008，Email：xuyun20",0,0,,
GUIDE2024_FACT_002,Guidelines for the application of common brain imaging technologies in diagnosis of stroke,fact,其他,"Chinese Society of Neurology, Chinese Stroke Society
Corresponding authors: Xu Y",0,0,,
GUIDE2024_FACT_003,Guidelines for the application of common brain imaging technologies in diagnosis of stroke,fact,其他,"【Abstract】 Stroke has the characteristics of high morbidity, high recurrence, hi…",0,0,,
GUIDE2024_FACT_004,Guidelines for the application of common brain imaging technologies in diagnosis of stroke,fact,影像学检查|脑血管病,"Conflicts of interest：None declared
神经影像学近年来进展迅速，影像学技术不断更新，其临床应用与时俱进，在脑卒中领域的诊疗中起",0,0,,
GUIDE2024_FACT_005,（一）CT （computed tomography）,fact,影像学检查|脑出血|蛛网膜下腔出血|脑血管病|排除继发出血,在脑组织病变检查中应用广泛，可清晰显示头颅不同横断面的组织结构和解剖关系，并能够对绝大多数疾病进行检出和诊断。,0,0,,
GUIDE2024_FACT_006,（二）磁共振成像（magnetic resonance imaging，MRI）,fact,MRI|影像学检查|脑梗死|脑血管病,MRI是脑卒中患者临床检查及评估的重要检查技术。,0,0,,
GUIDE2024_FACT_007,（二）磁共振成像（magnetic resonance imaging，MRI）,fact,MRI|脑血管病|适量运动,图像对不同软组织结构具有良好的对比度，适于观察解剖结构； 对病变的信号变化比较敏感，有利于显示病变组织。,0,0,,
GUIDE2024_FACT_008,（二）磁共振成像（magnetic resonance imaging，MRI）,fact,降颅压|MRI|影像学检查,磁 共 振 灌 注 加 权 成 像（magnetic resonanceperfusion weighted imaging， MR‑PWI）可通过动态磁敏 感…,0,0,,
GUIDE2024_FACT_009,（ 一 ）CT 血 管 造 影（computed tomographyangiography， CTA）,fact,CTA|影像学检查|动脉瘤|脑血管病|随访,是目前临床诊断血管病变、观察血管解剖学特点和病变血供来源的重要影像学方法。,0,0,,
GUIDE2024_FACT_010,（ 一 ）CT 血 管 造 影（computed tomographyangiography， CTA）,fact,CTA|MRA|DSA|影像学检查|脑血管病,一般而言， 的空间分辨率高于对比增强磁共 振 血 管 造 影 （contrast enhanced magneticresonanceangiography，C…,0,0,,
