chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
HICH2020_2_FACT_001,一、概述,fact,影像学检查|脑出血|HICH诊断|脑血管病|康复治疗,高血压性脑出血（hypertensive intracerebral hemorrhage，HICH)指具有明确高血压病史的患者突然发生基底核区、丘脑、脑室、小…,0,0,,
HICH2020_2_REC_001,二.急救处理和神经影像学检查 > (一)院前急救,recommendation,脑出血|HICH诊断|院前处理|院前急救,"对突然出现的疑似HICH患者,急救人员应迅速评估,并进行现场因地制宜的紧急处理，后尽快将患者转送至附近有救治条件的医院（I级推荐，C级证据）。",0,0,,
HICH2020_2_FACT_002,二.急救处理和神经影像学检查 > (一)院前急救,fact,气道管理|脑出血|HICH诊断|脑血管病|预后,"HICH早期进展迅速,容易出现神经功能恶化,规范的院前急救对预后至关重要[4]。",0,0,,
HICH2020_2_REC_002,二.急救处理和神经影像学检查 > (二)急诊处理,recommendation,影像学检查|脑出血|HICH诊断|脑血管病|急诊处理,"急诊对疑似出血性卒中患者应快速地进行初诊和评估,稳定生命体征,行头颅CT等影像检查明确 HICH诊断,完成急诊必要的实验室检查（I级推荐,A级证据）。",0,0,,
HICH2020_2_FACT_003,二.急救处理和神经影像学检查 > (二)急诊处理,fact,气道管理|吞咽功能|血糖管理|血钠管理|评分系统,"各级医院的急诊科均应做好处理 HICH 患者的预案,若所在医院没有进一步处理 HICH 的条件,应迅速将患者转送至上一级医疗中心。",0,0,,
HICH2020_2_REC_003,二.急救处理和神经影像学检查 > (三)神经影像学检查,recommendation,斑点征|岛征|混杂征|黑洞征|抗凝治疗,"接诊后尽早行头颅CT或MRI检查,明确HICH诊断（I级推荐,A级证据）。",0,0,,
HICH2020_2_FACT_004,二.急救处理和神经影像学检查 > (三)神经影像学检查,fact,血栓预防|CT|CTA|MRI|MRA,影像学检查方法:HICH一般均为急性起病，及时而快捷的影像学检查对于明确诊断、确定出血部位及出血量至关重要[16]。,0,0,,
HICH2020_2_FACT_005,二.急救处理和神经影像学检查 > (三)神经影像学检查,fact,斑点征|岛征|混杂征|黑洞征|HE预测,"HE 的预测:随着时间的推移,有近1/3 的脑出血患者出现HE。",0,0,,
HICH2020_2_FACT_006,二.急救处理和神经影像学检查 > (三)神经影像学检查,fact,斑点征|抗凝治疗|HE预测|评分系统|CTA,Brouwers 等[19]通过前瞻性大样本队列研究设计了9分法用来预测 HE 的发生。,0,0,,
HICH2020_2_REC_004,三.HICH 的诊断和鉴别诊断,recommendation,脑出血|HICH诊断|鉴别诊断|排除继发出血,"HICH诊断缺乏金标准,主要依靠排除性诊断。",0,0,,
HICH2020_2_FACT_007,三.HICH 的诊断和鉴别诊断,fact,MRI|影像学检查|脑出血|HICH诊断|烟雾病,"HICH的诊断:需要满足以下2条，（1）有明确的高血压病史,突发头痛、呕吐、肢体运动功能障碍、失语甚至昏迷等症状。",0,0,,
HICH2020_2_REC_005,四.HICH专科非手术治疗 > (一)颅内压(ICP)的监测和治疗,recommendation,甘露醇|高渗盐水|颅内高压|颅内压管理|ICP监测,"对所有HICH患者都应进行ICP的评估和判断,及时对颅内高压进行处理,防止发生严重的高颅压甚至脑疝（I级推荐,B 级证据）。",0,0,,
HICH2020_2_FACT_008,四.HICH专科非手术治疗 > (一)颅内压(ICP)的监测和治疗,fact,HICH诊断|颅内高压|颅内压管理|ICP监测|评分系统,颅内高压是HICH重症监护和治疗的重点内容。,0,0,,
HICH2020_2_FACT_009,四.HICH专科非手术治疗 > (一)颅内压(ICP)的监测和治疗,fact,降压研究|HICH诊断|甘露醇|颅内高压|颅内压管理,积极控制脑水肿、降低ICP是脑出血急性期治疗的重要环节。,0,0,,
HICH2020_2_REC_006,四.HICH专科非手术治疗 > (二)镇静、镇痛治疗,recommendation,脑出血|HICH诊断|镇静镇痛,"建议对重症HICH患者，特别是伴躁动者,行镇静、镇痛治疗（I级推荐,C级证据）。",0,0,,
HICH2020_2_FACT_010,四.HICH专科非手术治疗 > (二)镇静、镇痛治疗,fact,镇静镇痛|HE预测|颅内高压|评分系统|脑出血,镇静、镇痛是重症HICH (GCS<8分）患者治疗的重要组成部分。,0,0,,
