chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
MON2021_FACT_001,脑卒中病情监测中国多学科专家共识,fact,影像学检查|TCD|脑出血|脑血管病|预后,中国医师协会神经外科学分会神经重症专家委员会 上海卒中学会 重庆市卒中学会通信作者：冯华，陆军军医大学第一附属医院神经外科，Email：fenghua8888@…,0,0,,
MON2021_FACT_002,脑卒中病情监测中国多学科专家共识,fact,颅内压管理|ICP监测|影像学检查|脑血管病|预后,脑卒中的预后不仅与原发损伤有关，并与随时间推移而发生的继发性脑损伤相关，降低原发损伤和防治继发损伤是脑卒中救治的核心，这一核心很大程度上依赖于病情的严密监测。,0,0,,
MON2021_FACT_003,一、文献检索、证据等级及推荐力度,fact,脑血管病,本专家共识针对脑卒中监测相关重要问题，在MEDLINE、EMBASE 和 Cochrane Library、中国 知网、万方数据库等综合数据库中进行文献检索，文…,0,0,,
MON2021_FACT_004,二、入院时病情评估,fact,评分系统|NIHSS|量表评估|脑出血|脑血管病,脑卒中患者入院后第一时间应对患者病情进行初步评估，主要从生命体征、意识、瞳孔和神经系统查体等方面进行。,0,0,,
MON2021_FACT_005,推荐意见,fact,评分系统|NIHSS|量表评估|脑血管病|证据分级,脑卒中患者入院后需要先对生命体征进行评估，初步的病史、神经查体有助病情判断和初步诊断（ 级证据， 类推荐）。,0,0,,
MON2021_FACT_006,三、脑卒中类型的鉴别诊断,fact,血管内治疗|MRI|影像学检查|脑出血|脑梗死,病情评估完成以后，需要尽快明确诊断。,0,0,,
MON2021_FACT_007,推荐意见,fact,CTA|MRA|脑出血|脑梗死|脑血管病,是急性脑卒中鉴别诊断的首选方法，诊断脑出血的敏感性非常高，对于急性缺血性脑卒中患者行 平扫以排除脑出血（ 级证据， 类推荐）。,0,0,,
MON2021_FACT_008,（一）基础生命体征,fact,ATACH-II|降压研究|血肿扩大|体温管理|NIHSS,体温：发热在 和急性缺血性脑卒中（ ， ）患者中分别为 和［7］。,0,0,,
MON2021_FACT_009,推荐意见,fact,气道管理|颅内压管理|体温管理|脑出血|脑血管病,患者应连续进行体温监测，建议采用更加接近脑温的核心体温（膀胱、直肠等）监测（ 级证据， 类推荐）。,0,0,,
MON2021_FACT_010,（二）重要实验室指标监测,fact,溶栓|高渗盐水|血糖管理|血钠管理|缺血性卒中,反映全身情况的指标：神经重症患者的管理同一般重症患者的管理，同样要兼顾到循环、呼吸、凝血、泌尿等涉及到心、肺、肝、肾等器官的功能状态，临床工作者可参考 年《重症…,0,0,,
