chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
SICH2015_1_FACT_001,自发性脑出血管理指南,fact,脑出血|脑血管病|护理,"美国心脏协会/美国卒中协会针对医疗专业人员的指南
Guidelines for the management of spontaneous intracereb",0,0,,
SICH2015_1_FACT_002,自发性脑出血管理指南,fact,颅内压管理|脑出血|脑室出血|脑血管病|血压管理,【摘要】目的 本指南旨在为自发性脑出血的诊断和治疗提供最新的全面推荐意见。,0,0,,
SICH2015_1_FACT_003,自发性脑出血管理指南,fact,脑出血|缺血性卒中|蛛网膜下腔出血|SAH|动脉瘤,"自发性非外伤性脑出血（intracerebral hemorrhage, ICH)是全球范围内残疾和死亡的一个重要原因。",0,0,,
SICH2015_1_FACT_004,自发性脑出血管理指南,fact,脑出血,"<table><tr><td rowspan=""4""></td><td rowspan=""4"">I级推荐益处&gt;&gt;&gt;风险应该进行/实施操作/治疗",0,0,,
SICH2015_1_FACT_005,自发性脑出血管理指南,fact,抗血小板|颅内压管理|ICP监测|痫性发作|体温管理,"“治疗效应的大小”
证据水平为B级和C级时并不意味着推荐说服力弱。本指南中的许多重要临床问题都不适合进行临床试验。即使没有随机试验资料可以应用，依然可有非常明确",0,0,,
SICH2015_1_FACT_006,自发性脑出血管理指南,fact,脑出血|脑血管病|定义|证据分级,2009年至2013年8月底的相关人类疾病治疗的所有英文文献进行详尽的PubMed检索。,0,0,,
SICH2015_1_FACT_007,自发性脑出血管理指南,fact,脑出血,"<table><tr><td colspan=""2"">推荐分类</td></tr><tr><td>I级推荐</td><td>证据支持和(或)一致认为某种操作或治",0,0,,
SICH2015_1_FACT_008,1 急诊诊断和评估,fact,评分系统|量表评估|脑出血|院前处理|急诊处理,ICH 是一种医学急症。,0,0,,
SICH2015_1_FACT_009,1.1 院前管理,fact,气道管理|脑出血|缺血性卒中|脑血管病|院前处理,ICH 患者的院前管理与缺血性卒中患者类似，详细内容可见 AHA 近期发表的《急性缺血性卒中患者早期处理指南》 $^{[9]}$ 。,0,0,,
SICH2015_1_FACT_010,1.1 院前管理,fact,血管内治疗|抗血小板治疗|DVT|血栓预防|评分系统,<table><tr><td>章节</td><td>I级推荐意见</td></tr><tr><td>急诊诊断和评估</td><td>基线严重程度评分应作为 IC…,0,0,,
