chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2025_FACT_001,,fact,其他,![](images/203079eb3fde328f088725f8414a8d092dac299dd0c8cb8fb97c256ed37ab20c.,0,0,,
GUIDE2025_FACT_002,Diagnosis and Management of Cerebral Amyloid Angiopathy:e A Scientific Statement from the International CAA Association and the World Stroke Organization,fact,脑淀粉样变,<table><tr><td>Journal:</td><td>International Journal of Stroke</td></tr><tr><td…,0,0,,
GUIDE2025_FACT_003,Diagnosis and Management of Cerebral Amyloid Angiopathy:e A Scientific Statement from the International CAA Association and the World Stroke Organization,fact,脑淀粉样变,R1</td></tr><tr><td>Manuscript Type:</td><td>Guidelines</td></tr><tr><td>Date Su,0,0,,
GUIDE2025_FACT_004,Diagnosis and Management of Cerebral Amyloid Angiopathy: A Scientific Statement from the International CAA Association and the World Stroke Organization,fact,脑淀粉样变,"1Cordonnier C, 2Klijn, CJM, 3Smith EE, 4Al-Shahi Salman R, 5Chwalisz BK, 6van Et",0,0,,
GUIDE2025_FACT_005,Diagnosis and Management of Cerebral Amyloid Angiopathy: A Scientific Statement from the International CAA Association and the World Stroke Organization,fact,脑淀粉样变,1Univ.,0,0,,
GUIDE2025_FACT_006,Diagnosis and Management of Cerebral Amyloid Angiopathy: A Scientific Statement from the International CAA Association and the World Stroke Organization,fact,脑淀粉样变,"UK 5Department of Neurology, Massachusetts General Hospital and Harvard Medical ",0,0,,
GUIDE2025_FACT_007,Diagnosis and Management of Cerebral Amyloid Angiopathy: A Scientific Statement from the International CAA Association and the World Stroke Organization,fact,脑淀粉样变,"15UCL Stroke Research Centre, Department of Translational Neuroscience and Strok",0,0,,
GUIDE2025_FACT_008,Disclosurest,fact,其他,Dr.,0,0,,
GUIDE2025_FACT_009,Disclosurest,fact,脑淀粉样变,"p Inventor, without ownership, of the amyloid Ab antibody assay.",0,0,,
GUIDE2025_FACT_010,Disclosurest,fact,MRI|脑出血|脑淀粉样变,"), (Co-)PI of the ENRICH-AF, SATURN-MRI and CoVasc-ICH trials, Steering Committe…",0,0,,
GUIDE2025_FACT_011,Disclosurest,fact,脑淀粉样变,Greenberg: steering committee of the cAPPricorn trial under a consulting service…,0,0,,
GUIDE2025_FACT_012,94 Abstract,fact,脑出血|脑淀粉样变,95 Cerebral amyloid angiopathy (CAA) is a well-recognized and challenging diseas…,0,0,,
GUIDE2025_FACT_013,94 Abstract,fact,脑淀粉样变,"We present guidelines, intended h 103 to inform the approach to individuals with…",0,0,,
GUIDE2025_FACT_014,Introduction,fact,脑出血|脑淀粉样变,"Cerebrovascular amyloid deposition (cerebral amyloid angiopathy, CAA) is now a w…",0,0,,
GUIDE2025_FACT_015,Introduction,fact,脑出血|脑淀粉样变,"These guidelines, written on behalf of the International CAA Association, repres…",0,0,,
GUIDE2025_FACT_016,Introduction,fact,其他,The considerations and recommendations are based on published literature or on t…,0,0,,
GUIDE2025_FACT_017,Introduction,fact,脑淀粉样变,The writing group emphasizes that the listed recommendations represent general c…,0,0,,
GUIDE2025_FACT_018,Basic concepts and suggested terminology,fact,脑淀粉样变,CAA can be used as both a descriptive histopathologic term describing cerebrovas…,0,0,,
GUIDE2025_FACT_019,Basic concepts and suggested terminology,fact,脑出血|脑淀粉样变,The diagnosis does not necessarily implicate CAA as the sole oro primary cause o…,0,0,,
GUIDE2025_FACT_020,Basic concepts and suggested terminology,fact,SAH|脑淀粉样变,The pathogenesis of CAA(5) appears to occur via a pathway involving accumulation…,0,0,,
GUIDE2025_FACT_021,Basic concepts and suggested terminology,fact,MRI|脑出血|SAH|脑淀粉样变,"Recognized clinical manifestations of CAA in addition to ICH, cSAH, and cognitiv…",0,0,,
GUIDE2025_FACT_022,"Diagnosis, testing, and prediction of ICH risk",fact,脑出血,"Recommendations for diagnosis, testing and prediction of ICH risk
Recommendation",0,0,,
GUIDE2025_FACT_023,"Diagnosis, testing, and prediction of ICH risk",fact,脑出血|SAH|脑淀粉样变,<table><tr><td>1.,0,0,,
GUIDE2025_FACT_024,"Diagnosis, testing, and prediction of ICH risk",fact,MRI|脑出血|SAH|脑淀粉样变,"CAA should be considered as a possible cause of unexplained lobar ICH, cSAH, cog…",0,0,,
