chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
SICH2022_FACT_001,AHA/ASA《自发性脑出血诊疗指南 (2022 版)》解读,fact,抗凝治疗|脑出血|脑血管病|康复治疗,"杜伟 周辉 魏新亭
郑州大学第一附属医院神经外科，郑州 450052
通信作者：魏新亭，Email：weixinting777@163.com
【摘要】 202",0,0,,
SICH2022_FACT_002,AHA/ASA《自发性脑出血诊疗指南 (2022 版)》解读,fact,脑出血,"【Abstract】 In 2022, the American Heart Association/American Stroke Association (…",0,0,,
SICH2022_FACT_003,AHA/ASA《自发性脑出血诊疗指南 (2022 版)》解读,fact,抗凝治疗|脑出血|脑血管病|血压管理|康复治疗,自 发 性 脑 出 血 (spontaneous intracerebralhemorrhage，sICH)是全世界范围内人群死亡或残疾的重要原因，患者早期死亡…,0,0,,
SICH2022_FACT_004,一、证据等级和推荐强度,fact,其他,证据等级：由高到低分别为A级(高质量多中心随机对照研究或Meta分析)、B-R级(中等质量随机对照研究或Meta分析)、B-NR级(设计或实施良好的中等质量非随…,0,0,,
SICH2022_FACT_005,(一)院前急救,fact,脑出血|脑血管病|院前处理|院前急救|急诊处理,sICH发病后会迅速出现早期脑损害，院前急救人员常常难以鉴别脑出血和其他类型脑卒中。,0,0,,
SICH2022_FACT_006,(二)sICH诊断、评估和病因分析,fact,血肿扩大|颅内高压|脑水肿|脑积水|血糖管理,入院应进行病史采集、体格检查、常规实验室检查[如全血计数、凝血酶原时间、国际标准化比值(international normalized ratio，INR)、…,0,0,,
SICH2022_FACT_007,(二)sICH诊断、评估和病因分析,fact,血栓预防|CTA|MRI|MRA|DSA,明确病因对sICH的诊治有重要作用。,0,0,,
SICH2022_FACT_008,(二)sICH诊断、评估和病因分析,fact,血栓预防|CTA|MRA|DSA|MRI,有研究报道<70岁脑叶出血、<45岁深部/后颅窝出血、45\~70岁不伴高血压的深部/后颅窝出血患者脑血管畸形、海绵状血管瘤和脑静脉血栓形成发生率大约为17%[…,0,0,,
SICH2022_FACT_009,(三)内科与重症治疗,fact,肺炎预防|感染|吞咽功能|评分系统|影像学检查,一般监护及治疗：推荐sICH患者在具有多学科团队的神经重症病房或卒中单元进行治疗，尤其是在拥有神经外科诊疗能力的中心救治(1类、B-NR级)，发病72 h内需动…,0,0,,
SICH2022_FACT_010,(三)内科与重症治疗,fact,抗凝治疗|血肿扩大|脑出血|止血治疗,凝血功能障碍和止血治疗：(1)维生素K拮抗剂：一项随机对照研究比较了4因子凝血酶原复合物 (4-factor prothrombin complex conce…,0,0,,
SICH2022_FACT_011,(三)内科与重症治疗,fact,血管内治疗|氨甲环酸|抗血小板|肝素相关脑出血|抗凝治疗,肝素：注射鱼精蛋白可以逆转肝素的抗凝作用(2a类、C-LD级)，也可以部分逆转低分子肝素的抗凝作用(2b类、C-LD级)。,0,0,,
SICH2022_FACT_012,(三)内科与重症治疗,fact,脑室外引流|甘露醇|高渗盐水|颅内压管理|脑水肿,体温：sICH发热与临床转归有关。,0,0,,
SICH2022_FACT_013,(四)外科治疗,fact,神经内镜|立体定向|开颅手术|脑室外引流|微创手术,微创手术(立体定向和内镜抽吸)能够快速清除血肿降颅压、缓解脑水肿，较传统开颅手术可减少正常脑组织损伤，但手术时机和价值尚有争议[15]。,0,0,,
SICH2022_FACT_014,(五)撤销生命支持,fact,量表评估|脑出血|预后,sICH相关量表可作为病情严重程度的初始评估方法(1类、B-NR级)，也可作为与患者及家属沟通的参考依据(2b类、B-NR级)，但不能作为预测预后和限制(或终止…,0,0,,
SICH2022_FACT_015,(六)康复治疗,fact,脑出血|康复治疗|早期康复|预后|多学科协作,推荐对sICH患者进行多学科康复治疗(1类、A级)，中度患者可以考虑发病后24\~48 h早期康复以改善预后(2b类、B-R级)，但不应在24 h内进行超早期强…,0,0,,
SICH2022_FACT_016,(七)预防sICH复发,fact,他汀|抗凝治疗|抗血小板治疗|血栓预防|MRI,sICH复发危险因素主要包括：(1)首次脑出血的脑叶部位；(2)高龄；(3)MRI发现微出血或脑皮质表面存在弥漫性铁沉积；(4)血压控制不良；(5)亚裔或非裔，…,0,0,,
SICH2022_FACT_017,三、结语,fact,脑出血,AHA/ASA在系统回顾文献基础上制定的《指南》为sICH治疗提供了重要参考价值。,0,0,,
SICH2022_FACT_018,参 考 文 献,fact,其他,"[1] Jolink WM, Klijn CJ, Brouwers PJ, et al.",0,0,,
SICH2022_FACT_019,参 考 文 献,fact,血肿扩大|脑出血|多学科协作,国多学科诊治指南[J].,0,0,,
SICH2022_FACT_020,参 考 文 献,fact,脑血管病,[5] 中国研究型医院学会脑小血管病专业委员会《中国脑小血管病诊治专家共识》编写组.,0,0,,
SICH2022_FACT_021,参 考 文 献,fact,脑出血|脑血管病,"[7] Fernández-Menéndez S, García-Santiago R, Vega-Primo A, et al.",0,0,,
SICH2022_FACT_022,参 考 文 献,fact,急诊处理,Fresh frozen plasma versus prothrombin complex concentrate in patients with intr…,0,0,,
SICH2022_FACT_023,参 考 文 献,fact,脑出血|脑血管病|多学科协作,家卫生健康委员会脑卒中筛查与防治工程委员会.,0,0,,
SICH2022_FACT_024,参 考 文 献,fact,其他,1016/S0140-6736 (16)30392-0.,0,0,,
SICH2022_FACT_025,参 考 文 献,fact,其他,Clinical outcomes of endoscopic and microsurgical treatments in patients with hy…,0,0,,
SICH2022_FACT_026,参 考 文 献,fact,其他,"Neurol Sci, 2020, 41(3): 509-527.",0,0,,
