chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2022_FACT_001,2022 Guideline for the Management of Patients With Spontaneous Intracerebral Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,fact,其他,Reviewed for evidence-based integrity and endorsed by the American Association o…,0,0,,
GUIDE2022_FACT_002,2022 Guideline for the Management of Patients With Spontaneous Intracerebral Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,fact,其他,Steven M.,0,0,,
GUIDE2022_FACT_003,2022 Guideline for the Management of Patients With Spontaneous Intracerebral Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,fact,其他,"Sunnerhagen, MD, PhD; on behalf of the American Heart Association/American Strok",0,0,,
GUIDE2022_FACT_004,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,The organization of health care systems is increasingly recognized as a key comp…,0,0,,
GUIDE2022_FACT_005,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,"ICHs, like other forms of stroke, occur as the consequence of a defined set of v…",0,0,,
GUIDE2022_FACT_006,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,ICH while anticoagulated has extremely high mortality and morbidity.,0,0,,
GUIDE2022_FACT_007,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,Several in-hospital therapies that have historically been used to treat patients…,0,0,,
GUIDE2022_FACT_008,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测,Use of graduated knee- or thigh-high compression stockings alone is not an effec…,0,0,,
GUIDE2022_FACT_009,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,Minimally invasive approaches for evacuation of supratentorial ICHs and intraven…,0,0,,
GUIDE2022_FACT_010,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,The decision of when and how to limit life-sustaining treatments after ICH remai…,0,0,,
GUIDE2022_FACT_011,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,Rehabilitation and recovery are important determinants of ICH outcome and qualit…,0,0,,
GUIDE2022_FACT_012,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,A key and sometimes overlooked member of the ICH care team is the patient’s home…,0,0,,
GUIDE2022_FACT_013,PREAMBLE,fact,其他,"Since 1990, the American Heart Association (AHA)/ American Stroke Association (A…",0,0,,
GUIDE2022_FACT_014,PREAMBLE,fact,其他,Clinical practice guidelines for stroke provide recommendations applicable to pa…,0,0,,
GUIDE2022_FACT_015,PREAMBLE,fact,其他,The AHA/ASA strives to ensure that guideline writing groups contain requisite ex…,0,0,,
GUIDE2022_FACT_016,PREAMBLE,fact,其他,org/-/media/phd-files/guidelines-and-statements/ policies-devolopment/aha-asa-di…,0,0,,
GUIDE2022_FACT_017,PREAMBLE,fact,其他,"Beginning in 2017, numerous modifications to AHA/ ASA guidelines have been imple…",0,0,,
GUIDE2022_FACT_018,1. INTRODUCTION,fact,脑出血,Approximately $10\%$ of the 795 000 strokes per year in the United States are in…,0,0,,
GUIDE2022_FACT_019,1. INTRODUCTION,fact,脑出血,Several additional features of ICH make it a greater public health threat than c…,0,0,,
GUIDE2022_FACT_020,1. INTRODUCTION,fact,脑出血,ICH thus remains in need of novel treatments and improved application of establi…,0,0,,
GUIDE2022_FACT_021,1.1. Methodology and Evidence Review,fact,其他,"The recommendations listed in this guideline are, whenever possible, evidence ba…",0,0,,
GUIDE2022_FACT_022,1.1. Methodology and Evidence Review,fact,其他,For specific search terms used‚ readers are referred to the Online Data Suppleme…,0,0,,
GUIDE2022_FACT_023,1.1. Methodology and Evidence Review,fact,其他,Each topic area was assigned a primary writer and a primary and sometimes second…,0,0,,
GUIDE2022_FACT_024,1.2. Organization of the Writing Group,fact,其他,"The guideline writing group consisted of vascular neurologists, neurocritical ca…",0,0,,
GUIDE2022_FACT_025,1.2. Organization of the Writing Group,fact,脑出血,![](images/c33770435f135a74a7a54e368c891c516f6bdfebb82c12d3d14b5ba303c64902.,0,0,,
GUIDE2022_FACT_026,1.3. Document Review and Approval,fact,其他,This document was reviewed by the AHA Stroke Council Scientific Statement Oversi…,0,0,,
GUIDE2022_FACT_027,1.4. Scope of the Guideline,fact,脑出血,"This guideline addresses the diagnosis, treatment, and prevention of ICH in adul…",0,0,,
GUIDE2022_FACT_028,1.4. Scope of the Guideline,fact,脑出血,"13,15 This guideline does, however, address imaging approaches to ICH that help …",0,0,,
GUIDE2022_FACT_029,1.4. Scope of the Guideline,fact,脑出血,"This guideline aims to cover the full course of primary ICH (Figure 1), from the…",0,0,,
GUIDE2022_FACT_030,1.4. Scope of the Guideline,fact,脑出血,Some aspects of inpatient medical care and post-ICH rehabilitation are likely to…,0,0,,
GUIDE2022_FACT_031,1.4. Scope of the Guideline,fact,脑出血,Another area where this ICH guideline interfaces with prior ischemic stroke guid…,0,0,,
GUIDE2022_FACT_032,1.4. Scope of the Guideline,fact,其他,<html><body><table><tr><td>Title</td><td>Organization</td><td>Publication year</,0,0,,
GUIDE2022_FACT_033,1.4. Scope of the Guideline,fact,其他,"AAPA indicates American Association of Physician Assistants; ABC, Association of…",0,0,,
GUIDE2022_FACT_034,1.4. Scope of the Guideline,fact,脑出血,This ICH guideline has a new section on assessment of ICH risk in individuals wi…,0,0,,
GUIDE2022_FACT_035,1.4. Scope of the Guideline,fact,MRI,"1, Secondary Prevention) and the high frequency with which these small hemorrhag…",0,0,,
GUIDE2022_FACT_036,1.5. COR and LOE,fact,其他,Recommendations are designated with both a COR and an LOE.,0,0,,
GUIDE2022_FACT_037,Abbreviations,fact,ATACH-II,<html><body><table><tr><td>Abbreviation</td><td>Meaning/Phrase</td></tr><tr><td>,0,0,,
GUIDE2022_FACT_038,Abbreviations,fact,CTA,<html><body><table><tr><td>Abbreviation</td><td>Meaning/Phrase</td></tr><tr><td>,0,0,,
GUIDE2022_FACT_039,Abbreviations,fact,其他,<html><body><table><tr><td>Abbreviation</td><td>Meaning/Phrase</td></tr><tr><td>,0,0,,
GUIDE2022_FACT_040,2.1. Small Vessel Disease Types,fact,脑出血|脑淀粉样变,Despite our use of the term primary ICH to distinguish from ICH with a demonstra…,0,0,,
GUIDE2022_FACT_041,2.1. Small Vessel Disease Types,fact,脑淀粉样变,21 Arteriolosclerosis (also referred to as lipohyalinosis) is detected as concen…,0,0,,
GUIDE2022_FACT_042,2.1. Small Vessel Disease Types,fact,脑出血|脑淀粉样变,ICH occurs in a relatively small subset of those brains with advanced arteriolos,0,0,,
GUIDE2022_FACT_043,Suggested phrases for writing recommendations:,fact,其他,"Is recommended   
Is indicated/useful/effective/beneficial   
Should be performe",0,0,,
GUIDE2022_FACT_044,Suggested phrases for writing recommendations:,fact,其他,"·Is reasonable   
Can be useful/effective/beneficial   
Comparative-Effectivenes",0,0,,
GUIDE2022_FACT_045,Suggested phrases for writing recommendations:,fact,其他,"May/might be reasonable   
May/might be considered   
Usefulness/effectiveness i",0,0,,
GUIDE2022_FACT_046,Class 3: Harm (STRONG),fact,其他,"Risk>Benefit  

Suggested phrases for writing recommendations:  

Potentially ha",0,0,,
GUIDE2022_FACT_047,LEVELA,fact,其他,High-quality evidencet from more than 1 RCT Meta-analyses of high-quality RCTs O,0,0,,
GUIDE2022_FACT_048,LEVEL B-R,fact,其他,"(Randomized)  

Moderate-quality evidencet from 1 or more RCTs Meta-analyses of ",0,0,,
GUIDE2022_FACT_049,(Nonrandomized),fact,其他,"Moderate-quality evidence from 1 or more well-designed, wellexecuted nonrandomiz",0,0,,
GUIDE2022_FACT_050,(Limited Data),fact,其他,Randomized or nonrandomized observational or registry studies with limitations o,0,0,,
GUIDE2022_FACT_051,LEVEL C-EO,fact,其他,"(Expert Opinion)
· Consensus of expert opinion based on clinical experience
COR ",0,0,,
GUIDE2022_FACT_052,LEVEL C-EO,fact,MRI|脑出血,the brain locations favored by the underlying pathologies.,0,0,,
GUIDE2022_FACT_053,LEVEL C-EO,fact,其他,\The outcome or result of the intervention should be specified (an improved clin…,0,0,,
GUIDE2022_FACT_054,LEVEL C-EO,fact,脑出血,The underlying small vessel types of ICH have several practical implications for…,0,0,,
GUIDE2022_FACT_055,LEVEL C-EO,fact,脑出血|脑淀粉样变,of ICH.,0,0,,
GUIDE2022_FACT_056,2.2. Mechanisms for ICH-Related Brain Injury,fact,HE预测|ICP监测|脑出血,ICH is understood to injure surrounding brain tissue through the direct pressure…,0,0,,
GUIDE2022_FACT_057,2.2. Mechanisms for ICH-Related Brain Injury,fact,脑出血|脑淀粉样变,Secondary physiological and cellular injury mechanisms postulated to be triggere…,0,0,,
GUIDE2022_FACT_058,2.2. Mechanisms for ICH-Related Brain Injury,fact,HE预测|脑出血,Several of the major medical therapies for ICH such as BP lowering and reversal …,0,0,,
GUIDE2022_FACT_059,2.3. Limits to Generalizability,fact,脑出血,A key limitation that runs through all sections of this guideline is that much o…,0,0,,
GUIDE2022_FACT_060,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,"<html><body><table><tr><td colspan=""3"">RecommendationsforOrganizationofPrehospit…",0,0,,
GUIDE2022_FACT_061,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,<html><body><table><tr><td>of Care (Continued) COR</td><td>LOE</td><td>Recommend…,0,0,,
GUIDE2022_FACT_062,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,"In patients with potential spontaneous ICH, early notification by emergency medi…",0,0,,
GUIDE2022_FACT_063,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,"In patients with potential stroke, including spontaneous ICH, in geographic regi…",0,0,,
GUIDE2022_FACT_064,Synopsis,fact,脑出血,Much of the data for prehospital care and stroke systems of care are derived fro…,0,0,,
GUIDE2022_FACT_065,Synopsis,fact,脑出血,"To facilitate rapid diagnosis and treatment of ICH, we recommend public health m…",0,0,,
GUIDE2022_FACT_066,Recommendation-Specific Supportive Text,fact,脑出血,Early symptom recognition is essential for timely ICH care.,0,0,,
GUIDE2022_FACT_067,Recommendation-Specific Supportive Text,fact,脑出血,"51–54 Knowledge of stroke warning signs varies by race, sex, ethnicity, age, edu…",0,0,,
GUIDE2022_FACT_068,Recommendation-Specific Supportive Text,fact,脑出血,41 Differences include whether they focus on sensitivity or specificity and whet…,0,0,,
GUIDE2022_FACT_069,Recommendation-Specific Supportive Text,fact,脑出血,Most studies of stroke scale use in practice inadequately account for falsenegat…,0,0,,
GUIDE2022_FACT_070,Recommendation-Specific Supportive Text,fact,脑出血,"One group found that in a large national cohort of patients with stroke, EMS use…",0,0,,
GUIDE2022_FACT_071,Recommendation-Specific Supportive Text,fact,其他,"55 Thus, persistent efforts to ensure activation of the 9-1-1 or a similar emerg…",0,0,,
GUIDE2022_FACT_072,Recommendation-Specific Supportive Text,fact,脑出血,Many observational studies in patients with stroke (including both ischemic and …,0,0,,
GUIDE2022_FACT_073,Recommendation-Specific Supportive Text,fact,脑出血,"One group found that for ICH, early stroke team activation was associated with f…",0,0,,
GUIDE2022_FACT_074,Recommendation-Specific Supportive Text,fact,脑出血,Many regions have developed stroke systems of care and stratify hospitals accord…,0,0,,
GUIDE2022_FACT_075,Recommendation-Specific Supportive Text,fact,脑出血,One observational study found that Canadian provinces that had implemented strok…,0,0,,
GUIDE2022_FACT_076,Recommendation-Specific Supportive Text,fact,脑出血,"Most studies of MSUs have focused on time to thrombolysis for stroke, and subgro…",0,0,,
GUIDE2022_FACT_077,Recommendation-Specific Supportive Text,fact,脑出血,Forty-one percent of the MSU patient group and none of the standard care group r…,0,0,,
GUIDE2022_FACT_078,Recommendation-Specific Supportive Text,fact,评分系统|脑出血,No clinical trials of different EMS response strategies were found to have been …,0,0,,
GUIDE2022_FACT_079,Recommendation-Specific Supportive Text,fact,其他,"48,61,62 This suggests a value for EMS clinicians trained in performing initial …",0,0,,
GUIDE2022_FACT_080,Knowledge Gaps and Future Research,fact,脑出血,Data on whether and what types of public health campaigns that help the public r…,0,0,,
GUIDE2022_FACT_081,Knowledge Gaps and Future Research,fact,其他,Data on which prehospital strategies translate to improved outcomes are limited;…,0,0,,
GUIDE2022_FACT_082,Knowledge Gaps and Future Research,fact,脑出血,Much of the data for prehospital care and stroke systems of care were derived fr…,0,0,,
GUIDE2022_FACT_083,Knowledge Gaps and Future Research,fact,脑出血,Existing tools to stratify or diagnose ICH in the prehospital setting are limite…,0,0,,
GUIDE2022_FACT_084,Knowledge Gaps and Future Research,fact,脑出血,It will be important to determine whether other potential treatments targeted sp…,0,0,,
GUIDE2022_FACT_085,4.1.1. Physical Examination and Laboratory Assessment,fact,脑出血,"<html><body><table><tr><td colspan=""3"">RecommendationsforPhysicalExaminationandL…",0,0,,
GUIDE2022_FACT_086,Synopsis,fact,脑出血,Routine laboratory work provides important information about coagulation status …,0,0,,
GUIDE2022_FACT_087,Synopsis,fact,脑出血,Table 3.,0,0,,
GUIDE2022_FACT_088,Synopsis,fact,其他,<html><body><table><tr><td>Assessment type</td><td>Comments</td></tr><tr><td col…,0,0,,
GUIDE2022_FACT_089,Synopsis,fact,其他,2)</td></tr><tr><td>Hyperlipidemia</td></tr><tr><td>Diabetes</td></tr><tr><td>Me…,0,0,,
GUIDE2022_FACT_090,Synopsis,fact,其他,"2), decongestants, stimulants, phentermine, sympathomimetic</td></tr><tr><td>dru…",0,0,,
GUIDE2022_FACT_091,Synopsis,fact,其他,5)</td><td>Smoking</td></tr><tr><td>Alcohol use</td></tr><tr><td>Marijuana (asso…,0,0,,
GUIDE2022_FACT_092,Synopsis,fact,其他,"</td></tr><tr><td colspan=""2"">Serum and urine tests</td></tr><tr><td>orCRP)</td>…",0,0,,
GUIDE2022_FACT_093,Synopsis,fact,脑出血,87</td></tr><tr><td>Cardiac-specific troponin and ECG</td><td>Elevated troponin …,0,0,,
GUIDE2022_FACT_094,Synopsis,fact,HE预测|评分系统|NIHSS|脑出血,"CRP indicates C-reactive protein; CVST, cerebral venous sinus thrombosis; DOAC, …",0,0,,
GUIDE2022_FACT_095,Recommendation-Specific Supportive Text,fact,脑出血,coagulopatny (prothrombin time/partial thromboplastin time/INR) can help determi…,0,0,,
GUIDE2022_FACT_096,Recommendation-Specific Supportive Text,fact,脑出血,One study showed a dose response of INR level in warfarin-related hemorrhage ass…,0,0,,
GUIDE2022_FACT_097,Recommendation-Specific Supportive Text,fact,其他,68 Additional lifestyle risk factors that should be assessed include tobacco smo…,0,0,,
GUIDE2022_FACT_098,Knowledge Gaps and Future Research,fact,脑出血,Further studies are necessary to determine whether platelet or coagulation activ…,0,0,,
GUIDE2022_FACT_099,Knowledge Gaps and Future Research,fact,其他,Specific reliable measurements of these anticoagulants could determine which pat…,0,0,,
GUIDE2022_FACT_100,Knowledge Gaps and Future Research,fact,其他,"Viscoelastic hemostatic assays, including thromboelastography and rotational thr…",0,0,,
GUIDE2022_FACT_101,Knowledge Gaps and Future Research,fact,脑出血,Understanding the significance of these studies in patients with ICH is an area …,0,0,,
GUIDE2022_FACT_102,4.1.2. Neuroimaging for ICH Diagnosis and Acute Course,fact,MRI|脑出血,"<html><body><table><tr><td colspan=""3"">RecommendationsforNeuroimagingforICHDiagn…",0,0,,
GUIDE2022_FACT_103,4.1.2. Neuroimaging for ICH Diagnosis and Acute Course,fact,评分系统|脑出血,"InpatientswithspontaneousICH and/orIVH andwithlowGCSscoreorND,serialhead CTcanbe…",0,0,,
GUIDE2022_FACT_104,4.1.2. Neuroimaging for ICH Diagnosis and Acute Course,fact,HE预测|CTA|脑出血,"<html><body><table><tr><td colspan=""3"">RecommendationsforNeuroimagingforICHDiagn…",0,0,,
GUIDE2022_FACT_105,Synopsis,fact,MRI|脑出血,Brain imaging is essential to distinguish ICH from ischemic stroke and determine…,0,0,,
GUIDE2022_FACT_106,Synopsis,fact,斑点征|HE预测|CTA,"30,97,98,111 Identification of a spot sign on CTA or contrast-enhanced CT104,107…",0,0,,
GUIDE2022_FACT_107,Recommendation-Specific Supportive Text,fact,MRI|脑出血,"A prospective, multicenter, observational study of 62 patients presenting within…",0,0,,
GUIDE2022_FACT_108,Recommendation-Specific Supportive Text,fact,HE预测|脑出血,"HE occurs early after ICH and is an independent predictor of ND, mortality, and …",0,0,,
GUIDE2022_FACT_109,Recommendation-Specific Supportive Text,fact,HE预测,HE after 24 hours was extremely rare $\left(0\%\right)$ ).,0,0,,
GUIDE2022_FACT_110,Recommendation-Specific Supportive Text,fact,评分系统,This recommendation pertains to indications for repeat imaging to detect other d…,0,0,,
GUIDE2022_FACT_111,Recommendation-Specific Supportive Text,fact,脑出血,A single-center observational study in 239 patients with spontaneous ICH admitte…,0,0,,
GUIDE2022_FACT_112,Recommendation-Specific Supportive Text,fact,斑点征|HE预测|CTA,Although benefits of therapies that target HE have currently not been demonstrat…,0,0,,
GUIDE2022_FACT_113,Recommendation-Specific Supportive Text,fact,斑点征|HE预测|CTA|脑出血,A meta-analysis of individual data from 5435 patients reported that the addition…,0,0,,
