chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
PIVH2025_FACT_001,早产儿脑室内出血预防专家共识( ),fact,复发预防,"中国医师协会新生儿科医师分会 北京医师协会新生儿科医师分会 李秋平1封志纯1 母得志2 唐军2 熊涛2 唐尚鸿1

1中国人民解放军总医院第七医学中心儿科医学部",0,0,,
PIVH2025_FACT_002,Expertconsensusonpreventionofintraventricularhemorrhageinpreterminfants(2025),fact,其他,Neonatal Physicians Branch of Chinese Medical Doctor Association， Neonatologist ,0,0,,
PIVH2025_FACT_003,Expertconsensusonpreventionofintraventricularhemorrhageinpreterminfants(2025),fact,其他,【Abstract】 ( ) leading to mortality and severe neurological disabilities，particu…,0,0,,
PIVH2025_FACT_004,Expertconsensusonpreventionofintraventricularhemorrhageinpreterminfants(2025),fact,其他,Therefore，the Neonatologist Branch of the Chinese Medical Doctor Association and…,0,0,,
PIVH2025_FACT_005,Expertconsensusonpreventionofintraventricularhemorrhageinpreterminfants(2025),fact,预后,【Keywords】 ; ; ;Universal precautions；Nervous system diseases；Expert consensus；I,0,0,,
PIVH2025_FACT_006,Expertconsensusonpreventionofintraventricularhemorrhageinpreterminfants(2025),fact,复发预防|预后,早产儿 与其神经系统不良预后密切相关即使是轻度 也可增加其日后脑瘫 学习困难认知障碍、孤独症谱系障碍等风险[5-6]。,0,0,,
PIVH2025_FACT_007,Expertconsensusonpreventionofintraventricularhemorrhageinpreterminfants(2025),fact,复发预防,"<table><tr><td>分级</td><td>分级标准</td></tr><tr><td colspan=""2"">证据质量</td></tr><tr><t",0,0,,
PIVH2025_FACT_008,1.1 文献检索策略,fact,复发预防,本共识通过英文关键词“ ”“ ”“preterm infants”“premature infant”“low birthweight”“very low bi,0,0,,
PIVH2025_FACT_009,1.2 文献纳入与排除标准,fact,复发预防|排除继发出血,早产儿 早期预防相关研究文献纳入标准:关于早产儿 早期预防文献类型为临床试验队列研究 病例对照研究 系统综述和 分析等高质量研究 国际上公开发表的早产儿 早期预,0,0,,
PIVH2025_FACT_010,2.1 预防原则,fact,颅内压管理|降颅压|感染|血糖管理|脑出血,"推荐意见 :早产儿 的发生机制复杂,与早产儿脑发育特点 宫内感染 脑血流波动 颅内压变化等多种因素相关 需注重早产儿产前 产时和产后全过程的精细化管理 以预防早…",0,0,,
PIVH2025_FACT_011,2.2 临床诊断及分级推荐意见,fact,TCD|脑出血|证据分级,"推荐意见 推荐床旁颅脑超声作为早产儿的首要临床诊断手段

文献报道 以上早产儿 发生在生后内 发生在生后 周内[15] 头颅彩色多普勒超声因其便携 可靠 高效 ",0,0,,
PIVH2025_FACT_012,2.3 早产儿首次头颅超声检查时机及后续检查频率,fact,TCD|脑室出血|证据分级,推荐意见 对于临床状况稳定且无明显脑损伤临床症状的早产儿 建议在出生后 进行首次头颅超声检查。,0,0,,
PIVH2025_FACT_013,2.3 早产儿首次头颅超声检查时机及后续检查频率,fact,TCD|脑出血|危险因素,世纪 年代 常规在早产儿出生后 内进行头颅超声检查 部分甚至在出生后 内进行若早产儿无明确颅脑出血症状 可在出生后 周内进行第二次头颅超声检查 此后每周检查 次…,0,0,,
PIVH2025_FACT_014,2.4 早产儿 产前预防策略,fact,气道管理|复发预防|证据分级,"推荐意见 对孕龄 孕周孕妇 有早产风险时 产前对孕妇采取足疗程糖皮质激素治疗措施 可有效降低早产儿发生率 证据级别高 推荐级别强
根据文献报道 对有早产风险孕妇",0,0,,
PIVH2025_FACT_015,2.4 早产儿 产前预防策略,fact,影像学检查|复发预防|流行病学|证据分级|神经保护剂,既往研究表明 产前对孕母采取硫酸镁治疗对早产儿神经具有保护作用[27] 证据表明 2+参与细胞内糖酵解 氧化磷酸化 蛋白质合成和细胞膜完整性维持 同时 2+ 可…,0,0,,
PIVH2025_FACT_016,2.4 早产儿 产前预防策略,fact,脑出血|复发预防,"研究表明 早产儿剖宫产术分娩率显著高于足月儿,差异有统计学意义( )[32]。",0,0,,
PIVH2025_FACT_017,2.4 早产儿 产前预防策略,fact,降颅压|复发预防|证据分级,"由此可见 虽尚无充分证据推荐常规采用剖宫产术分娩早产儿以降低 发生率 但对于胎龄周臀位胎儿 推荐首选剖宫产术
推荐意见 建议将孕龄 孕周有早产风险的孕妇转运至 ",0,0,,
