chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2023_1_FACT_001,Guidelines for the Neurocritical Care Management of Aneurysmal Subarachnoid Hemorrhage,fact,其他,Miriam M.,0,0,,
GUIDE2023_1_FACT_002,Abstract,fact,SAH,Background:  The neurointensive care management of patients with aneurysmal suba…,0,0,,
GUIDE2023_1_FACT_003,Abstract,fact,SAH,Methods:  The Population/Intervention/Comparator/Outcome (PICO) questions releva…,0,0,,
GUIDE2023_1_FACT_004,Abstract,fact,其他,"Panelists used the Grading of Recommendations Assessment, Development, and Evalu…",0,0,,
GUIDE2023_1_FACT_005,Abstract,fact,其他,"Results:  The initial search retrieved 15,107 unique publications, and 74 were i…",0,0,,
GUIDE2023_1_FACT_006,Abstract,fact,SAH,Conclusions:  These guidelines provide recommendations for or against interventi…,0,0,,
GUIDE2023_1_FACT_007,Introduction,fact,SAH,The neurointensive care management of patients with aneurysmal subarachnoid hemo…,0,0,,
GUIDE2023_1_FACT_008,Introduction,fact,SAH,Recent reports suggest a meaningful improvement in functional outcome observed e…,0,0,,
GUIDE2023_1_FACT_009,Introduction,fact,其他,"As the body of literature has been rapidly growing, the Neurocritical Care Socie…",0,0,,
GUIDE2023_1_FACT_010,Introduction,fact,其他,A total of nine specific topics were selected to be addressed in these guideline…,0,0,,
GUIDE2023_1_FACT_011,Methods,fact,其他,This guideline was developed using the GRADE approach for evidence assessment [8…,0,0,,
GUIDE2023_1_FACT_012,Panel Composition,fact,其他,The initial guideline panel assembled in March 2019 was composed of 12 neurocrit…,0,0,,
GUIDE2023_1_FACT_013,Disclosure and Management of Potential Conflicts of Interest,fact,其他,During the committee selection process and prior to confirming the panel members…,0,0,,
GUIDE2023_1_FACT_014,Question Generation,fact,SAH,"Clinical questions included in this guideline were developed into a Population, …",0,0,,
GUIDE2023_1_FACT_015,Question Generation,fact,SAH,The panel selected nine PICO questions relevant to the management of aSAH in the…,0,0,,
GUIDE2023_1_FACT_016,Determination of Relevant Outcomes,fact,其他,The panel members extensively discussed a strategy to prioritize clinically rele…,0,0,,
GUIDE2023_1_FACT_017,Search Strategy,fact,其他,"Once the PICO questions were defined, the two panelists assigned to each PICO qu…",0,0,,
GUIDE2023_1_FACT_018,Screening and Study Selection,fact,其他,The panel used the DistillerSR software (DistillerSR; Evidence Partners.,0,0,,
GUIDE2023_1_FACT_019,Screening and Study Selection,fact,其他,"There were no date restrictions, but a minimum acceptable criterion was that the…",0,0,,
GUIDE2023_1_FACT_020,Data Abstraction,fact,其他,The panel used a standardized database for data abstraction and critical apprais…,0,0,,
GUIDE2023_1_FACT_021,Risk of Bias and Quality of the Evidence,fact,其他,The overall quality of evidence was determined based on overall risk of bias and…,0,0,,
GUIDE2023_1_FACT_022,Panel Discussion and Evidence to Recommendation Process,fact,其他,Following the completion of data abstraction conducted in duplicate manner by tw…,0,0,,
GUIDE2023_1_FACT_023,Panel Discussion and Evidence to Recommendation Process,fact,其他,The topic was rediscussed with a decision to divide the recommendation into its …,0,0,,
GUIDE2023_1_FACT_024,Panel Discussion and Evidence to Recommendation Process,fact,其他,! [](images/4394f895b8897958a2414fbb2aa90375ab2f7357774234c91dda16c7b180f8e6.,0,0,,
GUIDE2023_1_FACT_025,Panel Discussion and Evidence to Recommendation Process,fact,其他,Inadditiontoevaluatingthequalityoftheevidencewhendeterminingthestrengthofthereco…,0,0,,
GUIDE2023_1_FACT_026,SummaryofRecommendationsAsummaryofthePICOtopicsandtheirrecommendationsisshownintheexecutivesummarytable (Table1).Table1Summaryofrecommendations,fact,SAH,<html><body><table><tr><td>Recommendation</td><td>Reasoning</td></tr><tr><td>Blo…,0,0,,
GUIDE2023_1_FACT_027,SummaryofRecommendationsAsummaryofthePICOtopicsandtheirrecommendationsisshownintheexecutivesummarytable (Table1).Table1Summaryofrecommendations,fact,SAH,Lackofevidencetorecommendaspecificbloodpressurereduc- tiongoaldoesnotnecessarily…,0,0,,
GUIDE2023_1_FACT_028,SummaryofRecommendationsAsummaryofthePICOtopicsandtheirrecommendationsisshownintheexecutivesummarytable (Table1).Table1Summaryofrecommendations,fact,其他,"Duetotheassociatedrisks, useoftheseinterventionsshouldbejudiciousandtailoredtoth",0,0,,
GUIDE2023_1_FACT_029,SummaryofRecommendationsAsummaryofthePICOtopicsandtheirrecommendationsisshownintheexecutivesummarytable (Table1).Table1Summaryofrecommendations,fact,评分系统|SAH,"SAHaneurysmalsubarachnoidhemorrhage, DCIdelayedcerebralischemia, EVDexternalvent…",0,0,,
GUIDE2023_1_FACT_030,SummaryofRecommendationsAsummaryofthePICOtopicsandtheirrecommendationsisshownintheexecutivesummarytable (Table1).Table1Summaryofrecommendations,fact,评分系统,"<html><body><table><tr><tdcolspan=""5"">Certaintyassessment</td><tdrowspan=""2"">Qua",0,0,,
GUIDE2023_1_FACT_031,SummaryofRecommendationsAsummaryofthePICOtopicsandtheirrecommendationsisshownintheexecutivesummarytable (Table1).Table1Summaryofrecommendations,fact,其他,"GRADEWorkingGroupgradesofevidence:
⊕  ⊕  ⊕  ⊕ : Highcertainty (veryconfidentthat",0,0,,
