chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
ICH2019_FACT_001,中国脑出血诊治指南（2019）,fact,脑出血|脑血管病|流行病学,【摘要】 自《中国脑出血诊治指南（2014）》发布后，近年来脑出血的诊治方法有了新的进展。,0,0,,
ICH2019_REC_001,院前处理,recommendation,脑血管病|院前处理|院前急救,对突然出现脑卒中症状的患者，急救人员应进行简要评估和急救处理并尽快送往附近有救治条件的医院（Ⅰ级推荐，D级证据）。,0,0,,
ICH2019_FACT_002,院前处理,fact,脑出血|脑血管病|院前处理,院前处理的关键是迅速识别疑似脑卒中患者并尽快送往医院。,0,0,,
ICH2019_FACT_003,诊断与评估,fact,影像学检查|脑出血|病因分型|SMASH-U分类,脑出血的诊断与评估包括：病史与体征、影像学检查、实验室检查、疾病诊断及病因分型等。,0,0,,
ICH2019_FACT_004,一、病史与体征,fact,抗血小板|抗凝治疗|评分系统|NIHSS|量表评估,病史采集：重点询问患者或目击者脑卒中发生的时间、症状、当时患者的活动情况、年龄及下述情况：是否有外伤史、高血压病史、卒中病史、糖尿病史、冠心病史及吸烟饮酒史、用…,0,0,,
ICH2019_FACT_005,二、影像学检查,fact,斑点征|血肿扩大|CT|MRI|MRA,影像学检查是脑出血诊断的重要手段，尤其是CT检查是诊断早期脑出血的”金标准”。,0,0,,
ICH2019_FACT_006,二、影像学检查,fact,斑点征|血管内治疗|血肿扩大|血栓预防|CTA,脑血管检查：脑血管检查有助于了解导致脑出血病变的血管及病因，指导选择治疗方案。,0,0,,
ICH2019_FACT_007,三、实验室检查,fact,血糖管理|血钠管理|脑出血|脑淀粉样变|排除继发出血,对脑出血患者应进行常规的实验室检查以了解基本状况和排除相关系统疾病。,0,0,,
ICH2019_REC_002,四、疾病诊断,recommendation,斑点征|血肿扩大|评分系统|NIHSS|量表评估,尽早对脑出血患者进行全面评估，包括病史、一般检查、神经系统检查和有关实验室检查，特别是血常规、凝血功能和影像学检查（Ⅰ级推荐，C级证据）。,0,0,,
ICH2019_FACT_008,四、疾病诊断,fact,评分系统|NIHSS|量表评估|MRI|脑出血,诊断标准：（1）急性起病；（2）局灶神经功能缺损症状（少数为全面神经功能缺损），常伴有头痛、呕吐、血压升高及不同程度意识障碍；（3）头颅CT或MRI显示出血灶；…,0,0,,
ICH2019_FACT_009,脑出血的治疗,fact,脑出血|外科治疗|一般治疗|排除继发出血,脑出血的治疗包括内科治疗和外科治疗，大多数的患者均以内科治疗为主，如果病情危重或发现有继发原因，且有手术适应证者，则应该进行外科治疗。,0,0,,
ICH2019_FACT_010,（一）一般治疗,fact,脑出血|脑血管病|一般治疗|重症监护,脑出血患者在发病后的最初数天病情往往不稳定，应常规予以持续生命体征监测、神经系统评估、持续心肺监护，包括袖带血压监测、心电图监测、氧饱和度监测。,0,0,,
ICH2019_REC_003,（二）血压管理,recommendation,脑出血|血压管理|降压治疗,应综合管理脑出血患者的血压，分析血压升高的原因，再根据血压情况决定是否进行降压治疗（Ⅰ级推荐，C级证据）。,0,0,,
ICH2019_FACT_011,（二）血压管理,fact,ATACH-II|降压研究|血肿扩大|降颅压|影像学检查,脑出血患者常常出现血压明显升高，多种因素（应激、疼痛、高颅压等）均可使血压升高，且血压升高（>180 mmHg；1 mmHg=0.,0,0,,
ICH2019_REC_004,（三）血糖管理,recommendation,血糖管理,血糖值可控制在7.,0,0,,
ICH2019_FACT_012,（三）血糖管理,fact,脑水肿|血糖管理|脑出血,高血糖：无论患者既往是否有糖尿病史，入院时高血糖均预示脑出血患者的死亡和不良转归风险增高［33］。,0,0,,
ICH2019_FACT_013,（四）体温,fact,感染|体温管理|脑出血|脑干出血|病因分型,脑出血患者早期可出现中枢性发热，特别是在大量脑出血、丘脑出血或脑干出血者中出现。,0,0,,
ICH2019_REC_005,（五）药物治疗,recommendation,血管内治疗|氨甲环酸|rFVIa|血栓预防|脑出血,rFVIIa治疗脑出血的临床疗效尚不确定，且可能增加血栓栓塞的风险，不推荐常规使用（Ⅱ级推荐，B级证据）。,0,0,,
ICH2019_REC_006,（五）药物治疗,recommendation,神经保护剂,神经保护剂、中药制剂的疗效与安全性尚需开展更多高质量临床试验进一步证实（Ⅱ级推荐，C级证据）。,0,0,,
