chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2019_FACT_001,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,A Guideline for Healthcare Professionals From the American Heart Association/Ame,0,0,,
GUIDE2019_FACT_002,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,William J.,0,0,,
GUIDE2019_FACT_003,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,Background and Purpose—The purpose of these guidelines is to provide an up-to-da…,0,0,,
GUIDE2019_FACT_004,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,Methods—Members of the writing group were appointed by the American Heart Associ…,0,0,,
GUIDE2019_FACT_005,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,"In June 2018, the writing group submitted a document with minor changes and with…",0,0,,
GUIDE2019_FACT_006,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,"Results—These guidelines detail prehospital care, urgent and emergency evaluatio…",0,0,,
GUIDE2019_FACT_007,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,Key Words: AHA Scientific Statements ◼ critical care $\sqsubset$ disease managem,0,0,,
GUIDE2019_FACT_008,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,New high-quality evidence has produced major changes (AIS) since the publication…,0,0,,
GUIDE2019_FACT_009,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,"These guidelines address prehospital care, urgent and emergency evaluation and t…",0,0,,
GUIDE2019_FACT_010,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,An independent Evidence Review Committee was commissioned to perform a systemati…,0,0,,
GUIDE2019_FACT_011,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,These guidelines use the American College of Cardiology (ACC)/AHA Class of Recom…,0,0,,
GUIDE2019_FACT_012,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,Existing recommendations that are unchanged are reiterated with reference to the…,0,0,,
GUIDE2019_FACT_013,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,Members of the writing committee were appointed by the AHA Stroke Council’s Scie…,0,0,,
GUIDE2019_FACT_014,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,The full writing group then evaluated the complete guidelines.,0,0,,
GUIDE2019_FACT_015,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,"On April 18, 2018, the AHA published a revision to the AIS Guidelines online, de…",0,0,,
GUIDE2019_FACT_016,Guidelines for the Early Management of Patients With Acute Ischemic Stroke: 2019 Update to the 2018 Guidelines for the Early Management of Acute Ischemic Stroke,fact,其他,This revised document was reviewed by Stroke Council’s Scientific Statements Ove…,0,0,,
GUIDE2019_FACT_017,Benefit >>> Risk LEVELA,fact,其他,"Suggested phrases for writing recommendations:  

Isrecommended   
Is indicated/",0,0,,
GUIDE2019_FACT_018,Benefit >> Risk,fact,其他,"Suggested phrases for writing recommendations:  

Is reasonable   
Can be useful",0,0,,
GUIDE2019_FACT_019,CLASS IIb (WEAK) Benefit≥Risk,fact,其他,"Suggested phrases for writing recommendations:  

May/might be reasonable   
May",0,0,,
GUIDE2019_FACT_020,Benefit =Risk,fact,其他,Suggested phrases for writing recommendations Is not recommended Is notindicated,0,0,,
GUIDE2019_FACT_021,(Randomized),fact,其他,Moderate-quality evidencet from 1 or more RCTs Meta-analyses of moderate-quality,0,0,,
GUIDE2019_FACT_022,LEVEL B-NR,fact,其他,"Moderate-quality evidencet from 1 or more well-designed   
well-executed nonrand",0,0,,
GUIDE2019_FACT_023,(Limited Data),fact,其他,Randomized or nonrandomized observational or registry studies with limitations o,0,0,,
GUIDE2019_FACT_024,LEVEL C-EO,fact,其他,"Consensusof expert opinion based onclinical experience  

COR and LOE are determ",0,0,,
GUIDE2019_FACT_025,Risk>Benefit,fact,其他,"Suggested phrases for writing recommendations  

Potentially harmful   
Causes h",0,0,,
GUIDE2019_FACT_026,(Expert Opinion),fact,其他,"COR indicates Class of Recommendation;EO,expert opinion;LD,limited data;LOE,Leve…",0,0,,
GUIDE2019_FACT_027,(Expert Opinion),fact,其他,These guidelines provide general recommendations based on the currently availabl…,0,0,,
GUIDE2019_FACT_028,(Expert Opinion),fact,其他,<html><body><table><tr><td>Document Title</td><td>Year Published</td><td>Abbrevi,0,0,,
GUIDE2019_FACT_029,(Expert Opinion),fact,其他,AACVPR indicates American Association of Cardiovascular and Pulmonary Rehabilita…,0,0,,
GUIDE2019_FACT_030,(Expert Opinion),fact,其他,Table 3.,0,0,,
GUIDE2019_FACT_031,(Expert Opinion),fact,其他,"<html><body><table><tr><td>ACC</td><td colspan=""3"">AmericanCollege of Cardiology",0,0,,
GUIDE2019_FACT_032,(Expert Opinion),fact,其他,"(Continued )
Table 3.  Continued",0,0,,
GUIDE2019_FACT_033,(Expert Opinion),fact,其他,<html><body><table><tr><td>IPC</td><td>Intermittentpneumaticcompression</td></tr,0,0,,
GUIDE2019_FACT_034,1.1. Prehospital Systems,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_035,1.1. Prehospital Systems,fact,其他,"</td></tr><tr><td colspan=""2"">signs and risk factors in the United Statesremains…",0,0,,
GUIDE2019_FACT_036,1.1. Prehospital Systems,fact,其他,L0Eamended toconformwithACC/AHA2015 RecommendationClassificationSystem.,0,0,,
GUIDE2019_FACT_037,1.1. Prehospital Systems,fact,其他,</td><td>SeeTableIinonlineDataSupplement1.,0,0,,
GUIDE2019_FACT_038,1.2. EMS Assessment and Management,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_039,1.2. EMS Assessment and Management,fact,TIA,"23 In another study of 21760 dispatches for stroke, the positive predictive valu…",0,0,,
GUIDE2019_FACT_040,1.2. EMS Assessment and Management,fact,其他,EMSprenotificationwasassociatedwithincreasedlikelihoodofalteplase treatment with…,0,0,,
GUIDE2019_FACT_041,1.3. EMS Systems,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_042,1.3. EMS Systems,fact,其他,"</td></tr><tr><td>in consultationwithmedical authoritiesand local experts,should…",0,0,,
GUIDE2019_FACT_043,1.3. EMS Systems,fact,其他,"30CPSS and poor specificity (range,24%-79% for CPSS,13%-88% for FAST).",0,0,,
GUIDE2019_FACT_044,1.3. EMS Systems,fact,其他,"</td></tr><tr><td colspan=""4"">The 2013recommendation referred to initial emergen…",0,0,,
GUIDE2019_FACT_045,1.3. EMS Systems,fact,其他,</td><td>llb</td><td>C-EO</td><td>Newrecommendation.,0,0,,
GUIDE2019_FACT_046,1.3. EMS Systems,fact,其他,"However,atthistime,thereisinsufficientevidencetorecommend1scaleovertheotherorasp…",0,0,,
GUIDE2019_FACT_047,1.4. Hospital Stroke Capabilities,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_048,1.4. Hospital Stroke Capabilities,fact,其他,43 Differences in stroke quality of care areassociatedwithdifferences incertifyi…,0,0,,
GUIDE2019_FACT_049,1.5. Hospital Stroke Teams,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_050,1.5. Hospital Stroke Teams,fact,其他,"Multicomponent quality improvement initiatives,which include ED education and mu…",0,0,,
GUIDE2019_FACT_051,1.5. Hospital Stroke Teams,fact,其他,Safety was also demonstrated with symptomatic intracranial hemorrhage (within 36…,0,0,,
GUIDE2019_FACT_052,1.5. Hospital Stroke Teams,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_053,1.5. Hospital Stroke Teams,fact,其他,"96 [95% Cl, 0.",0,0,,
GUIDE2019_FACT_054,1.5. Hospital Stroke Teams,fact,其他,52 The absence of detailed screening logs in these trials limits estimations of …,0,0,,
GUIDE2019_FACT_055,1.6. Telemedicine,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_056,1.6. Telemedicine,fact,其他,"</td></tr><tr><td colspan=""3"">s published since the 2013 Guidelines.",0,0,,
GUIDE2019_FACT_057,1.6. Telemedicine,fact,其他,"</td></tr><tr><td colspan=""3"">signs of an acute stroke syndrome in EDs.",0,0,,
GUIDE2019_FACT_058,1.6. Telemedicine,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_059,1.6. Telemedicine,fact,其他,Telestroke networksmaybereasonablefortriagingpatientswithAIS whomaybeeligiblefor…,0,0,,
GUIDE2019_FACT_060,1.6. Telemedicine,fact,其他,Telestrokenetworksmayenablethe</td><td>SeeTableXll inonlineDataSupplement 1.,0,0,,
GUIDE2019_FACT_061,1.7. Organization and Integration of Components,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_062,1.7. Organization and Integration of Components,fact,其他,Different services within a hospital that may be transferring patients through a…,0,0,,
GUIDE2019_FACT_063,1.7. Organization and Integration of Components,fact,其他,Mechanicalthrombectomyrequiresthepatienttobeatanexperienced stroke center with r…,0,0,,
GUIDE2019_FACT_064,1.7. Organization and Integration of Components,fact,其他,It maybe usefulforprimary stroke centers and other healthcarefacilities alteplas…,0,0,,
GUIDE2019_FACT_065,1.7. Organization and Integration of Components,fact,其他,"62 However,whenconsideringimplementationofmultimodal CTimaging atsmall orremote-",0,0,,
GUIDE2019_FACT_066,1.7. Organization and Integration of Components,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_067,1.7. Organization and Integration of Components,fact,其他,andpatientvalue.,0,0,,
GUIDE2019_FACT_068,1.8.EstablishmentofDataRepositories,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_069,1.9.StrokeSystemCareQualityImprovementProcess,fact,其他,<html><body><table><tr><td>1.,0,0,,
GUIDE2019_FACT_070,1.9.StrokeSystemCareQualityImprovementProcess,fact,其他,LOEamendedtoconformwithACC/AHA2015RecommendationClassificationSystem.,0,0,,
GUIDE2019_FACT_071,1.9.StrokeSystemCareQualityImprovementProcess,fact,其他,"Continuousqualityimprovementprocesses, implementedbyeachmajorelementofastrokesys…",0,0,,
GUIDE2019_FACT_072,2.1.StrokeScales,fact,其他,<html><body><table><tr><td>2.,0,0,,
GUIDE2019_FACT_073,2.1.StrokeScales,fact,脑出血,"76Useofastandardizedscalequantifiesthedegreeofneurologicaldeficit,facilitatescom…",0,0,,
GUIDE2019_FACT_074,2.1.StrokeScales,fact,其他,"<html><body><table><tr><td>TestedItem</td><td>Title</td><tdcolspan=""2"">Responses…",0,0,,
GUIDE2019_FACT_075,2.1.StrokeScales,fact,其他,Left</td><td>1—Driftbefore10s</td><td></td></tr><tr><td>b.,0,0,,
GUIDE2019_FACT_076,2.1.StrokeScales,fact,其他,<html><body><table><tr><td>TestedItem</td><td>Title</td><td>ResponsesandScores</…,0,0,,
GUIDE2019_FACT_077,2.1.StrokeScales,fact,其他,efthe</td><td>4—Nomovement</td></tr><tr><td>Limbataxia</td><td>—0 -Noataxia</td>,0,0,,
GUIDE2019_FACT_078,2.1.StrokeScales,fact,其他,AdaptedfromLydenetal.,0,0,,
GUIDE2019_FACT_079,2.2.HeadandNeckImaging,fact,其他,"<html><body><table><tr><tdcolspan=""2"">2.",0,0,,
GUIDE2019_FACT_080,2.2.HeadandNeckImaging,fact,评分系统|脑出血,"</td></tr><tr><tdcolspan=""4"">proportionalbenefits.",0,0,,
GUIDE2019_FACT_081,2.2.HeadandNeckImaging,fact,CTA|MRA|脑出血,</td><td></td><td>AGuidelines.,0,0,,
GUIDE2019_FACT_082,2.2.HeadandNeckImaging,fact,CTA|MRI|MRA,85MRlwasasaccurateasNcCTindetectinghyperacuteintraparenchymalhemorrhageinpatient…,0,0,,
GUIDE2019_FACT_083,2.2.HeadandNeckImaging,fact,MRI|脑出血,<html><body><table><tr><td>2.,0,0,,
GUIDE2019_FACT_084,2.2.HeadandNeckImaging,fact,MRI|脑出血,"94TheriskofsICHinpatientswith >10CMBsMRItoidentifyCMBshavebeenconducted,sonodete…",0,0,,
GUIDE2019_FACT_085,2.2.HeadandNeckImaging,fact,MRI,<html><body><table><tr><td>2.,0,0,,
GUIDE2019_FACT_086,2.2.HeadandNeckImaging,fact,其他,InpatientswithAiSwhoawakewithstrokesymptomsorhaveuncleartimeofonset>4.,0,0,,
GUIDE2019_FACT_087,2.2.HeadandNeckImaging,fact,评分系统,TheendpointofanmRSscoreof0to1at90dayswasachievedin53.,0,0,,
GUIDE2019_FACT_088,2.2.HeadandNeckImaging,fact,其他,<html><body><table><tr><td>2.,0,0,,
GUIDE2019_FACT_089,2.2.HeadandNeckImaging,fact,CTA|MRA,CORandLOEunchanged.,0,0,,
GUIDE2019_FACT_090,2.2.HeadandNeckImaging,fact,CTA,InpatientswithsuspectedintracranialLvoandnohistoryofrenalllaB-NRitisreasonableto…,0,0,,
GUIDE2019_FACT_091,2.2.HeadandNeckImaging,fact,其他,</td><td></td></tr></table></body></html>,0,0,,
GUIDE2019_FACT_092,2.2.HeadandNeckImaging,fact,其他,<html><body><table><tr><td>2.,0,0,,
GUIDE2019_FACT_093,2.2.HeadandNeckImaging,fact,其他,"</td></tr><tr><tdcolspan=""4"">Severalstudies,includingsecondaryanalysesfromMRCLEA…",0,0,,
GUIDE2019_FACT_094,2.2.HeadandNeckImaging,fact,其他,<html><body><table><tr><td>2.,0,0,,
