chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
BSH2025_FACT_001,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版）,fact,脑出血|脑干出血|手术指征|外科手术|流行病学,"中华医学会神经外科分会功能神经外科学组 中国医师协会神经外科医师分会功能神经外科专业委员会
通信作者：牛朝诗，中国科学技术大学附属第一医院（安徽省立医院）神经外",0,0,,
BSH2025_FACT_002,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版）,fact,脑干出血|外科手术,Functional Neurosurgery Group of Neurosurgery Branch of Chinese Medical Associat,0,0,,
BSH2025_FACT_003,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版）,fact,脑干出血|外科手术,【Abstract】 Primary brainstem hemorrhage (PBSH) is the most serious subtype of hy…,0,0,,
BSH2025_FACT_004,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版）,fact,脑干出血|外科手术,"By focusing on the surgical indications, surgical precautions and perioperative …",0,0,,
BSH2025_FACT_005,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版）,fact,开颅手术|评分系统|量表评估|影像学检查|脑出血,原 发 性 脑 干 出 血 （primary brainstemhemorrhage，PBSH）通 常 为 高 血 压 性 脑 干 出 血（hypertensi…,0,0,,
BSH2025_FACT_006,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版） > （一）共识制定专家组,fact,影像学检查,本共识由中华医学会神经外科分会功能神经外科学组和中国医师协会神经外科医师分会功能神经外科专业委员会组织发起，共邀请神经外科、神经内科、神经重症科、神经影像科等相…,0,0,,
BSH2025_FACT_007,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版） > （二）文献检索策略,fact,脑出血|脑干出血|手术治疗,检索数据库包括 PubMed、Web of Science、中国知网和万方数据知识服务平台等，检索时间范围为建库至2024年6月30日。,0,0,,
BSH2025_FACT_008,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版） > （三）证据质量与推荐意见等级,fact,定义|证据分级,本共识采用证据推荐分级的评估、制订与评价（the Grading of Recommendation Assessment，Development and Ev…,0,0,,
BSH2025_FACT_009,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版） > 二、手术机器人辅助下PBSH穿刺引流术,fact,立体定向|开颅手术|手术指征|手术方式,脑干血肿的手术方式包括开颅血肿清除术、立体定向血肿穿刺引流术、手术机器人辅助下血肿穿刺引流术等。,0,0,,
BSH2025_FACT_010,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版） > （一）手术指征,fact,抗凝治疗|评分系统|MRI|脑干出血|手术指征,根据国内外文献报道，不同中心开展PBSH手术的指征略有不同[8，12-16]，但基本上与《原发性脑干出血诊治中国神经外科专家共识》中提出的观点一致[17-18]…,0,0,,
BSH2025_FACT_011,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版） > （一）手术指征,fact,手术指征|定义|证据分级,<table><tr><td>证据质量等级</td><td>定义</td></tr><tr><td>高(A)</td><td>非常确信真实值与效应估计值接近</,0,0,,
BSH2025_FACT_012,神经外科手术机器人辅助原发性脑干出血穿刺引流术专家共识（2025版） > （二）术前准备,fact,脑积水|MRI|影像学检查|脑干出血|脑出血,头部CT或MRI检查：（1）明确出血部位与范围：通过头颅薄层CT或MRI检查，明确脑干出血的具体部位、出血量及血肿形态，为手术规划提供准确依据[19-20]。,0,0,,
