chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2020_FACT_001,Guidelines for the Acute Treatment of Cerebral Edema in Neurocritical Care Patients,fact,其他,Aaron M.,0,0,,
GUIDE2020_FACT_002,Guidelines for the Acute Treatment of Cerebral Edema in Neurocritical Care Patients,fact,其他,Background:  Acute treatment of cerebral edema and elevated intracranial pressur…,0,0,,
GUIDE2020_FACT_003,Guidelines for the Acute Treatment of Cerebral Edema in Neurocritical Care Patients,fact,其他,Methods:  The Neurocritical Care Society recruited experts in neurocritical care…,0,0,,
GUIDE2020_FACT_004,Guidelines for the Acute Treatment of Cerebral Edema in Neurocritical Care Patients,fact,其他,Results:  The panel generated recommendations regarding initial management of ce…,0,0,,
GUIDE2020_FACT_005,Guidelines for the Acute Treatment of Cerebral Edema in Neurocritical Care Patients,fact,HE预测|ICP监测|脑出血|SAH,Conclusion:  The available evidence suggests hyperosmolar therapy may be helpful…,0,0,,
GUIDE2020_FACT_006,Introduction,fact,其他,Cerebral edema is a non-specific pathological swelling of the brain that may dev…,0,0,,
GUIDE2020_FACT_007,Introduction,fact,ICP监测,Measurement of cerebral edema is indirect and generally relies on surrogate mark…,0,0,,
GUIDE2020_FACT_008,Introduction,fact,脑出血,"Recent guidelines for the management of AIS, ICH, and TBI, among others, discuss…",0,0,,
GUIDE2020_FACT_009,Introduction,fact,ICP监测,"This guideline primarily evaluates the role of hyperosmolar agents (mannitol, HT…",0,0,,
GUIDE2020_FACT_010,Introduction,fact,其他,It should be emphasized that the recommendations in this guideline are based on …,0,0,,
GUIDE2020_FACT_011,Methods,fact,其他,This work was commissioned and approved by the Neurocritical Care Society (NCS) …,0,0,,
GUIDE2020_FACT_012,Methods,fact,ICP监测,"Development, and Evaluation (GRADE) framework (Table  1) [7].",0,0,,
GUIDE2020_FACT_013,Methods,fact,其他,Interventions were specifically identified by name and formulation in most insta…,0,0,,
GUIDE2020_FACT_014,Methods,fact,其他,"A research librarian executed a comprehensive, independent literature search usi…",0,0,,
GUIDE2020_FACT_015,Methods,fact,脑出血|SAH,Studies with prospectively collected data which were retrospectively evaluated w…,0,0,,
GUIDE2020_FACT_016,Methods,fact,其他,All meta-analyses that were excluded due to an inability to differentiate result…,0,0,,
GUIDE2020_FACT_017,Methods,fact,其他,The panel used the GRADE methodology to evaluate the quality of evidence as high…,0,0,,
GUIDE2020_FACT_018,Methods,fact,其他,"Conditional recommendations (“We suggest,” “Clinicians should consider”) should …",0,0,,
GUIDE2020_FACT_019,Methods,fact,其他,"The panel met in person on September 26–27, 2018, in Boca Raton, FL, and again o…",0,0,,
