chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2023_FACT_001,"Deferred cord clamping and cord milking: Certainty and quality of the evidence in meta-analyses, and systematic reviews of randomized control trials, guidelines, and implementation studies",fact,其他,Sarah D.,0,0,,
GUIDE2023_FACT_002,ABSTRACT,fact,其他,"Deferred1 cord clamping (DCC) saves lives, so why is it not implemented more rou…",0,0,,
GUIDE2023_FACT_003,ABSTRACT,fact,其他,"Methods: Key evidence, primarily from network meta-analyses, meta-analyses and s…",0,0,,
GUIDE2023_FACT_004,ABSTRACT,fact,其他,Implementation study quality was evaluated using The Mixed Method Appraisal tool…,0,0,,
GUIDE2023_FACT_005,ABSTRACT,fact,其他,"Results: In a network meta-analysis of 56 RCTs of cord management strategies, DC…",0,0,,
GUIDE2023_FACT_006,ABSTRACT,fact,其他,"In contrast to the benefits shown in preterm birth with DCC, a systematic review…",0,0,,
GUIDE2023_FACT_007,ABSTRACT,fact,其他,"Regarding the uptake of DCC, a systematic review of 18 studies on facilitators a…",0,0,,
GUIDE2023_FACT_008,ABSTRACT,fact,其他,"Conclusions: Compared to ICC, DCC in preterm infants conferred significant benef…",0,0,,
GUIDE2023_FACT_009,Introduction,fact,其他,"Deferred cord clamping (DCC) saves lives, so why is there a rush to clamp the co…",0,0,,
GUIDE2023_FACT_010,Introduction,fact,其他,DCC facilitates the transition to extrauterine life by allowing fetoplacental ci…,0,0,,
GUIDE2023_FACT_011,Introduction,fact,其他,"For preterm infants, the potential neonatal mortality benefits with DCC $30\%$ r…",0,0,,
GUIDE2023_FACT_012,Introduction,fact,其他,"Despite being effective, simple and inexpensive,12,13 frequently, DCC is not per…",0,0,,
GUIDE2023_FACT_013,Introduction,fact,其他,The primary goal of this chapter is to highlight issues that can be addressed re…,0,0,,
GUIDE2023_FACT_014,Certainty of evidence in preterm DCC,fact,其他,Among recent systematic reviews and meta-analyses examining DCC versus immediate…,0,0,,
GUIDE2023_FACT_015,Certainty of evidence in preterm DCC,fact,其他,Jasani et al.,0,0,,
GUIDE2023_FACT_016,Certainty of evidence in preterm DCC,fact,其他,"<html><body><table><tr><td rowspan=""3"">StudyDetails Final search date</td><td co…",0,0,,
GUIDE2023_FACT_017,Certainty of evidence in preterm DCC,fact,其他,64 [95% CrI 0.,0,0,,
GUIDE2023_FACT_018,Certainty of evidence in preterm DCC,fact,其他,"99] 15 trials,2333 infants Q high certainty</td><td>←no difference RR 0.",0,0,,
GUIDE2023_FACT_019,Certainty of evidence in preterm DCC,fact,其他,Legend: GA - Gestational age; LBW -Low birth weight (<2500 grams); DCC - Deferre…,0,0,,
GUIDE2023_FACT_020,Certainty of evidence in preterm DCC,fact,其他,DCC significantly reduced the primary outcome of predischarge mortality compared…,0,0,,
