chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
BAVM2025_FACT_001,脑动静脉畸形合并颅内动脉瘤临床诊疗专家共识（2025版）,fact,血管内治疗|影像学检查|脑出血|脑动静脉畸形|动脉瘤,中国医师协会神经介入专业委员会 脑血管病诊疗技术与器械教育部工程研究中心通信作者：段传志，南方医科大学珠江医院神经外科中心脑血管病外科，广州510282，Ema…,0,0,,
BAVM2025_FACT_002,Expert consensus on clinical diagnosis and treatment of brain arteriovenous malformation combined with intracranial aneurysm (2025 edition),fact,其他,Neurointerventional Professional Committee of Chinese Medical Doctor Association,0,0,,
BAVM2025_FACT_003,Expert consensus on clinical diagnosis and treatment of brain arteriovenous malformation combined with intracranial aneurysm (2025 edition),fact,其他,"Corresponding authors: Duan Chuanzhi, Department of Cerebrovascular Surgery, Neu…",0,0,,
BAVM2025_FACT_004,Expert consensus on clinical diagnosis and treatment of brain arteriovenous malformation combined with intracranial aneurysm (2025 edition),fact,脑动静脉畸形,【Abstract】 Brain arteriovenous malformation (bAVM) combined with intracranial an…,0,0,,
BAVM2025_FACT_005,Expert consensus on clinical diagnosis and treatment of brain arteriovenous malformation combined with intracranial aneurysm (2025 edition),fact,脑动静脉畸形,"Therefore, the Neurointerventional Professional Committee of Chinese Medical Doc…",0,0,,
BAVM2025_FACT_006,Expert consensus on clinical diagnosis and treatment of brain arteriovenous malformation combined with intracranial aneurysm (2025 edition),fact,影像学检查|脑动静脉畸形|动脉瘤|脑血管病|多学科协作,"Fund program: National Natural Science Foundation of China (82571457, 82571671, ",0,0,,
BAVM2025_FACT_007,（一）共识发起机构及工作流程,fact,血管内治疗|脑血管病|证据分级,本共识由中国医师协会神经介入专业委员会、脑血管病诊疗技术与器械教育部工程研究中心发起和组织撰写，共识编写组成员包括神经外科、神经内科、神经介入科、放射介入科等相…,0,0,,
BAVM2025_FACT_008,（二）文献检索,fact,脑动静脉畸形|动脉瘤,共识编写组以脑动静脉畸形、颅内动静脉畸形、颅内动脉瘤、脑动脉瘤、血流相关型动脉瘤、brainarteriovenous malformation、 intrac…,0,0,,
BAVM2025_FACT_009,（三）推荐强度,fact,证据分级,本共识采用专家组投票的形式决定推荐意见的分级，投票设置5个选项：（1）强推荐；（2）弱推荐；（3）无明确推荐意见；（4）弱不推荐；（5）强不推荐。,0,0,,
BAVM2025_FACT_010,二、流行病学,fact,脑动静脉畸形|脑血管病|流行病学,bAVM破裂占出血性卒中的2%\~4%，是导致青少 年 出 血 性 卒 中 的 重 要 原 因[7-9]。,0,0,,
BAVM2025_FACT_011,二、流行病学,fact,脑动静脉畸形|随访|流行病学,IA病例中，IA作为出血来源的比例可高达49.,0,0,,
BAVM2025_FACT_012,二、流行病学,fact,脑动静脉畸形|流行病学,在伴有IA的bAVM患者中，IA的平均数量为1.,0,0,,
BAVM2025_FACT_013,（一）发病机制,fact,脑动静脉畸形,目前关于bAVM合并IA的关联机制，主要存在3种理论解释。,0,0,,
BAVM2025_FACT_014,（一）发病机制,fact,脑动静脉畸形,巧合理论：最初由 Boyd-Wilson[27] 提出，该理论认为bAVM与IA的共存可能是偶然发现的结果。,0,0,,
BAVM2025_FACT_015,（二）危险因素,fact,癫痫|脑动静脉畸形|危险因素,多项研究探讨了bAVM合并IA患者出血风险增高的危险因素。,0,0,,
BAVM2025_FACT_016,四、分型,fact,脑动静脉畸形|排除继发出血|病因分型|SMASH-U分类,bAVM合并IA的分型系统逐步发展，主要基于bAVM相关IA与病灶之间的血流动力学关系或解剖位置关系进行分型。,0,0,,
BAVM2025_FACT_017,（一）DSA,fact,DSA|脑动静脉畸形,DSA是诊断bAVM合并IA的金标准，可高分辨率显示IA-bAVM复合体的供血动脉、畸形血管团及静脉引流，并定量评估动静脉分流程度[31-33]。,0,0,,
BAVM2025_FACT_018,（二）头颅CT/CTA,fact,血栓预防|CTA|DSA|脑动静脉畸形,常规CT对未破裂的bAVM敏感性有限。,0,0,,
BAVM2025_FACT_019,（三）头颅MRI及MRA,fact,CTA|MRI|MRA|脑动静脉畸形|随访,头颅MRI可在T2WI中清晰显示bAVM特征性的“扩张血管流空”信号，是筛查未破裂bAVM的首选检查手段；但其对畸形血管团内IA的识别能力有限。,0,0,,
BAVM2025_FACT_020,（三）头颅MRI及MRA,fact,MRI|MRA|脑动静脉畸形|动脉瘤|病因分型,<table><tr><td>分型</td><td>分型依据(IA所在位置)</td></tr><tr><td>与供血动脉血流无关型(I型)</td><td>发,0,0,,
BAVM2025_FACT_021,（三）头颅MRI及MRA,fact,MRI|MRA,"<details>
<summary>natural_image</summary>
Illustration of a human vascular syst",0,0,,
BAVM2025_FACT_022,（三）头颅MRI及MRA,fact,MRI|MRA|DSA,与特异性仍不及DSA，因此不能单独作为指导治疗决策的依据。,0,0,,
BAVM2025_FACT_023,（四）对比增强MRA及四维血流MRI,fact,MRI|MRA|DSA|脑动静脉畸形|随访,对 比 增 强 MRA（contrast-enhanced magneticresonance angiography，CE-MRA）在 评 估 bAVM 合并…,0,0,,
BAVM2025_FACT_024,六、治疗现状与原则,fact,血管内治疗|脑动静脉畸形|外科手术|并发症,目前，关于bAVM合并IA的治疗尚未形成统一标准，缺乏强有力的循证医学证据支持。,0,0,,
BAVM2025_FACT_025,（一）治疗目标,fact,癫痫|复发预防|预后,预防出血：通过积极干预，降低病变破裂出血的风险，避免病情因急性出血而急剧恶化。,0,0,,
BAVM2025_FACT_026,（二）治疗原则,fact,脑动静脉畸形|预后|风险评估,风险评估优先：制定治疗方案前，必须全面细致评估干预措施的风险，确保其不超过病变本身所致的长期致残或致死风险，以实现治疗效益最大化。,0,0,,
BAVM2025_FACT_027,（三）出血性病例的治疗,fact,开颅手术|CTA|影像学检查|脑出血|SAH,对于出血性病例，其处理应遵循个体化原则，核心目标在于优先处理已破裂的出血责任病灶（明确为bAVM血管团或IA）：若为浅表病灶破裂，在开颅血肿清除术时可考虑同期联…,0,0,,
BAVM2025_FACT_028,（三）出血性病例的治疗,fact,开颅手术|血管内治疗|抗血小板治疗|MRI|影像学检查,穿支假性IA确定为出血源时：需及时干预或密切影像学随访。,0,0,,
BAVM2025_FACT_029,（四）未破裂病例的处理,fact,SAH|脑动静脉畸形|随访,对于未破裂的 bAVM合并 IA，最佳治疗策略存在 显 著 争 议 。,0,0,,
BAVM2025_FACT_030,（四）未破裂病例的处理,fact,血管内治疗|抗血小板治疗|脑动静脉畸形|风险评估|多学科协作,Redekop 分型法指导治疗决策：Redekop 分型法为未破裂bAVM合并IA的个体化治疗提供了重要框架，但在面对具体患者时，治疗顺序（如同期处理与分期处理…,0,0,,
BAVM2025_FACT_031,（四）未破裂病例的处理,fact,血管内治疗|脑动静脉畸形,Ⅲ型（畸形血管团内IA）：畸形血管团内型IA结构是病灶的薄弱点，可能是血流动力学以及局部炎症反应共同作用于畸形血管壁的结果，需要积极干预，可通过血管内栓塞bAV…,0,0,,
BAVM2025_FACT_032,（四）未破裂病例的处理,fact,立体定向|血管内治疗|脑动静脉畸形|外科治疗|证据分级,放射外科治疗：既往研究发现合并IA会增加出血性bAVM立体定向放射外科（SRS）治疗后再出血的风险。,0,0,,
BAVM2025_FACT_033,（四）未破裂病例的处理,fact,血管内治疗|脑动静脉畸形|手术方式|外科手术,型（畸形血管团内型IA）：在对bAVM进行治疗时，可考虑同期处理该类型IA（可采用栓塞或外科手术方式）（推荐等级： 级）。,0,0,,
BAVM2025_FACT_034,（五）复合手术技术的应用,fact,血管内治疗|DSA|影像学检查|脑动静脉畸形|证据分级,复合手术室是实现多模式无缝衔接的重要平台，其术中实时血管成像技术为复杂 bAVM合并IA的手术提供了全方位支持。,0,0,,
BAVM2025_FACT_035,（六）颅内支架的应用,fact,抗血小板治疗|血栓预防|脑动静脉畸形|复发预防|预后,在合并IA的bAVM患者中，植入颅内支架后的双重抗血小板治疗（DAPT）与未处理的bAVM之间存在冲突。,0,0,,
BAVM2025_FACT_036,七、结论与展望,fact,脑动静脉畸形|病因分型|SMASH-U分类,bAVM合并IA是神经外科领域极具挑战性的疾病之一，应综合考量病变的Redekop分型、血流动力学特征、患者的临床状况（如是否破裂、神经功能状态）以及医疗机构的…,0,0,,
BAVM2025_FACT_037,本共识专家组成员,fact,其他,"执笔：冯欣、李西锋（南方医科大学珠江医院）；邓剑平（空军军医大学唐都医院）；何旭英（广东省第二人民医院）  
专家组成员（按姓氏汉语拼音排序）：曹文锋（江西省人",0,0,,
BAVM2025_FACT_038,本共识专家组成员,fact,其他,医学院附属同济医院）、喻孟强（中南大学湘雅二医院）、张鸿祺（首都医科大学宣武医院）、张猛（陆军军医大学大坪医院）、张猛（深圳市第二人民医院）、张品元（河北医科大,0,0,,
BAVM2025_FACT_039,参 考 文 献,fact,其他,"[1] Kim H, Nelson J, McCulloch CE, et al.",0,0,,
BAVM2025_FACT_040,参 考 文 献,fact,其他,Effectiveness and outcomes of endovascular embolization on arteriovenous malform…,0,0,,
BAVM2025_FACT_041,参 考 文 献,fact,其他,"JAMA, 2019, 321 (13): 1295-1303.",0,0,,
BAVM2025_FACT_042,参 考 文 献,fact,其他,多因素分析及治疗方式探讨[J].,0,0,,
BAVM2025_FACT_043,参 考 文 献,fact,其他,"J Neurointerv Surg, 2016, 8(10): 1021-1024.",0,0,,
BAVM2025_FACT_044,参 考 文 献,fact,其他,Somatic MAP2K1 mutations are associated with extracranial arteriovenous malforma…,0,0,,
BAVM2025_FACT_045,参 考 文 献,fact,其他,3389/fnhum.,0,0,,
BAVM2025_FACT_046,参 考 文 献,fact,其他,"[24] Zhou S, Gao X, Sun J, et al.",0,0,,
BAVM2025_FACT_047,参 考 文 献,fact,其他,"J Neurol Neurosurg Psychiatry, 1959, 22 (3): 218-223.",0,0,,
BAVM2025_FACT_048,参 考 文 献,fact,DSA,"[31] Sandoval-Garcia C, Royalty K, Yang P, et al.",0,0,,
BAVM2025_FACT_049,参 考 文 献,fact,CTA,Time-resolved 3D rotational angiography: display of detailed neurovascular anato…,0,0,,
BAVM2025_FACT_050,参 考 文 献,fact,MRA,"Radiology, 2008, 246(3): 871-879.",0,0,,
BAVM2025_FACT_051,参 考 文 献,fact,脑动静脉畸形,Evaluation of 4D vascular flow and tissue perfusion in cerebral arteriovenous ma…,0,0,,
BAVM2025_FACT_052,参 考 文 献,fact,MRI,Intracranial aneurysm wall enhancement as an indicator of instability: a systema…,0,0,,
BAVM2025_FACT_053,参 考 文 献,fact,其他,Medical management with or without interventional therapy for unruptured brain a…,0,0,,
BAVM2025_FACT_054,参 考 文 献,fact,其他,"[48] Razavi SAS, Mirbolouk MH, Gorji R, et al.",0,0,,
BAVM2025_FACT_055,参 考 文 献,fact,其他,treatment as the first-line approach for cure of low-grade brain arteriovenous m…,0,0,,
BAVM2025_FACT_056,参 考 文 献,fact,其他,The relationship of coexisting extranidal aneurysms to intracranial hemorrhage i…,0,0,,
BAVM2025_FACT_057,参 考 文 献,fact,其他,The safety profile and angioarchitectural changes after acute targeted embolizat…,0,0,,
BAVM2025_FACT_058,参 考 文 献,fact,其他,Medical management with interventional therapy versus medical management alone f…,0,0,,
BAVM2025_FACT_059,参 考 文 献,fact,其他,Disappearance of a ruptured distal Flow-related aneurysm after arteriovenous mal,0,0,,
BAVM2025_FACT_060,参 考 文 献,fact,其他,nidal embolization[J].,0,0,,
BAVM2025_FACT_061,参 考 文 献,fact,其他,"[64] Tsuei Y, Luo C, Fay L, et al.",0,0,,
BAVM2025_FACT_062,中华医学会系列杂志论文作者署名规范,fact,其他,为尊重作者的署名权，弘扬科学道德和学术诚信精神，中华医学会系列杂志论文作者署名应遵守以下规范。,0,0,,
BAVM2025_FACT_063,一、作者署名,fact,其他,中华医学会系列杂志论文作者姓名在题名下按序排列，排序应在投稿前由全体作者共同讨论确定，投稿后不应再作改动，确需改动时必须出示单位证明以及所有作者亲笔签名的署名无…,0,0,,
BAVM2025_FACT_064,二、通信作者,fact,多学科协作,每篇论文均需确定一位能对该论文全面负责的通信作者。,0,0,,
BAVM2025_FACT_065,三、同等贡献作者,fact,其他,不建议著录同等贡献作者，需确定论文的主要责任者。,0,0,,
BAVM2025_FACT_066,四、志谢,fact,其他,对给予实质性帮助但不符合作者条件的单位或个人可在文后给予志谢，但必须征得志谢人的书面同意。,0,0,,
