chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2022_1_FACT_001,2022 Guideline for the Management of Patients With Spontaneous Intracerebral Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,fact,其他,Reviewed for evidence-based integrity and endorsed by the American Association o…,0,0,,
GUIDE2022_1_FACT_002,2022 Guideline for the Management of Patients With Spontaneous Intracerebral Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,fact,其他,Steven M.,0,0,,
GUIDE2022_1_FACT_003,2022 Guideline for the Management of Patients With Spontaneous Intracerebral Hemorrhage: A Guideline From the American Heart Association/American Stroke Association,fact,其他,Key Words: AHA Scientific Statements ◼ cerebral amyloid angiopathy ◼ cerebral he,0,0,,
GUIDE2022_1_FACT_004,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,The organization of health care systems is increasingly recognized as a key comp…,0,0,,
GUIDE2022_1_FACT_005,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,"ICHs, like other forms of stroke, occur as the consequence of a defined set of v…",0,0,,
GUIDE2022_1_FACT_006,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,"When implementing acute blood pressure lowering after mild to moderate ICH, trea…",0,0,,
GUIDE2022_1_FACT_007,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,ICH while anticoagulated has extremely high mortality and morbidity.,0,0,,
GUIDE2022_1_FACT_008,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,Several in-hospital therapies that have historically been used to treat patients…,0,0,,
GUIDE2022_1_FACT_009,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测,Use of graduated knee- or thigh-high compression stockings alone is not an effec…,0,0,,
GUIDE2022_1_FACT_010,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,Minimally invasive approaches for evacuation of supratentorial ICHs and intraven…,0,0,,
GUIDE2022_1_FACT_011,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,The decision of when and how to limit life-sustaining treatments after ICH remai…,0,0,,
GUIDE2022_1_FACT_012,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,Rehabilitation and recovery are important determinants of ICH outcome and qualit…,0,0,,
GUIDE2022_1_FACT_013,TOP 10 TAKE-HOME MESSAGES FOR THE MANAGEMENT OF PATIENTS WITH SPONTANEOUS INTRACEREBRAL HEMORRHAGE GUIDELINE,fact,HE预测|脑出血,A key and sometimes overlooked member of the ICH care team is the patient’s home…,0,0,,
GUIDE2022_1_FACT_014,PREAMBLE,fact,其他,"Since 1990, the American Heart Association (AHA)/ American Stroke Association (A…",0,0,,
GUIDE2022_1_FACT_015,PREAMBLE,fact,其他,Clinical practice guidelines for stroke provide recommendations applicable to pa…,0,0,,
GUIDE2022_1_FACT_016,PREAMBLE,fact,其他,The AHA/ASA strives to ensure that guideline writing groups contain requisite ex…,0,0,,
GUIDE2022_1_FACT_017,PREAMBLE,fact,其他,org/-/media/phd-files/guidelines-and-statements/ policies-devolopment/aha-asa-di…,0,0,,
GUIDE2022_1_FACT_018,PREAMBLE,fact,其他,"Beginning in 2017, numerous modifications to AHA/ ASA guidelines have been imple…",0,0,,
GUIDE2022_1_FACT_019,1. INTRODUCTION,fact,脑出血,Approximately 10% of the 795 000 strokes per year in the United States are intra…,0,0,,
GUIDE2022_1_FACT_020,1. INTRODUCTION,fact,脑出血,Several additional features of ICH make it a greater public health threat than c…,0,0,,
GUIDE2022_1_FACT_021,1. INTRODUCTION,fact,脑出血,ICH thus remains in need of novel treatments and improved application of establi…,0,0,,
GUIDE2022_1_FACT_022,1.1. Methodology and Evidence Review,fact,其他,"The recommendations listed in this guideline are, whenever possible, evidence ba…",0,0,,
GUIDE2022_1_FACT_023,1.1. Methodology and Evidence Review,fact,其他,For specific search terms used‚ readers are referred to the Online Data Suppleme…,0,0,,
GUIDE2022_1_FACT_024,1.1. Methodology and Evidence Review,fact,其他,Each topic area was assigned a primary writer and a primary and sometimes second…,0,0,,
GUIDE2022_1_FACT_025,1.2. Organization of the Writing Group,fact,其他,"The guideline writing group consisted of vascular neurologists, neurocritical ca…",0,0,,
GUIDE2022_1_FACT_026,1.2. Organization of the Writing Group,fact,其他,"<details>
<summary>flowchart</summary>",0,0,,
GUIDE2022_1_FACT_027,1.2. Organization of the Writing Group,fact,HE预测|脑出血,"```mermaid
graph TD
    A[""SMALL VESSEL DISEASES""] --> B[""Arteriolosclerosis\nCe",0,0,,
GUIDE2022_1_FACT_028,1.2. Organization of the Writing Group,fact,脑出血,Figure 1.,0,0,,
GUIDE2022_1_FACT_029,1.3. Document Review and Approval,fact,其他,This document was reviewed by the AHA Stroke Council Scientific Statement Oversi…,0,0,,
GUIDE2022_1_FACT_030,1.4. Scope of the Guideline,fact,脑出血,"This guideline addresses the diagnosis, treatment, and prevention of ICH in adul…",0,0,,
GUIDE2022_1_FACT_031,1.4. Scope of the Guideline,fact,脑出血,"aneurysmal subarachnoid hemorrhage,14 or unruptured saccular aneurysms.",0,0,,
GUIDE2022_1_FACT_032,1.4. Scope of the Guideline,fact,脑出血,"This guideline aims to cover the full course of primary ICH (Figure 1), from the…",0,0,,
GUIDE2022_1_FACT_033,1.4. Scope of the Guideline,fact,脑出血,Some aspects of inpatient medical care and post-ICH rehabilitation are likely to…,0,0,,
GUIDE2022_1_FACT_034,1.4. Scope of the Guideline,fact,脑出血,Another area where this ICH guideline interfaces with prior ischemic stroke guid…,0,0,,
GUIDE2022_1_FACT_035,1.4. Scope of the Guideline,fact,其他,<table><tr><td>Title</td><td>Organization</td><td>Publication year</td></tr><tr>,0,0,,
GUIDE2022_1_FACT_036,1.4. Scope of the Guideline,fact,其他,"AAPA indicates American Association of Physician Assistants; ABC, Association of…",0,0,,
GUIDE2022_1_FACT_037,1.4. Scope of the Guideline,fact,脑出血,This ICH guideline has a new section on assessment of ICH risk in individuals wi…,0,0,,
GUIDE2022_1_FACT_038,1.4. Scope of the Guideline,fact,MRI,"1, Secondary Prevention) and the high frequency with which these small hemorrhag…",0,0,,
GUIDE2022_1_FACT_039,1.5. COR and LOE,fact,其他,Recommendations are designated with both a COR and an LOE.,0,0,,
GUIDE2022_1_FACT_040,1.5. COR and LOE,fact,ATACH-II,<table><tr><td>Abbreviation</td><td>Meaning/Phrase</td></tr><tr><td>ADL</td><td>,0,0,,
GUIDE2022_1_FACT_041,1.5. COR and LOE,fact,其他,<table><tr><td>Abbreviation</td><td>Meaning/Phrase</td></tr><tr><td>PCC</td><td>,0,0,,
GUIDE2022_1_FACT_042,2.1. Small Vessel Disease Types,fact,脑出血|脑淀粉样变,Despite our use of the term primary ICH to distinguish from ICH with a demonstra…,0,0,,
GUIDE2022_1_FACT_043,2.1. Small Vessel Disease Types,fact,脑淀粉样变,21 Arteriolosclerosis (also referred to as lipohyalinosis) is detected as concen…,0,0,,
GUIDE2022_1_FACT_044,2.1. Small Vessel Disease Types,fact,MRI|脑出血|脑淀粉样变,ICH occurs in a relatively small subset of those brains with advanced arteriolos…,0,0,,
GUIDE2022_1_FACT_045,2.1. Small Vessel Disease Types,fact,其他,24 Microbleeds associated with arteriolosclerosis tend to occur in deep territor…,0,0,,
GUIDE2022_1_FACT_046,2.1. Small Vessel Disease Types,fact,其他,"<table><tr><td colspan=""2"">CLASS (STRENGTH) OF RECOMMENDATION</td></tr><tr><td c…",0,0,,
GUIDE2022_1_FACT_047,2.1. Small Vessel Disease Types,fact,其他,A recommendation with LOE C does not imply that the recommendation is weak.,0,0,,
GUIDE2022_1_FACT_048,2.1. Small Vessel Disease Types,fact,脑出血,"‡ The method of assessing quality is evolving, including the application of stan…",0,0,,
GUIDE2022_1_FACT_049,2.1. Small Vessel Disease Types,fact,脑出血|脑淀粉样变,of ICH.,0,0,,
GUIDE2022_1_FACT_050,2.2. Mechanisms for ICH-Related Brain Injury,fact,HE预测|ICP监测|脑出血,ICH is understood to injure surrounding brain tissue through the direct pressure…,0,0,,
GUIDE2022_1_FACT_051,2.2. Mechanisms for ICH-Related Brain Injury,fact,脑出血|脑淀粉样变,Secondary physiological and cellular injury mechanisms postulated to be triggere…,0,0,,
GUIDE2022_1_FACT_052,2.2. Mechanisms for ICH-Related Brain Injury,fact,HE预测|脑出血,Several of the major medical therapies for ICH such as BP lowering and reversal …,0,0,,
GUIDE2022_1_FACT_053,2.3. Limits to Generalizability,fact,脑出血,A key limitation that runs through all sections of this guideline is that much o…,0,0,,
GUIDE2022_1_FACT_054,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,"<table><tr><td colspan=""3"">Recommendations for Organization of Prehospital and I…",0,0,,
GUIDE2022_1_FACT_055,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,"<table><tr><td colspan=""3"">Recommendations for Organization of Prehospital and I…",0,0,,
GUIDE2022_1_FACT_056,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,"$^{32,42}$ </td></tr><tr><td>1</td><td>B-NR</td><td>4.",0,0,,
GUIDE2022_1_FACT_057,3. ORGANIZATION OF PREHOSPITAL AND INITIAL SYSTEMS OF CARE,fact,脑出血|TIA,"In patients with potential stroke, including spontaneous ICH, in geographic regi…",0,0,,
GUIDE2022_1_FACT_058,Synopsis,fact,脑出血,Much of the data for prehospital care and stroke systems of care are derived fro…,0,0,,
GUIDE2022_1_FACT_059,Synopsis,fact,脑出血,"To facilitate rapid diagnosis and treatment of ICH, we recommend public health m…",0,0,,
GUIDE2022_1_FACT_060,Recommendation-Specific Supportive Text,fact,脑出血,Early symptom recognition is essential for timely ICH care.,0,0,,
GUIDE2022_1_FACT_061,Recommendation-Specific Supportive Text,fact,其他,"51–54 Knowledge of stroke warning signs varies by race, sex, ethnicity, age, edu…",0,0,,
GUIDE2022_1_FACT_062,Recommendation-Specific Supportive Text,fact,脑出血,No existing clinical decision scale can differentiate ICH from other diseases wi…,0,0,,
GUIDE2022_1_FACT_063,Recommendation-Specific Supportive Text,fact,脑出血,"For dispatch, a group found that a specific dispatch stroke assessment tool was …",0,0,,
GUIDE2022_1_FACT_064,Recommendation-Specific Supportive Text,fact,脑出血,"One group developed a clinical prediction rule to classify stroke subtypes, incl…",0,0,,
GUIDE2022_1_FACT_065,Recommendation-Specific Supportive Text,fact,脑出血,"One group found that in a large national cohort of patients with stroke, EMS use",0,0,,
GUIDE2022_1_FACT_066,Recommendation-Specific Supportive Text,fact,其他,"55 Thus, persistent efforts to ensure activation of the 9-1-1 or a similar emerg…",0,0,,
GUIDE2022_1_FACT_067,Recommendation-Specific Supportive Text,fact,脑出血,Many observational studies in patients with stroke (including both ischemic and …,0,0,,
