chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
HICH2020_1_FACT_001,2020神经内镜下高血压性脑出血手术治疗中国专家共识,fact,神经内镜|脑出血|HICH诊断|动脉瘤|脑淀粉样变,"中国急诊急救神经内镜治疗高血压性脑出血协作组 中国医药教育协会神经内镜与微创医学专业委员会 中华医学会神经外科分会
通信作者：胡志强，首都医科大学附属北京世纪坛",0,0,,
HICH2020_1_FACT_002,2020神经内镜下高血压性脑出血手术治疗中国专家共识,fact,神经内镜|立体定向|开颅手术|TCD|脑出血,治疗包括保守和手术治疗。,0,0,,
HICH2020_1_FACT_003,一、高血压性脑出血的诊断标准,fact,影像学检查|脑出血|脑血管病|诊断标准|排除继发出血,有明确的高血压病史［1，3，5‐6，9，12］（ 类推荐， 级证据）；影像学检查提示为 典型的出血部位，如基底节区、丘脑、脑室、小脑、脑干［1，3，6，12］（…,0,0,,
HICH2020_1_FACT_004,二、手术设备器械和材料,fact,神经内镜|影像学检查|TCD|证据分级,包括内镜设备和信息采集系统、内镜手术基本器械和常用辅助设备和材料：神经内镜设备和信息采集系统由镜体、光源、成像系统和图像摄录系统组成；神经内镜手术基本器械包括镜…,0,0,,
HICH2020_1_FACT_005,二、手术设备器械和材料,fact,证据分级,<table><tr><td>推荐意见分类</td><td>标准</td><td>推荐证据等级分类</td><td>标准</td></tr><tr><td>I级…,0,0,,
HICH2020_1_FACT_006,三、手术适应证、禁忌证和手术时机,fact,颅内高压|脑积水|手术指征|手术时机|手术方式,手术适应证：幕上出血量 ，幕下出血量 ［1，3，18‐20］（ 类推荐， 级证据）；中线移位超过 ［1，5］（ 类推荐， 级证据）；环池或侧裂池消失［1，5］（…,0,0,,
HICH2020_1_FACT_007,四、不同部位 的神经内镜手术治疗策略,fact,神经内镜|手术治疗,手术入路的选择以最大程度减少对脑组织损伤为原则，遵循抵达病变路径最短、非功能区、充分利用自然腔隙的原理。,0,0,,
HICH2020_1_FACT_008,（一）基底节区出血,fact,神经内镜|脑出血|止血治疗,经外侧裂 岛叶入路：充分利用脑组织自然间隙显露岛叶，选取岛叶无血管区置入内镜工作通道进入血肿腔，对正常脑组织损伤最小［21‐24］（ 类推荐， 级证据）。,0,0,,
HICH2020_1_FACT_009,（二）脑室内出血,fact,神经内镜|脑室外引流,神经内镜清除脑室内出血的手术中额角入路比枕角入路更有优势［28‐29］（Ⅰ类推荐，B级证据）。,0,0,,
HICH2020_1_FACT_010,（三）丘脑出血（合并脑室出血）,fact,脑出血|脑室出血,选择同侧侧脑室额角入路（ 类推荐， 级证据）；置入内镜工作通道后，可在液态环境下采用镜内技术配合冲水置换血性脑脊液明确血肿的边界和范围后清除血肿。,0,0,,
HICH2020_1_FACT_011,（四）小脑出血,fact,神经内镜|脑室外引流|脑出血|小脑出血,神经内镜治疗小脑出血的手术目的为清除血肿并保障脑脊液循环的通畅；手术入路应以术前血肿最多层面为基准，血肿中心距枕骨鳞部内板最近处作为颅骨骨窗的中心位置，设计骨窗…,0,0,,
HICH2020_1_FACT_012,（五）脑叶和皮质下出血,fact,动脉瘤|脑淀粉样变,脑叶和皮质下多为血管淀粉样变或微小动脉瘤破裂出血所致，从内镜手术的一致性考虑，在此一并列出。,0,0,,
HICH2020_1_FACT_013,（六）脑干出血,fact,神经内镜|脑干出血|随访|并发症,神经内镜治疗脑干出血的研究鲜有报道，病例数较少，血肿清除术后并发症较高。,0,0,,
HICH2020_1_FACT_014,五、 合并脑疝的神经内镜手术治疗,fact,神经内镜|颅内压管理|颅内高压|手术治疗,目前国内外应用神经内镜治疗 合并脑疝并保留骨瓣的研究仍较少，病例数有限，并且缺乏神经内镜清除血肿保留骨瓣术后颅内压监测的客观数据。,0,0,,
HICH2020_1_FACT_015,六、血肿定位技术,fact,神经内镜|影像学检查|TCD,术中导航：最精准和可靠的血肿定位方式。,0,0,,
HICH2020_1_FACT_016,七、术中止血技术,fact,斑点征|影像学检查|止血治疗,动脉性活动出血： 原始图像斑点征可作为预判术中动脉性活动出血的客观影像学指标［51‐53］（Ⅱa类推荐，B级证据）；术中动脉性出血应首选采取双极电凝的方式止血［…,0,0,,
HICH2020_1_FACT_017,八、内镜工作通道技术,fact,神经内镜|脑出血|止血治疗|手术治疗,神经内镜技术、止血技术、通道技术、冲水技术均为内镜治疗脑出血的关键技术。,0,0,,
HICH2020_1_FACT_018,九、内镜冲水技术,fact,颅内压管理|止血治疗,出入量平衡：冲水很重要一点是保持出入量平衡，以免颅内压增高导致脑组织自骨窗膨出［22］（Ⅱa类推荐， 级证据）。,0,0,,
HICH2020_1_FACT_019,十、围手术期管理,fact,颅内压管理|血钠管理|脑血管病|重症监护|卒中单元,是长期高血压病导致全身疾病的局部反应。,0,0,,
HICH2020_1_FACT_020,十、围手术期管理,fact,颅内压管理|降颅压|癫痫|抗癫痫|预防性抗癫痫,血 压 管 理 ：收 缩 压 在 150\~220 mmHg（ ）和无急性降压治疗禁忌证的脑出血患者，急性期收缩压降至 是安全的［1，3，5，56‐57］（ 类…,0,0,,
HICH2020_1_FACT_021,十、围手术期管理,fact,血管内治疗|肝素相关脑出血|DVT|血栓预防|TCD,预防深静脉血栓：卧床患者应注意预防深静脉血栓［1，3，5（］ 级推荐，级证据）；如疑似患者可做二聚体检测及肢体多普勒超声检查（ 级推荐，C级证据）；瘫痪患者入院…,0,0,,
HICH2020_1_FACT_022,十、围手术期管理,fact,神经内镜,"共识中的观点会随着神经内镜手术技术的进步而不断完善，并依据循证医学证据的增加而更新

执笔 关峰（首都医科大学附属北京世纪坛医院神经外科）；胡志强（首都医科大学",0,0,,
HICH2020_1_FACT_023,参 考 文 献,fact,脑血管病,[1] Hankey GJ.,0,0,,
HICH2020_1_FACT_024,参 考 文 献,fact,其他,"Stroke，2003,34(8):2060-2065.",0,0,,
HICH2020_1_FACT_025,参 考 文 献,fact,其他,"Lancet, 2010,376(9735):112‐123.",0,0,,
HICH2020_1_FACT_026,参 考 文 献,fact,其他,Decompressive Craniectomy for spontaneous intracerebral hemorrhage: a systematic…,0,0,,
HICH2020_1_FACT_027,参 考 文 献,fact,STICH研究|氨甲环酸|脑出血,"[13] Zheng J, Li H, Guo R, et al.",0,0,,
HICH2020_1_FACT_028,参 考 文 献,fact,其他,Early endoscope‐assisted hematoma evacuation in patientswithsupratentorial intra…,0,0,,
HICH2020_1_FACT_029,参 考 文 献,fact,斑点征,1055/s-2004-830073.,0,0,,
HICH2020_1_FACT_030,参 考 文 献,fact,神经内镜|脑出血|手术治疗,"[21] 朱广通, 黄辉, 胡志强, 等.",0,0,,
HICH2020_1_FACT_031,参 考 文 献,fact,其他,Minimally invasive surgery for spontaneous supratentorial intracerebral hemorrha…,0,0,,
