chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2015_FACT_001,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,The American Academy of Neurology affirms the value of this guideline as an educ…,0,0,,
GUIDE2015_FACT_002,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,J.,0,0,,
GUIDE2015_FACT_003,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,Methods—A formal literature search of PubMed was performed through the end of Au…,0,0,,
GUIDE2015_FACT_004,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,Results—Evidence-based guidelines are presented for the care of patients with ac…,0,0,,
GUIDE2015_FACT_005,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,脑出血,"pontaneous, nontraumatic intracerebral hemorrhage $\begin{array}{r}{\mapsto\math…",0,0,,
GUIDE2015_FACT_006,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,脑出血,"Association ICH guideline, published in 2010, incorporating the results of new s…",0,0,,
GUIDE2015_FACT_007,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,脑出血,"To make this review brief and readily useful to practicing clinicians, backgroun…",0,0,,
GUIDE2015_FACT_008,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,"<html><body><table><tr><td rowspan=""2"" colspan=""2"">CLASSI</td><td colspan=""4"">SI",0,0,,
GUIDE2015_FACT_009,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,A recommendation with Level of Evidence B or C does not imply that the recommend…,0,0,,
GUIDE2015_FACT_010,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,†For comparative effectiveness recommendations (Class I and IIa; Level of Eviden…,0,0,,
GUIDE2015_FACT_011,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,脑出血,"This document serves to update the last ICH guidelines published in 2010,2 and t…",0,0,,
GUIDE2015_FACT_012,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,ICP监测|脑出血,These included 15 sections that covered the following: emergency diagnosis and a…,0,0,,
GUIDE2015_FACT_013,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,Drafts of summaries and recommendations were circulated to the entire writing gr…,0,0,,
GUIDE2015_FACT_014,Guidelines for the Management of Spontaneous Intracerebral Hemorrhage A Guideline for Healthcare Professionals From the American Heart Association/American Stroke Association,fact,其他,Recommendations follow the American Heart Association/American Stroke Associatio…,0,0,,
GUIDE2015_FACT_015,Emergency Diagnosis and Assessment,fact,评分系统|脑出血,ICH is a medical emergency.,0,0,,
GUIDE2015_FACT_016,Prehospital Management,fact,脑出血,"Prehospital management for ICH is similar to that for ischemic stroke, as detail",0,0,,
GUIDE2015_FACT_017,Prehospital Management,fact,其他,<html><body><table><tr><td>Class I</td><td>Conditionsforwhichthereisevidencefora,0,0,,
GUIDE2015_FACT_018,Prehospital Management,fact,其他,AHA/ASA indicates American Heart Association/American Stroke Association.,0,0,,
GUIDE2015_FACT_019,Prehospital Management,fact,其他,Ischemic Stroke.,0,0,,
GUIDE2015_FACT_020,Prehospital Management,fact,脑出血,11 Two studies have shown that prehospital CT scanning with an appropriately equ…,0,0,,
GUIDE2015_FACT_021,ED Management,fact,脑出血,Every ED should be prepared to treat patients with ICH or have a plan for rapid …,0,0,,
GUIDE2015_FACT_022,ED Management,fact,DVT|脑出血,<html><body><table><tr><td>Section</td><td>ClassIRecommendations</td></tr><tr><t…,0,0,,
GUIDE2015_FACT_023,ED Management,fact,脑出血,(Unchanged from the previous guideline)</td></tr><tr><td>Patients with ICH whose…,0,0,,
