chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
SCREEN2014_FACT_001,卒中筛查与防治技术规范,fact,脑出血|脑梗死|缺血性卒中|蛛网膜下腔出血|脑血管病,"国家卫生和计划生育委员会脑卒中筛查与防治工程委员会

卒中是一组急性脑循环障碍所致的局限或全面性脑功能缺损综合征，包括缺血性和出血性卒中两大类。缺血性卒中即脑梗",0,0,,
SCREEN2014_FACT_002,卒中筛查与防治技术规范 > (一) 卒中预防的基本策略(图 1),fact,脑血管病|康复治疗|一级预防|二级预防|复发预防,一级预防:指发病前预防。,0,0,,
SCREEN2014_FACT_003,卒中筛查与防治技术规范 > （二）组织与管理,fact,脑血管病|复发预防|转诊|多学科协作,DOI:10.,0,0,,
SCREEN2014_FACT_004,卒中筛查与防治技术规范 > （一）生活方式干预,fact,脑血管病|卒中后情感障碍|生活方式|戒烟限酒|适量运动,"戒烟:(1)吸烟者应戒烟,不吸烟者也应避免被动吸烟;(2)动员全社会人员参与,在社区人群中采用综合性控烟措施对吸烟者进行干预,包括:戒烟咨询、心理辅导、尼古丁替…",0,0,,
SCREEN2014_FACT_005,卒中筛查与防治技术规范 > （二）定期体检,fact,血糖管理|脑血管病,"40 岁以上人群应定期体检,一般每年检查 1 次为宜。",0,0,,
SCREEN2014_FACT_006,卒中筛查与防治技术规范 > (三)重视卒中早期症状,fact,脑血管病|院前处理,"卒中早期症状:(1)突发一侧面部或肢体麻木无力,口角歪斜流涎;(2)突发视力模糊或失明;(3)突发语言表达或理解困难；(4)突发严重的不明原因头痛、呕吐；(5)…",0,0,,
SCREEN2014_FACT_007,卒中筛查与防治技术规范 > (一)卒中风险筛查评估,fact,影像学检查|缺血性卒中|脑血管病|TIA|降压治疗,"针对 40 岁以上人群,依据以下 8 项危险因素进行卒中风险筛查评估(每一项 1 分)。",0,0,,
SCREEN2014_FACT_008,卒中筛查与防治技术规范 > (三)筛查方法与步骤,fact,血糖管理|TCD|脑血管病|TIA,"医师接诊、病史采集、体格检查: 主要询问有无卒中或 TIA 的症状, 既往有无高血压、血脂异常、糖尿病及心脑血管病史、吸烟饮酒史、饮食生活习惯、家族性心脑血管病…",0,0,,
SCREEN2014_FACT_009,卒中筛查与防治技术规范 > (三)筛查方法与步骤,fact,MRI|DSA|TCD|脑血管病|TIA,其他筛查手段: 包括心电图、超声心动图等。,0,0,,
SCREEN2014_FACT_010,卒中筛查与防治技术规范 > 四、内科干预,fact,脑血管病|复发预防|危险因素,"针对卒中患者及高危人群,采取群体预防和个体干预的措施,及时对卒中危险因素进行干预。",0,0,,
SCREEN2014_FACT_011,卒中筛查与防治技术规范 > (一) 血压管理,fact,动脉瘤|脑血管病|血压管理|降压治疗,"定期监测血压,既往有高血压病史者应该接受脑血管评估,根据是否有脑血管狭窄或动脉瘤等脑血管病变合理控制血压。",0,0,,
SCREEN2014_FACT_012,卒中筛查与防治技术规范 > (二)血糖管理,fact,血糖管理|脑血管病|TIA|并发症|生活方式,"有卒中病史和(或)TIA或卒中高危人群,应进行糖尿病筛查,建议定期检测空腹血糖,必要时做糖耐量试验或测定糖化血红蛋白。",0,0,,
SCREEN2014_FACT_013,卒中筛查与防治技术规范 > (三)血脂调控,fact,血管内治疗|他汀|脑出血|缺血性卒中|脑血管病,"定期检查血脂,异常者依据其危险分层决定血脂控制的目标值。",0,0,,
SCREEN2014_FACT_014,卒中筛查与防治技术规范 > (四)急性期溶栓治疗,fact,溶栓|静脉溶栓|纤溶药物|缺血性卒中|脑血管病,溶栓治疗应严格遵循溶栓时间窗及适应证治疗；在治疗时间窗内，首先考虑静脉溶栓，如不适合，经严格评估后可进行动脉溶栓；溶栓治疗须在具备溶栓条件的医院进行，医院对溶栓…,0,0,,
SCREEN2014_FACT_015,卒中筛查与防治技术规范 > (五)抗血小板治疗,fact,抗血小板|抗凝治疗|抗血小板治疗|评分系统|量表评估,推荐卒中高风险患者(根据 Framingham 量表 10 年心脑血管事件风险 $\geqslant 6\% \sim 10\%$ ) 使用阿司匹林进行一级预防…,0,0,,
SCREEN2014_FACT_016,卒中筛查与防治技术规范 > (六)抗凝治疗,fact,血管内治疗|抗凝治疗|DVT|血栓预防|缺血性卒中,"对于心房颤动不合并缺血性卒中和(或)TIA的患者,根据危险分层、出血风险评估和患者意愿,结合当地医院是否具备抗凝监测条件,决定是否进行抗凝治疗。",0,0,,
SCREEN2014_FACT_017,卒中筛查与防治技术规范 > (七)中医药治疗,fact,脑血管病,"中医药治疗强调以辨证论治为原则,根据卒中病程各阶段的证候动态变化遣方用药。",0,0,,
SCREEN2014_FACT_018,卒中筛查与防治技术规范 > (八)其他,fact,溶栓|降颅压|影像学检查|脑梗死|缺血性卒中,"降纤治疗: 对不适合溶栓并经过严格筛选的脑梗死患者, 特别是高纤维蛋白血症者可选用降纤治疗。",0,0,,
SCREEN2014_FACT_019,卒中筛查与防治技术规范 > (一)颈动脉内膜剥脱术(CEA),fact,血管内治疗|他汀|抗血小板治疗|血栓预防|DSA,"CEA 通过外科手段使管腔重新通畅,并防止栓子脱落及血栓形成,从而预防卒中发生 $^{[8]}$ 。",0,0,,
SCREEN2014_FACT_020,卒中筛查与防治技术规范 > (二)血管搭桥术,fact,血管内治疗|降颅压|烟雾病|动脉瘤|脑血管病,"血管搭桥术适应证:(1) TIA 或可逆性神经功能障碍频繁发作,遵循指南内科治疗无效,导管血管造影证实有相关血管狭窄≥70%,不适宜行血管内治疗或经血管内治疗后…",0,0,,
SCREEN2014_FACT_021,卒中筛查与防治技术规范 > (三)动脉瘤夹闭术,fact,蛛网膜下腔出血|动脉瘤|脑血管病|外科治疗|危险因素,"动脉瘤手术夹闭适应证:(1)低风险病例,如年轻患者,位于前循环的小动脉瘤首选夹闭术。",0,0,,
SCREEN2014_FACT_022,卒中筛查与防治技术规范 > (四) 血肿清除术,fact,颅内高压|脑积水|脑出血|小脑出血|一般治疗,"患者处于脑疝早期或前期,特别是小脑出血伴神经功能恶化,脑干受压和(或)脑室梗阻致脑积水者,经积极内科治疗无效应尽快手术清除血肿。",0,0,,
SCREEN2014_FACT_023,卒中筛查与防治技术规范 > (五)脑室穿刺引流术,fact,溶栓|脑积水|脑出血,脑出血破入脑室、脑积水、伴神经功能继续恶化或脑干受压时可考虑行脑室穿刺引流术。,0,0,,
SCREEN2014_FACT_024,卒中筛查与防治技术规范 > (六)其他,fact,立体定向|脑室引流|颅内压管理|脑积水|降颅压,微创治疗: 根据适应证严格选择病例。,0,0,,
SCREEN2014_FACT_025,卒中筛查与防治技术规范 > (一)介入干预治疗适应证,fact,血管内治疗|抗凝治疗|抗血小板治疗|影像学检查|TCD,"颈动脉支架术(CAS):(1)症状性颈动脉狭窄患者,如无创性影像检测发现同侧颈动脉狭窄程度>70%或经导管血管造影显示狭窄程度>50%,血管内操作中低危险者,C…",0,0,,
SCREEN2014_FACT_026,卒中筛查与防治技术规范 > (二)介入干预治疗应遵循的原则,fact,血管内治疗|抗血小板治疗|影像学检查|危险因素,介入干预治疗须由具有资质的医师接受神经介入培训后，严格按照指南操作规范进行。,0,0,,
