chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
SICH2015_FACT_001,2015版 AHA/ASA叶自发性脑出血处理指南曳解读,fact,脑出血,"范存刚 张庆俊

100044 北京袁北京大学人民医院神经外科

通信作者院范存刚袁Email院fancungang@aliyun.com

DOI:10.37",0,0,,
SICH2015_FACT_002,2015版 AHA/ASA叶自发性脑出血处理指南曳解读,fact,脑出血,"基金项目院北京大学人民医院研究与发展基金(RCD 2015-05)

揖中图分类号铱 R743. 34 揖文献标志码铱 C 揖文章编号铱 1671-8925(2",0,0,,
SICH2015_FACT_003,2015版 AHA/ASA叶自发性脑出血处理指南曳解读,fact,脑出血|病因分型,"com

揖Key words铱 Intracerebral hemorrhage; Intraventricular hemorrhage; Blood pr",0,0,,
SICH2015_FACT_004,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 一尧急诊诊断与评估,fact,气道管理|NIHSS|评分系统|量表评估|CTA,ICH患者常在起病后数小时内病情恶化袁 故强调院前急救尧预警和医院急诊的紧密衔接遥 院前处理重点包括气道管理 循环支持 迅速转运 有重点地询问发病情况尧既往史尧,0,0,,
SICH2015_FACT_005,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 一尧急诊诊断与评估,fact,血栓预防|CTA|MRI|MRA|DSA,对年龄 <65 岁 女性 非吸烟者 脑叶出血 破入脑室以及无高血压史或凝血功能障碍的 ICH 应考虑脑血管异常的可能袁CTA尧CTV尧增强 CT尧增强MRI尧M,0,0,,
SICH2015_FACT_006,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 二尧止血和凝血功能障碍尧使用抗血小板药物和深静脉血栓的预防,fact,肝素相关脑出血|抗凝治疗|抗血小板治疗|DVT|血栓预防,"止血异常的危险因素包括口服抗凝血药 / 抗血小板药物 获得性 / 先天性凝血因子缺乏 遗传性 /获得性血小板功能或数量异常等遥
合并严重凝血因子缺乏或严重血小板",0,0,,
SICH2015_FACT_007,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 二尧止血和凝血功能障碍尧使用抗血小板药物和深静脉血栓的预防,fact,血管内治疗|肝素相关脑出血|抗凝治疗|抗血小板治疗|DVT,ICH 患者有较高的发生血栓栓塞疾病的风险袁在住院当日即应开始下肢间歇充气加压治疗以预防深静脉血栓( 类推荐 B 级证据) 但分级加压弹力袜效果不确切(芋类推荐,0,0,,
SICH2015_FACT_008,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 三尧血压控制,fact,血肿扩大|脑出血|降压治疗|血压管理|预后,ICH后高收缩压与血肿扩大 神经功能恶化 残疾和死亡均具有相关性 [11-12] 对 收缩 压介于150\~220 mmHg尧 无急性降压禁忌证的 ICH 患者,0,0,,
SICH2015_FACT_009,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 四尧一般监护,fact,颅内压管理|降颅压|评分系统|NIHSS|影像学检查,ICH患者应在神经重症监护病房或专门的卒中单元进行监护(玉类推荐袁B 级证据曰修订)袁重点监测指标包括生命体征 神经系统评分(NIHSS 评分GCS 评分和 G,0,0,,
SICH2015_FACT_010,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 五尧血糖管理,fact,血糖管理|脑出血|预后|流行病学,无论是否患有糖尿病袁入院时高血糖均可预测ICH 患者的死亡率和预后不良的风险增加[13]袁故推荐监测血糖水平以免发生高血糖和低血糖 ( 类推荐袁C 级证据曰修订,0,0,,
SICH2015_FACT_011,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 六尧体温管理,fact,血肿扩大|体温管理|脑出血|预后,ICH后发热以脑室内出血者常见袁 多与血肿扩大有关袁且可能影响患者预后袁故应控制发热(域b类推荐袁C 级证据曰新推荐)袁但亚低温治疗效果不确切[5]遥,0,0,,
SICH2015_FACT_012,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 七尧癫痫处理,fact,癫痫|抗癫痫|脑电图|脑出血|复发预防,ICH 后癫痫的危险因素包括出血严重程度尧血肿位于皮层和迟发的首次癫痫发作[14]遥 目前推荐对有临床癫痫发作者( 类推荐 A 级证据)和意识状态改变且脑电图有,0,0,,
SICH2015_FACT_013,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 八 内科并发症的处理,fact,血管内治疗|肺栓塞|肺炎预防|感染|吞咽功能,ICH后常见并发症包括肺炎 误吸 呼吸衰竭 /窘迫 肺栓塞和败血症 吞咽困难和误吸是发生肺炎的主要危险因素 故在经口进食前均应进行吞咽困难程度评估以降低肺炎风险,0,0,,
SICH2015_FACT_014,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 九尧颅内压监测和治疗,fact,脑室引流|颅内压管理|脑积水|降颅压|评分系统,脑室出血后脑积水或血肿 / 周围水肿的占位效应是 ICH 后颅内压升高的常见病因遥 推荐对合并脑积水(尤其是伴意识水平下降者)进行脑室引流(域a类推荐袁B 级证,0,0,,
SICH2015_FACT_015,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 十尧脑室出血,fact,纤溶药物|脑出血|脑室出血,脑室出血是 ICH 不良转归的独立预测因素 但脑室内注射重组组织型纤溶酶原激活物 ( b 类推荐袁B 级证据曰修订)和内镜治疗脑室出血(域b 类推荐袁B 级证据,0,0,,
SICH2015_FACT_016,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 十一尧ICH的外科治疗(血肿清除),fact,立体定向|去骨瓣减压|脑室外引流|溶栓|脑积水,多数 ICH 患者进行外科手术治疗的价值尚存有争议遥 目前认为袁小脑出血伴神经功能恶化或脑干受压和(或)脑室梗阻引起脑积水者应尽快手术清除血肿(玉类推荐袁B 级,0,0,,
SICH2015_FACT_017,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 十二尧撤除生命支持时间,fact,脑出血|手术治疗,目前主张 ICH 发病后早期予以积极治疗 至少在入院 48 h 后再执行不予复苏(DNAR)医嘱(域a 类推荐袁B 级证据)遥 即使执行 DNAR 的患者袁也应,0,0,,
SICH2015_FACT_018,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 十三尧预防 ICH 复发,fact,抗凝治疗|抗血小板治疗|MRI|脑出血|血压管理,ICH 复发的危险因素包括 (1)首发 ICH 位于脑叶曰(2)高龄曰(3)梯度回波 MRI 显示有微出血灶及其数量曰(4)正在进行抗凝治疗曰(5)携带载脂蛋白,0,0,,
SICH2015_FACT_019,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 十四尧康复和恢复,fact,脑出血|康复治疗|多学科协作,约半数的 ICH 患者的日常生活需他人帮助袁故推荐所有 ICH 患者均接受多学科康复治疗(玉类推荐袁A 级证据曰修订)遥 此外袁还应尽早开始康复且出院后在社区内,0,0,,
SICH2015_FACT_020,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 十五尧未来展望,fact,微创手术|影像学检查|脑出血|降压治疗|手术治疗,未来 ICH 的研究仍需解决降压范围及目标血压 神经影像学发现(如 点征 )能否甄别降压治疗获益者 如何甄别早期手术获益的幕上 ICH 者 微创手术治疗的价值 ,0,0,,
SICH2015_FACT_021,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 参 考 文 献,fact,其他,"[1] Broderick JP, Adams HP Jr, Barsan W, et al.",0,0,,
SICH2015_FACT_022,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 参 考 文 献,fact,蛛网膜下腔出血|动脉瘤,Guidelines for the management of spontaneous intracerebral hemorrhage: a guideli…,0,0,,
SICH2015_FACT_023,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 参 考 文 献,fact,其他,Guidelines for the management of spontaneous intracerebral hemorrhage: a guideli…,0,0,,
SICH2015_FACT_024,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 参 考 文 献,fact,斑点征,Spot sign number is the most important spot sign characteristic for predicting h…,0,0,,
SICH2015_FACT_025,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 参 考 文 献,fact,其他,1016/S0140-6736(13)61050-8.,0,0,,
SICH2015_FACT_026,2015版 AHA/ASA叶自发性脑出血处理指南曳解读 > 参 考 文 献,fact,其他,Seizures do not increase in-hospital mortality after intracerebral hemorrhage in…,0,0,,
