chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
SVD2020_FACT_001,中国脑小血管病诊治指南2020,fact,抗血小板治疗|影像学检查|脑出血|脑梗死|脑淀粉样变,"中华医学会神经病学分会 中华医学会神经病学分会脑血管病学组

通信作者：黄一宁，北京大学第一医院神经内科，北京 100034，Email：ynhuang@bjm",0,0,,
SVD2020_FACT_002,Chinese guideline for diagnosis and treatment of cerebral small vessel disease 2020,fact,其他,"Chinese Society of Neurology, Chinese Stroke Society
Corresponding authors: Huan",0,0,,
SVD2020_FACT_003,Chinese guideline for diagnosis and treatment of cerebral small vessel disease 2020,fact,其他,"【Abstract】 Cerebral small vessel disease (CSVD) refers to a series of clinical, …",0,0,,
SVD2020_FACT_004,Chinese guideline for diagnosis and treatment of cerebral small vessel disease 2020,fact,其他,"According to its etiologies, it could be divided into 6 groups including arterio…",0,0,,
SVD2020_FACT_005,Chinese guideline for diagnosis and treatment of cerebral small vessel disease 2020,fact,脑血管病,近年，随着对人群和脑卒中患者的深入研究，对脑小血管病认识不断扩展，知识日新月异。,0,0,,
SVD2020_FACT_006,脑小血管病定义,fact,影像学检查|脑出血|脑梗死|病因分型|定义,脑小血管病是指各种病因影响脑内小动脉、微动脉、毛细血管、微静脉和小静脉所导致的一系列临床、影像、病理综合征。,0,0,,
SVD2020_FACT_007,脑小血管病病因,fact,脑淀粉样变|危险因素|病因分型,按照脑小血管病的病因可将其分为 大类：（）小动脉硬化，也称年龄和血管危险因素相关性脑小血管病；（）散发性或遗传性脑淀粉样血管病；（）其他遗传性脑小血管病；（）炎…,0,0,,
SVD2020_FACT_008,流行病学资料,fact,脑出血|脑淀粉样变|脑血管病|复发预防|危险因素,在我国，脑小血管病变所引起的腔隙性梗死占缺血性脑卒中的 ，而脑出血占所有类型脑卒中的 ，显著高于西方国家［7］ 。,0,0,,
SVD2020_FACT_009,发病机制,fact,动脉瘤|脑淀粉样变|排除继发出血,脑小血管病常累及穿通动脉，病变血管直径小于 ［11］ 。,0,0,,
SVD2020_FACT_010,发病机制,fact,降颅压|脑出血|脑梗死|脑淀粉样变,脑的小血管病进一步发展可破坏血脑屏障，造成局部炎性反应，血管自动调节功能丧失，脑血流量下降，导致严重局部缺血，灰白质完全坏死，临床表 现 出 腔 隙 性 脑 梗…,0,0,,
SVD2020_FACT_011,脑小血管病临床表现,fact,吞咽功能|影像学检查|脑出血|脑梗死|脑血管病,脑小血管病可以无临床症状。,0,0,,
SVD2020_FACT_012,脑小血管病影像学检查,fact,影像学检查,脑小血管病的临床表现复杂多样，起病形式可急可缓，缺乏特异性。,0,0,,
SVD2020_FACT_013,一、MRI,fact,MRI,MRI是目前检测脑小血管病最重要的工具。,0,0,,
SVD2020_FACT_014,（一）新发小的皮质下微梗死,fact,影像学检查|脑出血|脑淀粉样变|病因分型,显示穿支动脉供血区的新发腔隙性梗死，引起相关临床症状。,0,0,,
SVD2020_FACT_015,（二）可 能 为 血 管 起 源 的 腔 隙（lacune ofpresumed vascular origin）,fact,MRI|排除继发出血|定义,可能为血管起源的腔隙定义为：圆形或卵圆形，直径 ，分布于皮质下白质和深部灰质或者脑干，充满与脑脊液相同的信号，与穿支动脉供血区陈旧梗死或者出血相关，可以继发于小…,0,0,,
SVD2020_FACT_016,（三）可能为血管起源的白质高信号（matter hypertensity of presumed vascular origin）,fact,评分系统|量表评估|定义,可能为血管起源的白质高信号定义为：脑白质异常信号，病变范围可以大小不等，在 或序列上呈高信号， 呈等信号或低信号，取决于序列参数和病变的严重程度，其内无空腔，与…,0,0,,
SVD2020_FACT_017,（四）血管周围间隙,fact,评分系统|定义,血管周围间隙定义为：包绕血管、沿着血管走行的间隙。,0,0,,
SVD2020_FACT_018,（四）血管周围间隙,fact,其他,"<table><tr><td colspan=""3"">脑室周围高信号(0~6分)</td></tr><tr><td>帽状</td><td></td><td></",0,0,,
SVD2020_FACT_019,（四）血管周围间隙,fact,评分系统|量表评估|脑出血,外液体间隙，自脑表面穿入脑实质而形成。,0,0,,
SVD2020_FACT_020,（五）脑微出血,fact,评分系统|量表评估|影像学检查|脑出血|排除继发出血,脑微出血定义为：在 \ 和其他对磁化效应敏感的序列显示出以下变化：（1）小圆形或卵圆形、边界清楚、均质性、信号缺失灶；（）直径 2\~5 mm，最大不超过 10…,0,0,,
SVD2020_FACT_021,（六）脑萎缩,fact,MRI|脑梗死,脑小血管病引起的脑萎缩指的是脑体积减小，但与特定的、大体局灶性损伤如外伤和脑梗死无关。,0,0,,
