chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
PREV2024_FACT_001,,fact,脑血管病|复发预防|流行病学|疾病负担,"脑血管病防治指南（2024 年版）

脑血管病严重威胁我国居民健康，其高发病率、高复发率、高死亡率和高致残率给患者、家庭和社会带来沉重负担。施行早期预防和综合干",0,0,,
PREV2024_FACT_002,一、脑血管病的相关定义,fact,血栓预防|脑出血|脑梗死|蛛网膜下腔出血|脑血管病,脑血管病是各种原因导致脑血管病变或血流障碍引起的脑部疾病的总称。,0,0,,
PREV2024_FACT_003,一、脑血管病的相关定义 > （一）缺血性脑血管病,fact,影像学检查|脑梗死|缺血性卒中|脑血管病|TIA,脑梗死：又称缺血性卒中，由于脑局部血液循环障碍所导致的神经功能缺损综合征，症状持续时间至少 24 小时或存在经影像学证实的新发脑梗死灶。,0,0,,
PREV2024_FACT_004,一、脑血管病的相关定义 > （二）出血性脑血管病 > 1.脑出血：原发性非创伤性脑实质内出血。,fact,血栓预防|脑出血|蛛网膜下腔出血|SAH|脑血管病,蛛网膜下腔出血（Subarachnoid Haemorrhage，SAH）：脑底部或脑表面血管破裂后，血液流入蛛网膜下腔引起的卒中。,0,0,,
PREV2024_FACT_005,二、脑血管病的疾病负担,fact,溶栓|脑出血|缺血性卒中|蛛网膜下腔出血|脑血管病,2019 年全球疾病负担研究显示，我国每年新发卒中约 394万例，占全球新发病例的 1/3，发病以缺血性卒中为主，约占 72%，脑出血占 22%，蛛网膜下腔出血…,0,0,,
PREV2024_FACT_006,一、提高早期识别能力,fact,脑血管病,树立“时间就是大脑”观念，推广使用“中风 120”口诀1、“BEFAST”口诀2等快速识别脑血管病早期症状的工具。,0,0,,
PREV2024_FACT_007,二、优化院前急救流程,fact,溶栓|影像学检查|脑血管病|院前处理|院前急救,提升院前卒中急救能力，完善急救医疗服务体系，优化呼叫响应、派遣、现场处置及转运等环节的紧密衔接。,0,0,,
PREV2024_FACT_008,三、提高院内救治效率,fact,血管内治疗|影像学检查|脑血管病|院前急救|急诊处理,畅通院内急救通道，建立急诊科、神经内科、神经外科、介入科、影像科、心血管科、检验科和麻醉科等多学科协作机制，共同制定和执行急性卒中治疗方案，缩短从入院到治疗的时…,0,0,,
PREV2024_FACT_009,第三章脑血管病预防,fact,脑血管病|一级预防|二级预防|复发预防|危险因素,脑血管病预防主要包括一级预防和二级预防。,0,0,,
PREV2024_FACT_010,一、人群脑血管病风险评估,fact,脑血管病|复发预防|危险因素|风险评估,预防脑血管病需做好人群脑血管病风险评估，并持续监测脑血管病及相关危险因素的流行情况及变化趋势。,0,0,,
PREV2024_FACT_011,一、人群脑血管病风险评估 > （一）评估人群,fact,脑血管病|危险因素,原则上应覆盖 35 岁以上、具有 1 个及以上脑血管病主要危险因素的高危人群。,0,0,,
PREV2024_FACT_012,一、人群脑血管病风险评估 > （二）评估内容,fact,脑血管病|危险因素|生活方式|合理膳食,重点评估可干预的脑血管病危险因素，如高血压、糖尿病、血脂异常、心房颤动、超重肥胖以及吸烟、过量饮酒、不合理膳食和缺乏身体活动等不健康生活方式。,0,0,,
PREV2024_FACT_013,一、人群脑血管病风险评估 > （三）评估模式,fact,血糖管理|脑血管病|危险因素|风险评估,各地区可结合实际情况，因地制宜开展脑血管病危险因素筛查，创新机会性筛查模式，加大机会性筛查力度。,0,0,,
PREV2024_FACT_014,二、基于个体水平的脑血管病预防策略 > （一）脑血管病危险因素控制,fact,血糖管理|脑血管病|降压治疗|一级预防|二级预防,脑血管病相关危险因素早期积极干预，是脑血管病一级预防的核心，也是二级预防的重点，特别是对高血压、糖尿病、血脂异常、心房颤动、超重肥胖和吸烟等危险因素的干预。,0,0,,
PREV2024_FACT_015,二、基于个体水平的脑血管病预防策略 > （一）脑血管病危险因素控制 > 3.血脂异常干预,fact,抗凝治疗|评分系统|脑血管病|随访|生活方式,倡导脑血管病高危人群定期进行血脂检测。,0,0,,
