chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
HICH2026_FACT_001,高血压性脑出血重症管理专家共识(2026版),fact,脑出血|HICH诊断|脑血管病|排除继发出血|并发症,"中国医师协会神经外科医师分会神经重症专家委员会 中国神经外科重症管理协作组通信作者:康德智,福建医科大学附属第一医院神经外科,福州350005,Email: k…",0,0,,
HICH2026_FACT_002,高血压性脑出血重症管理专家共识(2026版),fact,气道管理|血肿扩大|脑出血|HICH诊断|脑血管病,2020年《高血压性脑出血中国多学科诊治指南》发布，在HICH的血肿扩大预测、非手术和手术治疗等方面起到规范和指导作用[2]。,0,0,,
HICH2026_FACT_003,(一)共识制订过程,fact,气道管理|脑出血|HICH诊断|镇静镇痛|重症监护,本共识由福建医科大学附属第一医院神经外科康德智教授和首都医科大学附属北京天坛医院重症医学科石广志教授牵头，组织国内神经外科和重症医学科专家成立专家组撰写。,0,0,,
HICH2026_FACT_004,(二)文献检索策略,fact,脑出血|HICH诊断,"本共识针对 HICH 重症管理相关的关键问题进行文献检索, 检索数据库包括 PubMed、Cochrane Library、中国知网和万方数据知识服务平台, 检…",0,0,,
HICH2026_FACT_005,(三)证据等级评定标准和推荐强度,fact,定义|证据分级,"采用推荐意见分级评估、制定与评价（Grading of Recommendations Assessment, Development and Evaluati…",0,0,,
HICH2026_FACT_006,(一)救治场所,fact,脑出血|HICH诊断|重症监护|入住标准|多学科协作,"HICH 因其发病急、病情危重,致死致残率高,建议在具有神经外科诊疗能力的多学科诊疗重症监护病房(intensive care unit, ICU)救治。",0,0,,
HICH2026_FACT_007,(二)气道管理,fact,气道管理|吞咽功能|脑出血|HICH诊断|脑血管病,约 $30\%$ 的HICH患者入院后需接受气管插管等建立人工气道[7]。,0,0,,
HICH2026_FACT_008,(二)气道管理,fact,气道管理|评分系统|量表评估|脑出血|HICH诊断,"推荐意见2:对于循环不稳定、气道阻塞、通气不足、难以纠正的低氧血症或格拉斯哥昏迷量表(GCS)评分 $\leqslant8$ 分的HICH患者,应尽早行气管插管…",0,0,,
HICH2026_FACT_009,(二)气道管理,fact,气道管理|体温管理|脑出血|HICH诊断|证据分级,"推荐意见 4: HICH 患者的意识水平好转(可服从命令, 除外感觉性失语等情况)、血流动力学稳定、肺部情况好转[气道分泌物明显减少、 $PaO_{2}$ /吸…",0,0,,
HICH2026_FACT_010,(三) 血压管理,fact,ATACH-II|降压研究|血肿扩大|脑出血|脑血管病,对于卒中患者，入院时血压过高或过低均可致其病死率升高 $^{[13]}$ 。,0,0,,
HICH2026_FACT_011,(三) 血压管理,fact,脑出血|HICH诊断|血压管理|降压治疗|证据分级,大部分研究探讨患者脑出血发病后、手术前的血压管理，血肿清除术后血压的相关研究较少，术后最适合的收缩压数值仍不清楚；有研究纳入40例接受血肿清除术的患者并监测其脑…,0,0,,
HICH2026_FACT_012,(四)颅内压的监测,fact,脑室外引流|颅内压管理|降颅压|评分系统|影像学检查,"研究表明,与无颅内压监测组相比,颅内压监测组脑出血患者的6个月预后更佳,尤其适用于GCS评分为9\~12分的患者 $^{[22]}$ 。",0,0,,
HICH2026_FACT_013,(四)颅内压的监测,fact,颅内压管理|颅内高压|评分系统|MRI|TCD,颅内压的无创监测手段包括头颅 CT、MRI、经颅多普勒超声、鼓膜位移法、耳声发射技术、闪光视觉诱发电位、视神经鞘直径测量、光学相干断层扫描以及视网膜血管分析等技…,0,0,,
HICH2026_FACT_014,(五)神经功能监测与管理,fact,降颅压|评分系统|影像学检查|脑电图|TCD,"研究表明,即使受过培训的护士,对于瞳孔大小不一致的情况也有50%未能检出 $^{[39]}$ ;有条件的单位可使用自动瞳孔仪评估标准瞳孔对光反射 $^{[39-…",0,0,,
HICH2026_FACT_015,(六)渗透性治疗,fact,甘露醇|高渗盐水|颅内高压|颅内压管理|血钠管理,"甘露醇是临床上常用的降颅内压药物,其起效快,但可能引起水电解质紊乱、血浆渗透压改变以及颅内压反跳等，在低血压和颅内有活动性出血时慎用。",0,0,,
HICH2026_FACT_016,(七)镇痛镇静,fact,评分系统|量表评估|脑电图|脑出血|HICH诊断,"仅 $35\%$ 的患者在ICU标准化镇痛镇静程序前进行了疼痛评估，数字评分量表（numeric rating scale, NRS)评分虽被认为是疼痛评估的“…",0,0,,
HICH2026_FACT_017,(七)镇痛镇静,fact,脑出血|HICH诊断|镇静镇痛|证据分级,"推荐意见 19: 需准确、快速评估 HICH 患者的神经功能时, 可选择短效或超短效药物, 出现难治性颅高压时应行强化镇痛镇静治疗, 不推荐每日唤醒; 患者的呼…",0,0,,
HICH2026_FACT_018,(八)逆转抗栓治疗,fact,抗血小板|抗血小板治疗|纤溶药物|血肿扩大|血栓预防,"在高收入国家,超过25%的人群在发生脑出血前服用抗血小板治疗药物,采用抗血小板治疗的患者较正常人群的预后更差 $^{[52]}$ 。",0,0,,
HICH2026_FACT_019,(八)逆转抗栓治疗,fact,抗凝治疗|脑出血|HICH诊断|止血治疗,"对于维生素 K 拮抗剂相关的脑出血患者,4 因子凝血酶原复合物（4-factor prothrombin complex concentrate,4F-PCC）…",0,0,,
HICH2026_FACT_020,(八)逆转抗栓治疗,fact,肝素相关脑出血|抗凝治疗|脑出血|HICH诊断|止血治疗,"推荐意见 21: 应用抗凝药物的患者发生 HICH 时, 应立即停用抗凝药物, 并尽快使用拮抗剂, 同时行多次凝血检测; 对于服用达比加群酯或 Xa 因子拮抗剂…",0,0,,
HICH2026_FACT_021,(九)抗纤溶治疗,fact,STOP-AUST|氨甲环酸|纤溶药物|血肿扩大|脑出血,"目前,针对脑出血患者的超急性期治疗旨在降低血肿扩大的风险,但迄今为止,仍无止血剂或抗纤维蛋白溶解剂能改善患者的功能预后。",0,0,,
HICH2026_FACT_022,(十)卒中-心脏综合征,fact,脑出血|HICH诊断|脑血管病|危险因素|排除继发出血,卒中－心脏综合征是指急性卒中发生后30 d内新发的心血管并发症，包括急性心肌损伤（缺血性和非缺血性）、急性冠状动脉综合征、心功能不全、Takotsubo综合征、…,0,0,,
HICH2026_FACT_023,"（十一）阵发性交感神经过度兴奋综合征（paroxysmal sympathetic hyperactivity, PSH）",fact,癫痫|评分系统|量表评估|脑出血|HICH诊断,"1929 年, Wilder Penfield 首次将 PSH 描述为“间脑癫痫”。",0,0,,
HICH2026_FACT_024,"(十二)静脉血栓栓塞症(venous thromboembolism, VTE)的预防和治疗",fact,血管内治疗|肝素相关脑出血|抗凝治疗|血肿扩大|DVT,"深静脉血栓(deep vein thrombosis, DVT)的机械预防主要包括使用逐级加压弹力袜、间歇性充气加压装置。",0,0,,
HICH2026_FACT_025,"(十二)静脉血栓栓塞症(venous thromboembolism, VTE)的预防和治疗",fact,血管内治疗|肝素相关脑出血|抗凝治疗|DVT|肺栓塞,"推荐意见 32: 对于并发下肢 DVT 等有抗凝治疗指征的 HICH 患者, 及时启动抗凝治疗是可行的, 颅内出血风险降低时可考虑使用普通肝素或低分子量肝素治疗…",0,0,,
HICH2026_FACT_026,(十三)血糖管理,fact,降压研究|血糖管理|脑出血|HICH诊断|脑血管病,"对于 HICH 患者,积极治疗低血糖(2.",0,0,,
