chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
GUIDE2021_FACT_001,Recommended Primary Outcomes for Clinical Trials Evaluating Hemostatic Agents in Patients With Intracranial Hemorrhage A Consensus Statement,fact,其他,Stephan A.,0,0,,
GUIDE2021_FACT_002,Abstract,fact,其他,IMPORTANCE In patients with acute spontaneous or traumatic intracranial hemorrha…,0,0,,
GUIDE2021_FACT_003,Abstract,fact,其他,"FINDINGS A hierarchy of 3 outcome measures is recommended, with the first choice…",0,0,,
GUIDE2021_FACT_004,Abstract,fact,其他,CONCLUSIONS AND RELEVANCE Standardization of outcome measures in studies of intr…,0,0,,
GUIDE2021_FACT_005,Key Points,fact,其他,Question What is the ideal primary outcome for clinical trials of hemostatic age…,0,0,,
GUIDE2021_FACT_006,Supplemental content,fact,其他,Author affiliations and article information are listed at the end of this articl…,0,0,,
GUIDE2021_FACT_007,Introduction,fact,其他,"Due to the exquisite sensitivity of the brain to the effects of tissue damage, i…",0,0,,
GUIDE2021_FACT_008,Introduction,fact,其他,Research evaluating hemostatic agents across a variety of clinical scenarios has…,0,0,,
GUIDE2021_FACT_009,Introduction,fact,脑出血,"In this consensus statement, we report our recommendations on preferred outcome …",0,0,,
GUIDE2021_FACT_010,Methods,fact,其他,"In January 2019, an international working group of experts in the clinical treat…",0,0,,
GUIDE2021_FACT_011,Methods,fact,其他,"In the case of the Central Nervous System (CNS) Bleeding subgroup, membership wa…",0,0,,
GUIDE2021_FACT_012,Methods,fact,其他,Each working group was tasked with developing a hierarchy of preferred primary a…,0,0,,
GUIDE2021_FACT_013,Methods,fact,其他,As we did not perform a formal systematic review or rate the quality of the evid…,0,0,,
GUIDE2021_FACT_014,Methods,fact,其他,We developed and evaluated a comprehensive list of potential outcome metrics to …,0,0,,
GUIDE2021_FACT_015,Methods,fact,其他,Consensus was achieved using a modified Delphi approach in which formal electron…,0,0,,
GUIDE2021_FACT_016,Categories of Intracranial Hemorrhage,fact,脑出血,The term intracranial hemorrhage is used for any form of spontaneous or traumati…,0,0,,
GUIDE2021_FACT_017,Categories of Intracranial Hemorrhage,fact,脑出血,Because the tempo and pathobiology of traumatic and spontaneous bleeding into th…,0,0,,
GUIDE2021_FACT_018,Categories of Intracranial Hemorrhage,fact,其他,"5 By contrast, approximately half of patients presenting with traumatic cerebral…",0,0,,
GUIDE2021_FACT_019,Categories of Intracranial Hemorrhage,fact,其他,Despite our recommendation that studies evaluating hemostatic therapy separate s…,0,0,,
GUIDE2021_FACT_020,Hemorrhage Volume Measurement Techniques,fact,其他,"Accurate calculation of hemorrhage volume is critical, both as a prognostic feat…",0,0,,
GUIDE2021_FACT_021,Hemorrhage Volume Measurement Techniques,fact,其他,"<html><body><table><tr><td colspan=""2"">Box.",0,0,,
GUIDE2021_FACT_022,Hemorrhage Volume Measurement Techniques,fact,其他,MainAnatomicSubtypesofIntracranialBleeding</td></tr><tr><td>SpontaneousIntracere…,0,0,,
GUIDE2021_FACT_023,Hemorrhage Volume Measurement Techniques,fact,脑出血,Theguidelines presented in this article apply specificallyto spontaneous ICH and…,0,0,,
GUIDE2021_FACT_024,Hemorrhage Volume Measurement Techniques,fact,其他,"For the purposes of phase 2 and 3 clinical trials, we consider manual computeriz…",0,0,,
GUIDE2021_FACT_025,Hemorrhage Volume Measurement Techniques,fact,其他,"9\mathrm{ml}$ , with $82\%$ of paired measurements falling within $2\mathsf{ml}$…",0,0,,
GUIDE2021_FACT_026,Hemorrhage Volume Measurement Techniques,fact,脑出血,"In semi-automated threshold-guided planimetry, the slice area measurement is per…",0,0,,
GUIDE2021_FACT_027,Hemorrhage Volume Measurement Techniques,fact,其他,"14 Given the fast speed (ie, $_{<20}$ seconds) and high accuracy of this techniq…",0,0,,
GUIDE2021_FACT_028,Hemorrhage Volume Measurement Techniques,fact,其他,The simplified ABC/2 method of hemorrhage volume estimation consists of identify…,0,0,,
GUIDE2021_FACT_029,Hemorrhage Volume Measurement Techniques,fact,其他,"15-18 Although the ABC/2 method is simple, rapid, and appropriate for clinical u…",0,0,,
GUIDE2021_FACT_030,Definitions of Hemorrhage Expansion,fact,脑出血,Expansion of ICH is defined as a change in volume between initial and follow-up …,0,0,,
GUIDE2021_FACT_031,Definitions of Hemorrhage Expansion,fact,其他,Whether effective hemostasis leads to improved clinical outcome is an important …,0,0,,
GUIDE2021_FACT_032,Definitions of Hemorrhage Expansion,fact,脑出血,milliliter.,0,0,,
GUIDE2021_FACT_033,Definitions of Hemorrhage Expansion,fact,评分系统|脑出血,Varied definitions and cut points have been used to define clinically relevant I…,0,0,,
GUIDE2021_FACT_034,Definitions of Hemorrhage Expansion,fact,其他,Data are limited regarding the optimal cutoff for absolute changes in hemorrhage…,0,0,,
GUIDE2021_FACT_035,Definitions of Hemorrhage Expansion,fact,脑出血,"For instance, it may make more sense to use percentage rather than absolute chan…",0,0,,
GUIDE2021_FACT_036,CNS Hemostasis Clinical Trials,fact,脑出血,Several clinical trials have examined hemostatic therapies in patients with acut…,0,0,,
GUIDE2021_FACT_037,CNS Hemostasis Clinical Trials,fact,降压研究|脑出血,<html><body><table><tr><td>Trial name</td><td>Year</td><td>Studypopulation</td><,0,0,,
GUIDE2021_FACT_038,CNS Hemostasis Clinical Trials,fact,脑出血,bleeding.,0,0,,
GUIDE2021_FACT_039,CNS Hemostasis Clinical Trials,fact,脑出血,Among trials that have used radiographic evidence of hematoma expansion as their…,0,0,,
GUIDE2021_FACT_040,CNS Hemostasis Clinical Trials,fact,其他,Prior studies have compared both continuous and dichotomized measures of absolut…,0,0,,
GUIDE2021_FACT_041,CNS Hemostasis Clinical Trials,fact,脑出血,5\mathrm{mL}$ or greater increase in size was used to denote significant ICH exp…,0,0,,
GUIDE2021_FACT_042,CNS Hemostasis Clinical Trials,fact,评分系统,Among the phase 3 trials of hemostatic therapy for CNS bleeding that have used 9…,0,0,,
GUIDE2021_FACT_043,CNS Hemostasis Clinical Trials,fact,评分系统|脑出血,"06\right)$ , whereas the ordinal shift analysis of mRS outcomes did $(P=.",0,0,,
GUIDE2021_FACT_044,CNS Hemostasis Clinical Trials,fact,氨甲环酸|评分系统|脑出血,<html><body><table><tr><td>Trialname</td><td>Year</td><td>Studypopulation</td><t,0,0,,
GUIDE2021_FACT_045,CNS Hemostasis Clinical Trials,fact,rFVIa|评分系统|脑出血,"Abbreviations: ICH, intracerebral hemorrhage; mRS, modified Rankin score; rFVIIa…",0,0,,
GUIDE2021_FACT_046,Recommended Trial Outcome Measures,fact,其他,We propose a hierarchy of 3 different end points for trials of hemostatic therap…,0,0,,
GUIDE2021_FACT_047,Best Option: A Global Patient-Centered Clinical Outcome Scale at 30 to 180 Days,fact,评分系统,This outcome is patient centered and captures a meaningful clinical benefit of a…,0,0,,
GUIDE2021_FACT_048,Second Option: A Combined Clinical and Radiographic End Point Linking Hemorrhage Expansion With a Poor Outcome at 24 Hours,fact,其他,This could come in 1 of 2 broad categories: (1) symptomatic hemorrhage expansion…,0,0,,
GUIDE2021_FACT_049,Second Option: A Combined Clinical and Radiographic End Point Linking Hemorrhage Expansion With a Poor Outcome at 24 Hours,fact,其他,"The second end point, ie, hemorrhage expansion at 24 hours combined with a poor …",0,0,,
GUIDE2021_FACT_050,Third Option: A Radiographic Measure of Hemorrhage Expansion at 24 Hours Alone,fact,其他,This end point accurately measures clinical hemostasis and can determine whether…,0,0,,
GUIDE2021_FACT_051,Neurosurgical Intraoperative Bleeding and Subarachnoid Hemorrhage,fact,脑出血|SAH,These guidelines do not apply to intra-operative or perioperative neurosurgical …,0,0,,
GUIDE2021_FACT_052,Neurosurgical Intraoperative Bleeding and Subarachnoid Hemorrhage,fact,SAH,"As such, extremely large sample sizes would be required to demonstrate any signi…",0,0,,
GUIDE2021_FACT_053,Pediatric Considerations,fact,其他,"In children, measuring intracranial hemorrhage and changes in hemorrhage over ti…",0,0,,
GUIDE2021_FACT_054,Pediatric Considerations,fact,其他,"27,45 Regarding long-term global outcome scales, a reasonable option is the Pedi…",0,0,,
GUIDE2021_FACT_055,Discussion,fact,脑出血,The suggested hierarchy of hemostatic trial outcomes that we have recommended ar…,0,0,,
GUIDE2021_FACT_056,Discussion,fact,脑出血,"47 For trials including a range of intracranial hemorrhage categories, total int…",0,0,,
GUIDE2021_FACT_057,Discussion,fact,脑出血,"If a radiographic end point alone is selected as the primary end point, a close …",0,0,,
GUIDE2021_FACT_058,Discussion,fact,其他,"9,19 If the primary end point includes a radiographic measure, patients who unde…",0,0,,
GUIDE2021_FACT_059,Discussion,fact,其他,It is worth noting that panel groups examining hemostasis in other organ systems…,0,0,,
GUIDE2021_FACT_060,Discussion,fact,其他,A common theme in this workshop was to highlight the value of primary end points…,0,0,,
GUIDE2021_FACT_061,Discussion,fact,其他,"The interval from symptom onset to baseline CT should be standardized, given tha…",0,0,,
GUIDE2021_FACT_062,Discussion,fact,其他,"In addition, use of 24 hours as a universal time will facilitate meta-analyses, …",0,0,,
GUIDE2021_FACT_063,Discussion,fact,脑出血,Varied definitions exist to determine the most appropriate cut point for clinica…,0,0,,
GUIDE2021_FACT_064,Discussion,fact,其他,25 Smaller cutoffs (as low as 7 mL) can improve sensitivity with lower specifici…,0,0,,
GUIDE2021_FACT_065,Discussion,fact,脑出血,The most appropriate approach may depend on the patient population.,0,0,,
