chunk_id,section_id,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
IMG2019_FACT_001,中国脑血管病影像应用指南2019,fact,,中华医学会神经病学分会 中华医学会神经病学分会脑血管病学组  通 信 作 者 ：徐 运 ，南 京 大...,0,0,,
IMG2019_FACT_002,Chinese guidelines for the imaging application in cerebrovascular diseases,fact,,"Chinese Society of Neurology, Chinese Stroke Socie...",0,0,,
IMG2019_FACT_003,脑成像技术,fact,,和 均可通过密度或信号强度用于脑实质以及解剖结构的成像。在急性脑血管病应用时主要满足以下需求：（）判...,0,0,,
IMG2019_FACT_004,（一） 是检测脑出血的“金标准”,fact,,是目前临床确诊急性脑出血的首选方法，也是急诊鉴别急性缺血性卒中和急性出血性卒中、溶栓前排除脑出血的最...,0,0,,
IMG2019_FACT_005,（二）血肿扩大的 征象,fact,,血肿扩大指脑出血患者早期颅内血肿因持续活动性出血而不断扩大的现象和过程。早期血肿扩大定义为： 内血肿...,0,0,,
IMG2019_FACT_006,（三） 是诊断蛛网膜下腔出血（， ）的首选影像学手段,fact,,表现为脑沟、脑裂或颅底环池内的高密度影。 内， 排 的诊断敏感度为［15］ 。随着时间的延长，出血逐...,0,0,,
IMG2019_FACT_007,（四） 在缺血性卒中诊疗中的作用,fact,,目前， 是临床上公认的急性缺血性脑卒中常规检查和首选检查手段，主要目的是排除脑出血 。 在 组 织 ...,0,0,,
IMG2019_FACT_008,（五） 在缺血性脑水肿或出血转化诊断中的作用,fact,,CT是对这两者随访最佳的影像方式。恶性脑水肿以及出血转化常为缺血性卒中不良预后的主要原因之一。卒中如...,0,0,,
IMG2019_FACT_009,"（六）NCCT 对脑静脉窦血栓形成（cerebralvenous and sinus thrombosis,CVST)的诊断",fact,,在 上可分为直接征象和间接征象。直接征象是指血栓本身征象，即静脉窦内三角形或条样高密度，约20%\~...,0,0,,
IMG2019_REC_010,"（六）NCCT 对脑静脉窦血栓形成（cerebralvenous and sinus thrombosis,CVST)的诊断",rec,,（） 是急诊急性脑出血、的首选检查（ 级证据， 级推荐）；（）对疑似急性缺血性卒中患者首先完成急诊N...,0,0,,
IMG2019_FACT_011,二、MRI,fact,,目前大多数医院常规磁共振扫描序列包括、 和 ，加上 和表观弥散系数（ADC）。DWI是利用分子布朗运...,0,0,,
IMG2019_FACT_012,（一） 在急性缺血性脑卒中诊断中的作用,fact,,在缺血数分钟后 即可出现异常高信号，是目前急性脑梗死病灶最精确的诊断手段。一般在 后出现病灶的高信号...,0,0,,
IMG2019_FACT_013,（二） 在 诊断中的作用,fact,,病理学研究表明，部分缺血性卒中患者，虽然症状消失，但仍旧出现了脑实质损害。因此，基于对梗死灶的极高的...,0,0,,
IMG2019_FACT_014,（三）MRI在脑出血诊断中的作用,fact,,对于脑出血的诊断敏感度主要取决于出血时间及扫描序列，主要与血管内红细胞的完整性及血红蛋白的演变有关。...,0,0,,
IMG2019_FACT_015,（四） 在 诊断中的作用,fact,,亚急性期因脑池内血中含有正铁血红蛋白，可以在 和 上表现为高信号。的 序列，对诊断 具有特异性，在正...,0,0,,
IMG2019_FACT_016,（五） 在 诊断中的作用,fact,,因血栓内的血红蛋白不断代谢，静脉窦血栓的信号特点复杂多变，诊断有一定困难，联合 、和 可提高其诊断率...,0,0,,
IMG2019_FACT_017,（六） 在血管源性脑白质高信号诊断中的,fact,,表2 不同时期的静脉窦血栓在磁共振成像的表现   Table 2 Manifestations of...,0,0,,
IMG2019_REC_018,（六） 在血管源性脑白质高信号诊断中的,rec,,（）对急性缺血性脑卒中的早期诊断，首先推荐 序列，其敏感度及特异度最高（ 级证据， 级推荐）；（）对...,0,0,,
IMG2019_FACT_019,血管成像技术,fact,,脑卒中、 与脑血管病变密切相关。血管影像可帮助了解血管闭塞部位、有无斑块及其性质，有无血管畸形、动脉...,0,0,,
IMG2019_FACT_020,一 、CTA 和 脑 CT 静 脉 造 影（CT venography，CTV）,fact,,的空间分辨力较增强 高，对颅内外动脉狭窄情况的判断可靠性更高。比较 和发现［51］ ， 在诊断无症状...,0,0,,
IMG2019_FACT_021,（一） 对颅内外动脉狭窄以及斑块的评估,fact,,等［52］荟萃分析结果提示，的重度颈动脉狭窄， 检出的敏感度、特异度分别为 、 。对于颈动脉闭塞检出...,0,0,,
IMG2019_FACT_022,（二） 对颅内外动脉夹层的诊断,fact,,原始图像可以看到颈内动脉夹层的狭窄管腔，横断面图像呈半月形略高密度影，与壁间出血相关，或可以看到血管...,0,0,,
IMG2019_FACT_023,（三） 对脑动脉瘤的诊断,fact,,与 相比， 在检测脑动脉瘤中具有很高的敏感度、特异度以及准确性，分别为 、和 ，但对于 小动脉瘤的敏...,0,0,,
IMG2019_FACT_024,（四） 对静脉窦血栓的诊断,fact,,对上矢状窦、直窦、横窦、乙状窦及大脑大静脉和大脑内静脉血栓检测的敏感度可达 ；对下矢状窦、基底静脉、...,0,0,,
IMG2019_FACT_025,二、MRA和MRV,fact,,是利用流动血液的磁共振信号与周围静止组织的磁共振信号差异而建立图像对比的一种技术，基本原理包括饱和效...,0,0,,
IMG2019_FACT_026,（一） 对颅内动脉瘤的诊断,fact,,能直接显示动脉瘤大小、部位、形状，能多方位多角度观察瘤体整体情况，局限性主要表现在空间分辨力低，对小...,0,0,,
IMG2019_FACT_027,（二） 对动脉夹层的诊断,fact,,常规 通常只能显示动脉夹层血肿导致的管腔狭窄，结合 原始图可以观察血管壁内血肿，但分辨力有限。但因为...,0,0,,
IMG2019_FACT_028,（三）MRA对脑动脉炎的诊断,fact,,可 辅 助 脑 动 脉 炎 的 诊 断 ，可 通 过和 实现，优点在于无创、操作简单方便。目前较多使...,0,0,,
IMG2019_FACT_029,（四） 对颅内静脉血栓的诊断,fact,,是静脉血流成像，明显受血流速度和伪影的影响，对血流慢的静脉窦和小静脉显示不准确，其信号的缺失有时并不...,0,0,,
IMG2019_FACT_030,三、DSA,fact,,通过数字化处理，保留血管影像，从而可以清晰观察血管病变情况，为临床提供真实立体的图像，并为介入治疗提...,0,0,,
IMG2019_FACT_031,（一） 对颅内外动脉狭窄的诊断,fact,,能真实显现脑血管形态、结构和循环时间，可清楚显示动脉管腔狭窄、闭塞以及侧支循环等情况，还能明确粥样硬...,0,0,,
IMG2019_FACT_032,（二） 对 的诊断,fact,,经动脉顺行性造影，不仅能显示各静脉窦的充盈形态、病变静脉窦闭塞程度，还能通过对比剂测定静脉窦显影时间...,0,0,,
IMG2019_FACT_033,（三） 对动脉夹层的诊断,fact,,一直被认为是诊断和随访动脉夹层的“金标准”。然而， 有时也不能给出动脉夹层的确切诊断，因为它不能显影...,0,0,,
IMG2019_FACT_034,四、HRVW MRI,fact,,近年已应用于临床的 乃新兴的血管成像技术，不仅可以进行管腔成像，而且能够直观显示管壁结构，是目前唯一...,0,0,,
IMG2019_FACT_035,（一） 对动脉夹层的诊断是 和,fact,,的重要补充［87］  动脉夹层是青年患者缺血性脑卒中及自发性的常见病因。 动脉夹层的征象包括：夹层内...,0,0,,
IMG2019_FACT_036,（二）HRVW MRI对烟雾病的诊断［89‐91］,fact,,与颅内动脉粥样硬化相比，烟雾病 表现为双侧颈内动脉末端和大脑前、中动脉起始处向心性缩窄及环形强化、较...,0,0,,
IMG2019_FACT_037,（三） 在中枢血管炎诊断中的应用［86］,fact,,中枢血管炎也称脑血管炎， 可在中‐小动脉中观察到光滑的壁增厚。中型动脉是指分叉处及前、后交通动脉的远...,0,0,,
IMG2019_REC_038,（三） 在中枢血管炎诊断中的应用［86］,rec,,（）在急性脑梗死发病超过 的患者，特别是考虑血管内治疗者，需进行诊断性检查（A级证据，Ⅰ级推荐）；（...,0,0,,
