chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
HICH2020_FACT_001,高血压性脑出血中国多学科诊治指南,fact,脑出血|脑血管病|急诊处理|多学科协作,"中华医学会神经外科学分会中国医师协会急诊医师分会中华医学会神经病学分会脑血管病学组国家卫健委脑卒中筛查与防治工程委员会通信作者：游潮,四川大学华西医院神经外科,…",0,0,,
HICH2020_FACT_002,一、概述,fact,影像学检查|脑出血|HICH诊断|脑血管病|康复治疗,高血压性脑出血（hypertensiveintracerebralhemorrhage，HICH)指具有明确高血压病史的患者突然发生基底核区、丘脑、脑室、小脑及…,0,0,,
HICH2020_REC_001,(一)院前急救,recommendation,脑出血|HICH诊断|院前处理|院前急救,"对突然出现的疑似HICH患者,急救人员应迅速评估,并进行现场因地制宜的紧急处理，后尽快将患者转送至附近有救治条件的医院（I级推荐,C级证据）。",0,0,,
HICH2020_FACT_003,(一)院前急救,fact,气道管理|脑出血|HICH诊断|脑血管病|预后,"HICH早期进展迅速,容易出现神经功能恶化,规范的院前急救对预后至关重要[4。",0,0,,
HICH2020_REC_002,(二)急诊处理,recommendation,影像学检查|脑出血|HICH诊断|脑血管病|急诊处理,"急诊对疑似出血性卒中患者应快速地进行初诊和评估,稳定生命体征,行头颅CT等影像检查明确HICH诊断,完成急诊必要的实验室检查（I级推荐,A级证据）。",0,0,,
HICH2020_FACT_004,(二)急诊处理,fact,气道管理|吞咽功能|血糖管理|血钠管理|评分系统,"各级医院的急诊科均应做好处理HICH患者的预案,若所在医院没有进一步处理 HICH 的条件,应迅速将患者转送至上一级医疗中心。",0,0,,
HICH2020_REC_003,（三)神经影像学检查,recommendation,斑点征|岛征|混杂征|黑洞征|抗凝治疗,"接诊后尽早行头颅CT或MRI检查,明确HICH诊断（I级推荐,A 级证据）。",0,0,,
HICH2020_FACT_005,（三)神经影像学检查,fact,血栓预防|CT|CTA|MRI|MRA,"影像学检查方法:HICH一般均为急性起病,及时而快捷的影像学检查对于明确诊断、确定出血部位及出血量至关重要[16]。",0,0,,
HICH2020_FACT_006,（三)神经影像学检查,fact,斑点征|HE预测|评分系统|CTA|影像学检查,"HE 的预测:随着时间的推移,有近1/3 的脑出血患者出现 $\mathrm{HE}$ 。",0,0,,
HICH2020_FACT_007,（三)神经影像学检查,fact,斑点征|岛征|混杂征|黑洞征|抗凝治疗,"由于“斑点征”和“渗漏征”的检出需要行增强CT扫描,操作相对繁琐,故从平扫CT上的血肿征象预测 HE 的研究不断涌现,如“黑洞征""[22］、“混杂征”[23]及…",0,0,,
HICH2020_REC_004,三.HICH 的诊断和鉴别诊断,recommendation,脑出血|HICH诊断|鉴别诊断|排除继发出血,"HICH诊断缺乏金标准,主要依靠排除性诊断。",0,0,,
HICH2020_FACT_008,三.HICH 的诊断和鉴别诊断,fact,MRI|影像学检查|脑出血|HICH诊断|烟雾病,"HICH的诊断:需要满足以下2条，（1)有明确的高血压病史,突发头痛、呕吐、肢体运动功能障碍、失语甚至昏迷等症状。",0,0,,
HICH2020_REC_005,(一)颅内压(ICP)的监测和治疗,recommendation,甘露醇|高渗盐水|颅内高压|颅内压管理|ICP监测,"对所有HICH患者都应进行ICP的评估和判断,及时对颅内高压进行处理,防止发生严重的高颅压甚至脑疝（I级推荐,B 级证据）。",0,0,,
HICH2020_FACT_009,(一)颅内压(ICP)的监测和治疗,fact,HICH诊断|颅内高压|颅内压管理|ICP监测|评分系统,颅内高压是 HICH重症监护和治疗的重点内容。,0,0,,
HICH2020_FACT_010,(一)颅内压(ICP)的监测和治疗,fact,降压研究|HICH诊断|甘露醇|颅内高压|颅内压管理,积极控制脑水肿、降低ICP是脑出血急性期治疗的重要环节。,0,0,,
HICH2020_REC_006,(二)镇静、镇痛治疗,recommendation,脑出血|HICH诊断|镇静镇痛,"建议对重症HICH患者，特别是伴躁动者,行镇静、镇痛治疗（I级推荐,C 级证据）。",0,0,,
HICH2020_FACT_011,(二)镇静、镇痛治疗,fact,镇静镇痛|HE预测|颅内高压|评分系统|脑出血,镇静、镇痛是重症 HICH ( $\mathrm{GCS}<8$ 分）患者治疗的重要组成部分。,0,0,,
HICH2020_REC_007,（三)HICH后的血压管理,recommendation,ICP监测|脑出血|HICH诊断|血压管理|降压治疗,"收缩压在 $150\sim220\mathrm{mmHg}$ ,且无急性降压治疗禁忌证的HICH患者,急性期将收缩压降至 $140\mathrm{mmHg}$ …",0,0,,
HICH2020_FACT_012,（三)HICH后的血压管理,fact,ATACH-II|降压研究|HE预测|脑水肿|脑出血,HICH后急性期常合并高血压。,0,0,,
HICH2020_FACT_013,（三)HICH后的血压管理,fact,ATACH-II|降压研究|降颅压|脑出血|HICH诊断,"2013年发表的ADAPT研究结果显示,强化降压不影响血肿周围的相对脑血流量[3]。",0,0,,
HICH2020_FACT_014,（三)HICH后的血压管理,fact,降压研究|脑出血|HICH诊断|血压管理|降压治疗,降压治疗的收缩压幅度:Wang 等[42] 基于INTERACT 2研究数据探讨HICH后不同时段（ $15\sim$ $60\mathrm{min}_{\cd…,0,0,,
HICH2020_REC_008,（四)防治HE的药物,recommendation,岛征|混合征|氨甲环酸|纤溶药物|HE预测,HICH后血压升高（>$160~\mathrm{mmHg}$ )有促进 HE 的风险（Ⅱa 级推荐，B 级证据）；强化降压( $<140\mathrm{mmHg…,0,0,,
HICH2020_FACT_015,（四)防治HE的药物,fact,降压研究|氨甲环酸|rFVIa|止血治疗|纤溶药物,HE是早期神经功能恶化和长期临床结局不良的重要危险因素[44]。,0,0,,
HICH2020_REC_009,(五)其他,recommendation,血栓预防|肺炎预防|吞咽功能|癫痫|抗癫痫,"HICH患者应该在配备有专业医护人员的NICU或者卒中单元进行监测和治疗（I级推荐,B级证据）。",0,0,,
HICH2020_FACT_016,(五)其他,fact,ICP监测|脑水肿|感染|癫痫|抗癫痫,其他非手术治疗包括在神经重症监护病房（NCIU）或者卒中单元（strokeunite）对HICH患者进行生命体征、内环境及并发症等多方位监护和处理。,0,0,,
HICH2020_FACT_017,(五)其他,fact,脑出血|HICH诊断|脑血管病|复发预防|并发症,其他系统并发症:HICH 患者可能发生急性心肌梗死、心力衰竭、室性心律不齐、心脏骤停、急性肾功能衰竭、低钠血症、胃肠道出血及卒中后抑郁等其他各种并发症。,0,0,,
HICH2020_FACT_018,(一)小脑幕上出血的外科治疗,fact,神经内镜|开颅手术|颅内高压|ICP监测|MRI,"我国HICH发病率明显高于西方国家,在诊治方面积累了较丰富的经验,对以基底核区为代表的深部颅内血肿伴严重颅内高压甚至脑疝的患者进行手术已经成为常规。",0,0,,
HICH2020_FACT_019,(一)小脑幕上出血的外科治疗,fact,STICH研究|氨甲环酸|去骨瓣减压|开颅手术|颅内压管理,开放手术清除血肿：开放手术包括常规骨瓣开颅术和小骨窗开颅术。,0,0,,
HICH2020_FACT_020,(一)小脑幕上出血的外科治疗,fact,立体定向|纤溶药物|脑出血|HICH诊断|外科治疗,我国早在2001年就开展了比较内、外科治疗HICH 疗效的多中心、前瞻性 RCT 研究[59]。,0,0,,
HICH2020_FACT_021,(一)小脑幕上出血的外科治疗,fact,立体定向|脑出血|HICH诊断|手术治疗|外科治疗,我国在应用基于立体定向原理进行血肿清除术治疗HICH方面积累了较丰富的经验。,0,0,,
HICH2020_FACT_022,(一)小脑幕上出血的外科治疗,fact,神经内镜|立体定向|影像学检查|脑出血|HICH诊断,"神经内镜清除血肿术:采用神经内镜治疗HICH可以在短时间内清除大量血肿,同时可以在直视下止血;但也存在创道较大,可能伤及重要白质纤维束等潜在的缺点。",0,0,,
HICH2020_FACT_023,(一)小脑幕上出血的外科治疗,fact,神经内镜|开颅手术|ICP监测|脑水肿|脑出血,国内的一项回顾性研究纳人128 例发病 $^{24\mathrm{~h~}}$ 内、血肿量 $\geqslant30~\mathrm{ml}$ 的小脑幕上HIC…,0,0,,
HICH2020_FACT_024,(一)小脑幕上出血的外科治疗,fact,去骨瓣减压|颅内高压|评分系统|脑出血|HICH诊断,去骨瓣减压术治疗HICH:去骨瓣减压术治疗小脑幕上HICH疗效仍不肯定。,0,0,,
HICH2020_FACT_025,(二)脑室出血的外科治疗,fact,脑室外引流|纤溶药物|脑积水|评分系统|脑室出血,脑室出血后血凝块溶解促进血肿吸收(CLEAR)研究是探讨纤溶治疗脑室出血的国际多中心RCT研究。,0,0,,
HICH2020_FACT_026,(三)小脑幕下脑出血的外科治疗,fact,神经内镜|立体定向|开颅手术|抗凝治疗|脑积水,"小脑出血的手术治疗:2015年,AHA/ASA协会根据一些回顾性研究结果,推荐对于小脑出血患者,如果有神经功能恶化或合并脑积水及脑干压迫的情况,应该尽快手术。",0,0,,
