chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
BAVM2024_FACT_001,脑动静脉畸形多学科诊疗专家共识,fact,立体定向|血管内治疗|脑动静脉畸形|多学科协作,"国家神经疾病医学中心 中国医师协会神经介入专业委员会 世界华人神经外科医师协会放射神经外科专家委员会

通信作者：洪韬，首都医科大学宣武医院神经外科，北京 10",0,0,,
BAVM2024_FACT_002,Expert consensus on multidisciplinary diagnosis and treatment of brain arteriovenous malformation,fact,其他,National Center for Neurological Disorders; Professional Committee of Neurointer,0,0,,
BAVM2024_FACT_003,Expert consensus on multidisciplinary diagnosis and treatment of brain arteriovenous malformation,fact,脑动静脉畸形,【Abstract】 Brain arteriovenous malformation (BAVM) is a cerebral vasculature dis…,0,0,,
BAVM2024_FACT_004,Expert consensus on multidisciplinary diagnosis and treatment of brain arteriovenous malformation,fact,其他,![](images/acc1aa55926b9f98e0f35a8a07dcde0342c4e5da236da5d24f044e4d9dc754f0.,0,0,,
BAVM2024_FACT_005,Expert consensus on multidisciplinary diagnosis and treatment of brain arteriovenous malformation,fact,脑动静脉畸形,"and guide the clinical diagnosis and treatment of BAVM patients in China, the Na…",0,0,,
BAVM2024_FACT_006,Expert consensus on multidisciplinary diagnosis and treatment of brain arteriovenous malformation,fact,脑动静脉畸形,After in‑depth analysis of the evidence of evidence‑based medicine at home and a…,0,0,,
BAVM2024_FACT_007,Expert consensus on multidisciplinary diagnosis and treatment of brain arteriovenous malformation,fact,立体定向|血管内治疗|脑血管病,"Fund program: National Natural Science Foundation of China (82220108010, 8233003",0,0,,
BAVM2024_FACT_008,第一部分 共识制订方法学,fact,血管内治疗,本共识邀请国内神经外科、神经介入以及放射医学等学科的专家学者组成专家组，针对 诊疗现状的学术论文、行业报告及相关政策文件进行了充分检索，在国内外医学数据库（ 、…,0,0,,
BAVM2024_FACT_009,第一部分 共识制订方法学,fact,评分系统|证据分级,撰写小组成员广泛检索文献，并按照美国心脏协会评分系统［8］ 对所纳入的文献进行证据质量分级，然后在此基础上进行推荐强度分级，形成初稿。,0,0,,
BAVM2024_FACT_010,第二部分 流行病学,fact,脑动静脉畸形|流行病学,好发于中青年人群。,0,0,,
BAVM2024_FACT_011,一、病因,fact,病因分型,的发病机制研究在近 年取得了重要进展，现已明确多数 的病因为血管内皮细胞基因突变。,0,0,,
BAVM2024_FACT_012,（一）家族遗传性BAVM,fact,脑动静脉畸形,目前研究发现，部分家族遗传性疾病的致病基因与调控血管发育的通路密切相关，导致患者罹患的风险显著升高。,0,0,,
BAVM2024_FACT_013,（一）家族遗传性BAVM,fact,脑动静脉畸形|流行病学,CM‑AVM是常染色体显性遗传病［32］ 。,0,0,,
BAVM2024_FACT_014,（二）散发性,fact,脑动静脉畸形|病因分型,近年来，散发 的遗传学机制研究取得了一系列重要突破。,0,0,,
BAVM2024_FACT_015,二、病理生理机制,fact,脑室外引流|脑积水|癫痫|影像学检查|脑室出血,出血：出血是BAVM最主要的病理生理机制，畸形血管直径较大且缺少血管周细胞/平滑肌细胞的保护，高速动脉血流持续冲击畸形团和引流静脉将导致血管壁物理损伤。,0,0,,
BAVM2024_FACT_016,一、临床表现,fact,癫痫|MRI|蛛网膜下腔出血|脑动静脉畸形,发病年龄通常为 岁，两个发病高峰年龄段为儿童期和 岁。,0,0,,
