chunk_id,section,type,topic_tags,summary,已出题,题目数量,题目IDs,题目等级分布
ARISE2024_FACT_001,ARISE I Consensus Statement on the Management of Chronic Subdural Hematoma,fact,其他,"Peter Kan , MD; David Fiorella , MD, PhD; Guilherme Dabus , MD; Edgar A.",0,0,,
ARISE2024_FACT_002,ARISE I Consensus Statement on the Management of Chronic Subdural Hematoma,fact,脑动静脉畸形,ABSTRACT: ARISE (Aneurysm/AVM/cSDH Roundtable Discussion With Industry and Strok…,0,0,,
ARISE2024_FACT_003,ARISE I Consensus Statement on the Management of Chronic Subdural Hematoma,fact,其他,"Multiple randomized, controlled trials have met their primary efficacy end point…",0,0,,
ARISE2024_FACT_004,ARISE I Consensus Statement on the Management of Chronic Subdural Hematoma,fact,其他,hronic subdural hematoma (cSDH) is one of the most frequently encountered neurov…,0,0,,
ARISE2024_FACT_005,ARISE I Consensus Statement on the Management of Chronic Subdural Hematoma,fact,其他,1 cases per 100 000 in Japan during the late 1980s.,0,0,,
ARISE2024_FACT_006,ARISE I Consensus Statement on the Management of Chronic Subdural Hematoma,fact,其他,"cSDH is widely considered a disease of the elderly, and people over the age of 8…",0,0,,
ARISE2024_FACT_007,CLINICAL PRESENTATION AND CONVENTIONAL MANAGEMENT,fact,其他,Patients with cSDH can present with a variety of symptoms of different severitie…,0,0,,
ARISE2024_FACT_008,CLINICAL PRESENTATION AND CONVENTIONAL MANAGEMENT,fact,其他,"For decompensating patients presenting with profound neurological symptoms, emer…",0,0,,
ARISE2024_FACT_009,CLINICAL PRESENTATION AND CONVENTIONAL MANAGEMENT,fact,其他,"1,15,16 Although $10\mathrm{mm}$ of thickness is sometimes cited as a possible c…",0,0,,
ARISE2024_FACT_010,CLINICAL PRESENTATION AND CONVENTIONAL MANAGEMENT,fact,其他,Neurological prognosis following cSDHs and cSDH treatments cannot be easily meas…,0,0,,
ARISE2024_FACT_011,CLINICAL PRESENTATION AND CONVENTIONAL MANAGEMENT,fact,其他,"Despite rising global incidence, there has been little improvement in outcomes f…",0,0,,
ARISE2024_FACT_012,FINANCIAL BURDEN,fact,其他,Approximately $64\%$ of patients presenting with cSDH are beyond the age of 65 y…,0,0,,
ARISE2024_FACT_013,FINANCIAL BURDEN,fact,其他,"Basedonpopulationprojectionestimates, therecouldbeasmanyas60000casesofcSDHbythey…",0,0,,
ARISE2024_FACT_014,"DiagnosisBraincomputedtomography (CT) isthemostusedneuroimagingmodalityforthediagnosisandfollow-upofcSDH.30Itusuallydemonstratesamixtureofisoandhypo-densefluid.Themaximumthicknessandbrainmidlineshiftarethecommonlyreportedmeasurements.ThemaximalthicknessisgenerallycalculatedonastandardCTasthemaximalwidthofthecSDHonslicesabovethetemporalbonesandupto2slicesabovethelateralventricles.Thesuperiorlimitistakentoexcludemiscalculationonhighskullcurvature, andthelowerlimitavoidsmeasurementoftentorialbleedingandisperformedbyexcludingslices $<1$ belowtheventricles.Midlineshiftismeasuredastheperpendiculardistancebetweenamidlinestructure (usuallytheseptumpellucidum) andalinedesignatedbythemidline.ThemidlinewillberepresentedasalinedrawnbetweentheanteriorandposteriorattachmentofthefalxtotheinnertableoftheskullattheleveloftheforamenofMonroe.RepresentativeimagesofcSDHmeasurementsaredepictedinFigure2.VolumetricanalysisofcSDHscanalsobedone; however, itisresource-intensiveatpresentandnotcommonlyusedinroutineclinicalpractice.ThemorphologyofcSDHsisvariable.Trabeculationandseptationarefrequentlyseen.Multipleclassificationsystemsforsubduralhematomas (SDHs) havebeenproposed, withtheNakaguchiclassificationsystembeingthemostwidelycited.35ThissystemclassifiescSDHmorphologiesinto4typesbasedonhematomadensityandinternalarchitecture—homogeneous, laminar, separated, andtrabecular—andeachtypeisthoughttobeassociatedwithdifferentcSDHagesandrisksofrecurrenceaftersurgicaltreatment.Ingeneral, theseparatedtypeisthoughttorepresentolderandmaturedcSDHscarryingahigherriskofrecurrence, whereasthetrabeculartypeisbelievedtorepresentresolvingcSDHswithalowerriskofrecurrence.ThelocationsofcSDHs (cerebralconvexity, cranialbase, andinterhemispheric) arealsoassociatedwithdifferentrisksofsurgicalrecurrence.Finally, thedensityofcSDHfluidalsovariesandmayprovideinsightintothechronicityofcSDHs.",fact,其他,![](images/d6024961dc7b1acfb35f2b449daa7d6e879fffea19e30d7302ea0f72884c759e.,0,0,,
ARISE2024_FACT_015,"DiagnosisBraincomputedtomography (CT) isthemostusedneuroimagingmodalityforthediagnosisandfollow-upofcSDH.30Itusuallydemonstratesamixtureofisoandhypo-densefluid.Themaximumthicknessandbrainmidlineshiftarethecommonlyreportedmeasurements.ThemaximalthicknessisgenerallycalculatedonastandardCTasthemaximalwidthofthecSDHonslicesabovethetemporalbonesandupto2slicesabovethelateralventricles.Thesuperiorlimitistakentoexcludemiscalculationonhighskullcurvature, andthelowerlimitavoidsmeasurementoftentorialbleedingandisperformedbyexcludingslices $<1$ belowtheventricles.Midlineshiftismeasuredastheperpendiculardistancebetweenamidlinestructure (usuallytheseptumpellucidum) andalinedesignatedbythemidline.ThemidlinewillberepresentedasalinedrawnbetweentheanteriorandposteriorattachmentofthefalxtotheinnertableoftheskullattheleveloftheforamenofMonroe.RepresentativeimagesofcSDHmeasurementsaredepictedinFigure2.VolumetricanalysisofcSDHscanalsobedone; however, itisresource-intensiveatpresentandnotcommonlyusedinroutineclinicalpractice.ThemorphologyofcSDHsisvariable.Trabeculationandseptationarefrequentlyseen.Multipleclassificationsystemsforsubduralhematomas (SDHs) havebeenproposed, withtheNakaguchiclassificationsystembeingthemostwidelycited.35ThissystemclassifiescSDHmorphologiesinto4typesbasedonhematomadensityandinternalarchitecture—homogeneous, laminar, separated, andtrabecular—andeachtypeisthoughttobeassociatedwithdifferentcSDHagesandrisksofrecurrenceaftersurgicaltreatment.Ingeneral, theseparatedtypeisthoughttorepresentolderandmaturedcSDHscarryingahigherriskofrecurrence, whereasthetrabeculartypeisbelievedtorepresentresolvingcSDHswithalowerriskofrecurrence.ThelocationsofcSDHs (cerebralconvexity, cranialbase, andinterhemispheric) arealsoassociatedwithdifferentrisksofsurgicalrecurrence.Finally, thedensityofcSDHfluidalsovariesandmayprovideinsightintothechronicityofcSDHs.",fact,MRI,! [](images/b456cb8a3bf5546563d7342b376e938b3546241c3b65ecb045c2acb8edb36f16.,0,0,,
